Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths,
ATL,Concourse E,1/1/2013,1300 - 1400,5,17,117,5,0,0,0,0,0,3,125,1,43,
ATL,Concourse E,1/1/2013,1400 - 1500,5,24,901,27,0,0,0,0,0,29,957,5,42,
ATL,Concourse E,1/1/2013,1500 - 1600,3,14,118,0,0,0,0,0,0,7,125,1,38,
ATL,Concourse E,1/1/2013,1600 - 1700,3,15,498,0,0,0,0,0,0,13,511,3,33,
ATL,Concourse E,1/1/2013,1700 - 1800,2,15,870,0,0,0,0,0,0,20,890,5,46,
ATL,Concourse E,1/1/2013,1800 - 1900,2,19,1388,12,0,0,0,0,0,32,1432,9,43,
ATL,Concourse E,1/1/2013,1900 - 2000,2,10,304,0,0,0,0,0,0,4,308,2,32,
ATL,Concourse F,1/1/2013,0500 - 0600,21,71,750,496,238,138,48,0,0,53,1723,8,30,
ATL,Concourse F,1/1/2013,0600 - 0700,40,57,1,53,75,77,0,0,0,6,212,1,28,
ATL,Concourse F,1/1/2013,0800 - 0900,4,17,216,3,0,0,0,0,0,6,225,1,28,
ATL,Concourse F,1/1/2013,0900 - 1000,14,30,156,117,0,0,0,0,0,7,280,1,27,
ATL,Concourse F,1/1/2013,1000 - 1100,6,14,65,0,0,0,0,0,0,2,67,1,23,
ATL,Concourse F,1/1/2013,1100 - 1200,7,13,144,0,0,0,0,0,0,5,149,1,25,
ATL,Concourse F,1/1/2013,1200 - 1300,6,28,477,17,0,0,0,0,0,15,509,3,35,
ATL,Concourse F,1/1/2013,1300 - 1400,8,21,577,38,0,0,0,0,0,17,632,4,30,
ATL,Concourse F,1/1/2013,1400 - 1500,16,65,740,406,140,43,7,0,0,38,1374,5,33,
ATL,Concourse F,1/1/2013,1500 - 1600,24,62,161,414,71,71,2,0,0,23,742,4,28,
ATL,Concourse F,1/1/2013,1600 - 1700,18,25,38,99,0,0,0,0,0,3,140,1,12,
ATL,Concourse F,1/1/2013,1700 - 1800,6,20,486,29,0,0,0,0,0,9,524,3,30,
ATL,Concourse F,1/1/2013,1800 - 1900,7,19,377,36,0,0,0,0,0,12,425,2,26,
ATL,Concourse F,1/1/2013,1900 - 2000,11,26,260,81,0,0,0,0,0,12,353,2,20,
ATL,Concourse F,1/1/2013,2000 - 2100,9,27,420,130,0,0,0,0,0,14,564,3,37,
ATL,Concourse F,1/1/2013,2200 - 2300,13,30,142,90,0,0,0,0,0,10,242,1,11,
ATL,Concourse E,1/2/2013,1300 - 1400,4,18,267,1,0,0,0,0,0,8,276,2,25,
ATL,Concourse E,1/2/2013,1400 - 1500,5,23,796,38,0,0,0,0,0,21,855,4,47,
ATL,Concourse E,1/2/2013,1500 - 1600,5,17,314,14,0,0,0,0,0,12,340,2,36,
ATL,Concourse E,1/2/2013,1600 - 1700,5,16,494,11,0,0,0,0,0,13,518,3,21,
ATL,Concourse E,1/2/2013,1700 - 1800,4,18,927,2,0,0,0,0,0,26,955,6,31,
ATL,Concourse E,1/2/2013,1800 - 1900,4,18,717,25,0,0,0,0,0,19,761,5,33,
ATL,Concourse E,1/2/2013,1900 - 2000,5,22,707,71,0,0,0,0,0,22,800,5,30,
ATL,Concourse F,1/2/2013,0500 - 0600,17,62,701,323,118,85,4,0,0,40,1271,6,31,
ATL,Concourse F,1/2/2013,0600 - 0700,14,44,302,152,23,0,0,0,0,16,493,2,24,
ATL,Concourse F,1/2/2013,0800 - 0900,2,11,231,0,0,0,0,0,0,4,235,1,23,
ATL,Concourse F,1/2/2013,1000 - 1100,24,61,158,63,68,58,3,0,0,12,362,2,21,
ATL,Concourse F,1/2/2013,1100 - 1200,13,26,90,55,0,0,0,0,0,5,150,1,18,
ATL,Concourse F,1/2/2013,1200 - 1300,19,39,146,330,50,0,0,0,0,17,543,3,30,
ATL,Concourse F,1/2/2013,1300 - 1400,19,43,303,426,113,0,0,0,0,22,864,4,30,
ATL,Concourse F,1/2/2013,1400 - 1500,16,44,336,283,73,0,0,0,0,22,714,3,22,
ATL,Concourse F,1/2/2013,1500 - 1600,24,56,164,253,152,32,0,0,0,20,621,4,19,
ATL,Concourse F,1/2/2013,1600 - 1700,19,41,145,19,108,0,0,0,0,4,276,2,14,
ATL,Concourse F,1/2/2013,1700 - 1800,30,58,181,301,401,121,0,0,0,28,1032,6,22,
ATL,Concourse F,1/2/2013,1800 - 1900,20,43,320,233,194,0,0,0,0,19,766,4,23,
ATL,Concourse F,1/2/2013,2000 - 2100,3,12,346,0,0,0,0,0,0,13,359,2,22,
ATL,Concourse F,1/2/2013,2200 - 2300,17,40,104,99,27,0,0,0,0,13,243,1,9,
ATL,Concourse E,1/3/2013,1400 - 1500,10,40,746,233,44,0,0,0,0,32,1055,5,43,
ATL,Concourse E,1/3/2013,1500 - 1600,5,21,792,72,0,0,0,0,0,26,890,5,33,
ATL,Concourse E,1/3/2013,1700 - 1800,4,17,773,11,0,0,0,0,0,22,806,5,27,
ATL,Concourse E,1/3/2013,1800 - 1900,6,32,1022,76,3,0,0,0,0,27,1128,7,32,
ATL,Concourse E,1/3/2013,1900 - 2000,1,8,338,0,0,0,0,0,0,6,344,2,25,
ATL,Concourse F,1/3/2013,0500 - 0600,22,128,810,246,120,165,98,2,3,45,1489,7,29,
ATL,Concourse F,1/3/2013,0600 - 0700,23,60,163,156,66,76,0,0,0,14,475,2,24,
ATL,Concourse F,1/3/2013,0700 - 0800,11,28,308,99,0,0,0,0,0,13,420,2,25,
ATL,Concourse F,1/3/2013,0900 - 1000,25,63,109,89,75,31,7,0,0,9,320,1,19,
ATL,Concourse F,1/3/2013,1000 - 1100,13,25,41,23,0,0,0,0,0,2,66,1,8,
ATL,Concourse F,1/3/2013,1100 - 1200,8,25,239,63,0,0,0,0,0,9,311,2,15,
ATL,Concourse F,1/3/2013,1200 - 1300,17,39,224,268,35,0,0,0,0,16,543,3,26,
ATL,Concourse F,1/3/2013,1300 - 1400,25,55,249,494,306,71,0,0,0,32,1152,6,27,
ATL,Concourse F,1/3/2013,1400 - 1500,17,42,132,132,29,0,0,0,0,9,302,1,23,
ATL,Concourse F,1/3/2013,1500 - 1600,34,57,70,184,427,97,0,0,0,18,796,4,20,
