Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
ATL,Concourse E,1/1/2015,0500 - 0600,0,0,209,0,0,0,0,0,0,3,212,1,15
ATL,Concourse E,1/1/2015,0600 - 0700,0,0,265,0,0,0,0,0,0,1,266,1,15
ATL,Concourse E,1/1/2015,1300 - 1400,9,34,310,93,10,0,0,0,0,8,421,3,19
ATL,Concourse E,1/1/2015,1400 - 1500,11,46,672,238,34,2,0,0,0,27,973,5,18
ATL,Concourse E,1/1/2015,1500 - 1600,9,41,935,207,40,0,0,0,0,35,1217,6,27
ATL,Concourse E,1/1/2015,1600 - 1700,8,28,204,40,0,0,0,0,0,1,245,2,12
ATL,Concourse E,1/1/2015,1700 - 1800,5,38,1054,84,10,0,0,0,0,31,1179,8,22
ATL,Concourse E,1/1/2015,1800 - 1900,7,54,1327,164,41,7,0,0,0,52,1591,11,19
ATL,Concourse E,1/1/2015,1900 - 2000,1,14,823,0,0,0,0,0,0,25,848,6,18
ATL,Concourse E,1/1/2015,2000 - 2100,2,11,121,0,0,0,0,0,0,3,124,1,12
ATL,Concourse F,1/1/2015,0500 - 0600,13,66,690,124,132,52,5,0,0,31,1034,5,19
ATL,Concourse F,1/1/2015,0600 - 0700,17,31,95,127,9,0,0,0,0,7,238,1,16
ATL,Concourse F,1/1/2015,0700 - 0800,7,16,253,13,0,0,0,0,0,8,274,1,17
ATL,Concourse F,1/1/2015,0900 - 1000,20,44,146,112,83,0,0,0,0,18,359,1,16
ATL,Concourse F,1/1/2015,1000 - 1100,3,15,146,0,0,0,0,0,0,3,149,1,14
ATL,Concourse F,1/1/2015,1100 - 1200,5,20,321,8,0,0,0,0,0,6,335,3,13
ATL,Concourse F,1/1/2015,1200 - 1300,6,27,684,32,0,0,0,0,0,17,733,5,20
ATL,Concourse F,1/1/2015,1300 - 1400,4,18,204,7,0,0,0,0,0,5,216,1,16
ATL,Concourse F,1/1/2015,1400 - 1500,11,30,798,298,0,0,0,0,0,29,1125,5,18
ATL,Concourse F,1/1/2015,1500 - 1600,11,37,301,80,29,0,0,0,0,14,424,2,17
ATL,Concourse F,1/1/2015,1700 - 1800,17,51,371,277,63,16,0,0,0,24,751,3,17
ATL,Concourse F,1/1/2015,1800 - 1900,8,27,381,57,0,0,0,0,0,15,453,4,11
ATL,Concourse F,1/1/2015,1900 - 2000,15,49,141,43,3,17,0,0,0,5,209,1,16
ATL,Concourse F,1/1/2015,2000 - 2100,11,37,352,112,18,0,0,0,0,11,493,2,19
ATL,Concourse F,1/1/2015,2100 - 2200,5,17,104,4,0,0,0,0,0,3,111,1,13
ATL,Concourse E,1/2/2015,0500 - 0600,0,21,243,2,0,0,0,0,0,1,246,1,21
ATL,Concourse E,1/2/2015,1300 - 1400,3,23,473,32,0,0,0,0,0,9,514,3,20
ATL,Concourse E,1/2/2015,1400 - 1500,8,32,416,128,9,0,0,0,0,12,565,3,26
ATL,Concourse E,1/2/2015,1500 - 1600,4,23,982,64,0,0,0,0,0,22,1068,6,25
ATL,Concourse E,1/2/2015,1600 - 1700,6,22,506,29,0,0,0,0,0,9,544,4,17
ATL,Concourse E,1/2/2015,1700 - 1800,5,20,920,39,0,0,0,0,0,27,986,7,19
ATL,Concourse E,1/2/2015,1800 - 1900,6,35,1047,164,20,0,0,0,0,48,1279,9,21
ATL,Concourse E,1/2/2015,1900 - 2000,9,32,800,271,11,0,0,0,0,27,1109,7,16
ATL,Concourse E,1/2/2015,2000 - 2100,3,15,387,0,0,0,0,0,0,8,395,3,14
ATL,Concourse F,1/2/2015,0500 - 0600,15,53,752,227,214,51,0,0,0,38,1282,6,21
ATL,Concourse F,1/2/2015,0600 - 0700,9,33,222,41,13,0,0,0,0,5,281,1,13
ATL,Concourse F,1/2/2015,0700 - 0800,4,19,496,13,0,0,0,0,0,15,524,2,15
ATL,Concourse F,1/2/2015,0800 - 0900,5,14,69,0,0,0,0,0,0,1,70,1,6
ATL,Concourse F,1/2/2015,0900 - 1000,24,65,167,63,58,55,9,0,0,19,371,1,12
ATL,Concourse F,1/2/2015,1100 - 1200,8,38,593,87,15,0,0,0,0,21,716,5,10
ATL,Concourse F,1/2/2015,1200 - 1300,18,57,446,256,157,26,0,0,0,28,913,7,18
