Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
AUS,Main,1/1/2015,1600 - 1700,20,65,164,64,40,25,9,0,0,10,312,2,4
AUS,Main,1/2/2015,1000 - 1100,5,17,32,1,0,0,0,0,0,2,35,1,2
AUS,Main,1/2/2015,1600 - 1700,15,46,163,124,34,2,0,0,0,10,333,2,4
AUS,Main,1/3/2015,1000 - 1100,15,23,19,22,0,0,0,0,0,3,44,1,3
AUS,Main,1/3/2015,1300 - 1400,17,39,89,55,23,0,0,0,0,10,177,1,4
AUS,Main,1/3/2015,1600 - 1700,14,31,77,58,3,0,0,0,0,6,144,1,4
AUS,Main,1/3/2015,1700 - 1800,28,60,50,64,44,32,0,0,0,10,200,1,4
AUS,Main,1/4/2015,1000 - 1100,10,23,32,15,0,0,0,0,0,3,50,1,3
AUS,Main,1/4/2015,1300 - 1400,0,0,0,0,0,0,0,0,0,0,0,1,2
AUS,Main,1/4/2015,1400 - 1500,15,45,102,59,12,0,0,0,0,6,179,1,2
AUS,Main,1/4/2015,1700 - 1800,22,46,58,55,56,2,0,0,0,10,181,1,3
AUS,Main,1/4/2015,1800 - 1900,12,31,91,41,2,0,0,0,0,7,141,1,3
AUS,Main,1/5/2015,1600 - 1700,23,60,107,142,71,25,0,0,0,9,354,2,7
AUS,Main,1/6/2015,1800 - 1900,25,74,103,98,44,32,17,0,0,16,310,2,4
AUS,Main,1/7/2015,1500 - 1600,21,50,47,47,25,8,0,0,0,7,134,1,5
AUS,Main,1/7/2015,1800 - 1900,6,22,88,16,0,0,0,0,0,4,108,1,2
AUS,Main,1/8/2015,1600 - 1700,24,62,49,33,17,16,2,0,0,4,121,1,4
AUS,Main,1/8/2015,1900 - 2000,4,12,64,0,0,0,0,0,0,2,66,1,3
AUS,Main,1/9/2015,1600 - 1700,24,62,58,17,25,24,3,0,0,4,131,1,4
AUS,Main,1/9/2015,1800 - 1900,5,27,77,4,0,0,0,0,0,3,84,1,2
AUS,Main,1/10/2015,1600 - 1700,38,89,46,39,34,19,47,0,0,10,195,1,3
AUS,Main,1/10/2015,1800 - 1900,10,25,74,17,0,0,0,0,0,4,95,1,2
AUS,Main,1/11/2015,1600 - 1700,30,71,65,41,36,32,21,0,0,7,202,1,4
AUS,Main,1/11/2015,1900 - 2000,9,22,99,21,0,0,0,0,0,6,126,1,2
AUS,Main,1/12/2015,1600 - 1700,22,49,46,52,33,8,0,0,0,8,147,1,6
AUS,Main,1/12/2015,1900 - 2000,11,26,75,47,0,0,0,0,0,7,129,1,3
AUS,Main,1/13/2015,1600 - 1700,16,40,66,22,20,0,0,0,0,4,112,1,6
AUS,Main,1/13/2015,1900 - 2000,19,41,25,2,29,0,0,0,0,2,58,1,3
AUS,Main,1/14/2015,1600 - 1700,16,41,65,36,19,0,0,0,0,3,123,1,6
AUS,Main,1/14/2015,1900 - 2000,2,11,61,0,0,0,0,0,0,2,63,1,4
AUS,Main,1/15/2015,1600 - 1700,20,51,52,24,21,9,0,0,0,4,110,1,5
AUS,Main,1/15/2015,1800 - 1900,2,8,52,0,0,0,0,0,0,2,54,1,3
AUS,Main,1/16/2015,1600 - 1700,21,53,51,16,19,15,0,0,0,6,107,1,5
AUS,Main,1/16/2015,1900 - 2000,7,12,59,0,0,0,0,0,0,4,63,1,3
AUS,Main,1/17/2015,1600 - 1700,28,82,80,32,20,22,32,0,0,6,192,1,4
AUS,Main,1/17/2015,1900 - 2000,2,8,42,0,0,0,0,0,0,3,45,1,1
AUS,Main,1/18/2015,1600 - 1700,17,62,91,17,17,13,3,0,0,5,146,1,3
AUS,Main,1/18/2015,1900 - 2000,3,19,107,3,0,0,0,0,0,4,114,1,2
AUS,Main,1/19/2015,1600 - 1700,42,79,0,63,35,27,36,0,0,5,166,1,5
AUS,Main,1/19/2015,1800 - 1900,11,28,109,25,0,0,0,0,0,4,138,1,2
AUS,Main,1/20/2015,1600 - 1700,18,47,59,35,17,4,0,0,0,2,117,1,4
AUS,Main,1/20/2015,1900 - 2000,5,20,123,7,0,0,0,0,0,6,136,1,2
AUS,Main,1/21/2015,1700 - 1800,15,48,39,21,14,2,0,0,0,3,79,1,2
AUS,Main,1/21/2015,1900 - 2000,0,2,52,0,0,0,0,0,0,0,52,1,1
AUS,Main,1/22/2015,1900 - 2000,13,53,80,15,14,8,0,0,0,4,121,2,3
AUS,Main,1/23/2015,1600 - 1700,13,42,80,29,19,0,0,0,0,2,130,1,5
AUS,Main,1/23/2015,1800 - 1900,2,9,68,0,0,0,0,0,0,2,70,1,2
AUS,Main,1/24/2015,1700 - 1800,26,79,78,49,29,16,19,0,0,9,200,1,5
AUS,Main,1/24/2015,1900 - 2000,6,16,77,4,0,0,0,0,0,5,86,1,3
AUS,Main,1/25/2015,1600 - 1700,11,39,85,21,16,0,0,0,0,4,126,1,4
AUS,Main,1/25/2015,1900 - 2000,9,23,115,21,0,0,0,0,0,7,143,1,2
AUS,Main,1/26/2015,1500 - 1600,9,38,81,12,9,0,0,0,0,3,105,1,4
AUS,Main,1/26/2015,1800 - 1900,4,20,121,7,0,0,0,0,0,4,132,1,3
AUS,Main,1/27/2015,1600 - 1700,10,33,50,22,4,0,0,0,0,3,79,1,5
AUS,Main,1/27/2015,1900 - 2000,4,16,65,1,0,0,0,0,0,3,69,1,3
AUS,Main,1/28/2015,1600 - 1700,7,25,73,16,0,0,0,0,0,3,92,1,5
AUS,Main,1/28/2015,1800 - 1900,2,11,67,0,0,0,0,0,0,1,68,1,3
AUS,Main,1/29/2015,1600 - 1700,10,35,64,19,7,0,0,0,0,3,93,1,4
AUS,Main,1/29/2015,1900 - 2000,1,6,34,0,0,0,0,0,0,2,36,1,3
AUS,Main,1/30/2015,1600 - 1700,15,48,94,23,24,4,0,0,0,5,150,1,5
AUS,Main,1/30/2015,1800 - 1900,2,10,49,0,0,0,0,0,0,1,50,1,3
AUS,Main,1/31/2015,1600 - 1700,17,49,74,24,27,7,0,0,0,5,137,1,5
AUS,Main,1/31/2015,1900 - 2000,5,13,47,0,0,0,0,0,0,3,50,1,2
AUS,Main,2/1/2015,1600 - 1700,19,61,66,22,17,14,1,0,0,4,124,1,4
AUS,Main,2/1/2015,1900 - 2000,6,15,115,0,0,0,0,0,0,7,122,1,3
AUS,Main,2/2/2015,1600 - 1700,11,39,78,27,14,0,0,0,0,3,122,1,5
AUS,Main,2/2/2015,1900 - 2000,3,19,101,10,0,0,0,0,0,2,113,1,2
AUS,Main,2/3/2015,1800 - 1900,13,39,39,21,7,0,0,0,0,3,70,1,3
AUS,Main,2/3/2015,2000 - 2100,10,22,81,12,0,0,0,0,0,3,96,1,3
AUS,Main,2/4/2015,1500 - 1600,18,38,41,34,11,0,0,0,0,3,89,1,3
AUS,Main,2/4/2015,1900 - 2000,9,31,87,9,2,0,0,0,0,4,102,1,3
AUS,Main,2/5/2015,1500 - 1600,14,48,40,14,9,2,0,0,0,3,68,1,3
AUS,Main,2/5/2015,1900 - 2000,13,19,33,8,0,0,0,0,0,2,43,1,2
AUS,Main,2/6/2015,1600 - 1700,11,40,71,22,12,0,0,0,0,4,109,1,3
AUS,Main,2/6/2015,1900 - 2000,5,9,57,0,0,0,0,0,0,3,60,1,2
AUS,Main,2/7/2015,1500 - 1600,22,64,72,30,28,18,5,0,0,5,158,1,3
AUS,Main,2/7/2015,1900 - 2000,10,21,82,18,0,0,0,0,0,4,104,1,2
AUS,Main,2/8/2015,1600 - 1700,16,46,83,49,31,2,0,0,0,5,170,1,5
AUS,Main,2/8/2015,1900 - 2000,6,17,131,6,0,0,0,0,0,4,141,1,2
AUS,Main,2/9/2015,1500 - 1600,15,39,74,36,21,0,0,0,0,5,136,1,5
AUS,Main,2/9/2015,1800 - 1900,6,35,111,11,6,0,0,0,0,1,129,1,2
AUS,Main,2/10/2015,1800 - 1900,2,10,88,0,0,0,0,0,0,3,91,1,3
AUS,Main,2/11/2015,1600 - 1700,18,48,82,49,30,9,0,0,0,5,175,1,6
AUS,Main,2/11/2015,1800 - 1900,2,14,65,0,0,0,0,0,0,2,67,1,3
AUS,Main,2/12/2015,1600 - 1700,10,26,88,30,0,0,0,0,0,4,122,1,6
AUS,Main,2/12/2015,1800 - 1900,1,9,68,0,0,0,0,0,0,2,70,1,3
AUS,Main,2/13/2015,1500 - 1600,20,56,97,47,29,19,0,0,0,10,202,1,4
AUS,Main,2/13/2015,1900 - 2000,6,23,57,14,0,0,0,0,0,3,74,1,2
AUS,Main,2/14/2015,1500 - 1600,24,83,90,42,18,20,20,0,0,6,196,1,3
AUS,Main,2/14/2015,1900 - 2000,19,31,28,74,1,0,0,0,0,4,107,1,2
AUS,Main,2/15/2015,1500 - 1600,17,53,86,25,23,10,0,0,0,5,149,1,3
AUS,Main,2/15/2015,1900 - 2000,8,22,117,19,0,0,0,0,0,6,142,1,2
AUS,Main,2/16/2015,1600 - 1700,17,48,70,28,17,4,0,0,0,4,123,1,4
AUS,Main,2/16/2015,1900 - 2000,7,19,130,6,0,0,0,0,0,3,139,1,3
AUS,Main,2/17/2015,1700 - 1800,8,25,59,19,0,0,0,0,0,1,79,1,5
AUS,Main,2/17/2015,1900 - 2000,13,27,81,35,0,0,0,0,0,4,120,1,3
AUS,Main,2/18/2015,1500 - 1600,7,19,57,8,0,0,0,0,0,3,68,1,5
AUS,Main,2/18/2015,1900 - 2000,14,31,52,20,1,0,0,0,0,3,76,1,2
AUS,Main,2/19/2015,1500 - 1600,10,32,66,18,2,0,0,0,0,3,89,1,4
AUS,Main,2/19/2015,1900 - 2000,1,4,43,0,0,0,0,0,0,1,44,1,2
AUS,Main,2/20/2015,1600 - 1700,14,36,64,24,4,0,0,0,0,3,95,1,3
AUS,Main,2/20/2015,1900 - 2000,4,24,95,7,0,0,0,0,0,4,106,1,1
AUS,Main,2/21/2015,1600 - 1700,18,57,92,45,17,19,0,0,0,5,178,1,4
AUS,Main,2/21/2015,1900 - 2000,8,19,87,16,0,0,0,0,0,6,109,1,2
AUS,Main,2/22/2015,1600 - 1700,15,39,74,23,21,0,0,0,0,4,122,1,5
AUS,Main,2/22/2015,1900 - 2000,9,26,120,15,0,0,0,0,0,8,143,1,2
AUS,Main,2/23/2015,1600 - 1700,11,32,81,32,5,0,0,0,0,2,120,1,5
AUS,Main,2/23/2015,1900 - 2000,26,38,0,91,36,0,0,0,0,4,131,1,3
AUS,Main,2/24/2015,1600 - 1700,11,29,55,23,0,0,0,0,0,2,80,1,6
AUS,Main,2/24/2015,1800 - 1900,15,26,61,46,0,0,0,0,0,3,110,1,3
AUS,Main,2/25/2015,1600 - 1700,13,37,45,28,7,0,0,0,0,1,81,1,5
AUS,Main,2/25/2015,1900 - 2000,7,15,80,0,0,0,0,0,0,2,82,1,3
AUS,Main,2/26/2015,1600 - 1700,18,47,62,27,27,3,0,0,0,6,125,1,4
AUS,Main,2/26/2015,1800 - 1900,13,18,36,5,0,0,0,0,0,2,43,1,3
AUS,Main,2/27/2015,1600 - 1700,17,36,57,64,12,0,0,0,0,8,141,1,5
AUS,Main,2/27/2015,1800 - 1900,22,29,4,61,0,0,0,0,0,2,67,1,2
AUS,Main,2/28/2015,1600 - 1700,37,79,39,35,41,35,35,0,0,5,190,1,5
AUS,Main,2/28/2015,1900 - 2000,23,38,29,60,37,0,0,0,0,3,129,1,2
AUS,Main,3/1/2015,1600 - 1700,24,49,43,56,56,10,0,0,0,2,167,1,6
AUS,Main,3/1/2015,2000 - 2100,19,36,51,64,23,0,0,0,0,4,142,1,2
AUS,Main,3/2/2015,1800 - 1900,13,43,69,22,13,0,0,0,0,4,108,1,4
AUS,Main,3/2/2015,1900 - 2000,12,29,81,37,0,0,0,0,0,7,125,1,4
AUS,Main,3/3/2015,1700 - 1800,11,32,66,27,5,0,0,0,0,2,100,1,6
AUS,Main,3/3/2015,1900 - 2000,6,25,107,15,0,0,0,0,0,3,125,1,3
AUS,Main,3/4/2015,1600 - 1700,11,36,65,23,9,0,0,0,0,3,100,1,3
AUS,Main,3/4/2015,1900 - 2000,2,13,73,0,0,0,0,0,0,3,76,1,3
AUS,Main,3/5/2015,1600 - 1700,9,28,73,27,0,0,0,0,0,4,104,1,4
AUS,Main,3/5/2015,1800 - 1900,1,9,41,0,0,0,0,0,0,1,42,1,2
AUS,Main,3/6/2015,1600 - 1700,16,43,99,56,26,0,0,0,0,6,187,1,4
AUS,Main,3/6/2015,1800 - 1900,1,10,56,0,0,0,0,0,0,3,59,1,2
AUS,Main,3/7/2015,1600 - 1700,24,62,72,53,31,29,4,0,0,5,194,1,4
