Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
BOS,Terminal E,1/1/2014,0800 - 0900,30,52,30,32,43,24,0,0,0,4,133,1,5
BOS,Terminal E,1/1/2014,0900 - 1000,29,59,46,36,35,33,0,0,0,4,154,1,4
BOS,Terminal E,1/1/2014,1100 - 1200,16,37,88,64,26,0,0,0,0,6,184,1,4
BOS,Terminal E,1/1/2014,1200 - 1300,16,36,133,116,25,0,0,0,0,9,283,1,11
BOS,Terminal E,1/1/2014,1300 - 1400,23,50,194,285,129,39,0,0,0,21,668,3,13
BOS,Terminal E,1/1/2014,1600 - 1700,8,16,207,2,0,0,0,0,0,2,211,2,12
BOS,Terminal E,1/1/2014,1700 - 1800,19,55,495,314,122,70,0,0,0,28,1029,5,11
BOS,Terminal E,1/1/2014,1800 - 1900,12,33,295,64,3,0,0,0,0,11,373,2,11
BOS,Terminal E,1/1/2014,1900 - 2000,13,26,311,164,0,0,0,0,0,10,485,2,11
BOS,Terminal E,1/1/2014,2100 - 2200,24,53,81,105,75,16,0,0,0,8,285,2,7
BOS,Terminal E,1/2/2014,0700 - 0800,35,64,42,65,93,50,22,0,0,9,281,3,5
BOS,Terminal E,1/2/2014,0800 - 0900,21,30,9,27,0,0,0,0,0,2,38,1,3
BOS,Terminal E,1/2/2014,1000 - 1100,32,64,43,46,36,37,12,0,0,4,178,1,5
BOS,Terminal E,1/2/2014,1200 - 1300,18,36,75,81,25,0,0,0,0,6,187,1,5
BOS,Terminal E,1/2/2014,1300 - 1400,11,26,186,77,0,0,0,0,0,2,265,1,14
BOS,Terminal E,1/2/2014,1400 - 1500,20,39,113,152,61,0,0,0,0,11,337,2,13
BOS,Terminal E,1/2/2014,1500 - 1600,12,24,199,80,0,0,0,0,0,8,287,1,15
BOS,Terminal E,1/2/2014,1700 - 1800,7,14,70,0,0,0,0,0,0,3,73,1,13
BOS,Terminal E,1/2/2014,1800 - 1900,10,18,159,20,0,0,0,0,0,4,183,1,13
BOS,Terminal E,1/2/2014,1900 - 2000,12,27,315,122,0,0,0,0,0,19,456,2,14
BOS,Terminal E,1/3/2014,1200 - 1300,17,35,145,129,31,0,0,0,0,7,312,2,8
BOS,Terminal E,1/3/2014,1300 - 1400,31,67,99,276,298,87,18,0,0,21,799,3,12
BOS,Terminal E,1/3/2014,1400 - 1500,29,49,55,84,122,24,0,0,0,8,293,2,14
BOS,Terminal E,1/3/2014,1500 - 1600,15,21,38,32,0,0,0,0,0,3,73,1,11
BOS,Terminal E,1/3/2014,1600 - 1700,16,23,55,64,0,0,0,0,0,4,123,1,13
BOS,Terminal E,1/3/2014,1700 - 1800,22,46,130,202,104,4,0,0,0,11,451,2,15
BOS,Terminal E,1/3/2014,1800 - 1900,20,44,256,321,113,0,0,0,0,16,706,3,14
BOS,Terminal E,1/3/2014,1900 - 2000,19,36,194,280,44,0,0,0,0,12,530,2,14
BOS,Terminal E,1/3/2014,2100 - 2200,26,78,103,72,63,25,19,0,0,9,291,2,6
BOS,Terminal E,1/3/2014,2200 - 2300,39,73,24,54,73,41,32,0,0,6,230,1,7
BOS,Terminal E,1/3/2014,2300 - 0000,24,44,72,78,88,0,0,0,0,9,247,2,7
BOS,Terminal E,1/4/2014,0900 - 1000,27,45,24,61,60,0,0,0,0,2,147,1,5
BOS,Terminal E,1/4/2014,1000 - 1100,23,50,77,55,44,16,0,0,0,5,197,2,6
BOS,Terminal E,1/4/2014,1200 - 1300,16,34,157,109,22,0,0,0,0,8,296,1,12
BOS,Terminal E,1/4/2014,1300 - 1400,15,48,332,134,48,11,0,0,0,12,537,2,14
