Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
BWI,International Arrivals,1/1/2015,1600 - 1700,7,16,376,18,0,0,0,0,0,11,405,3,6
BWI,International Arrivals,1/1/2015,1700 - 1800,1,3,136,0,0,0,0,0,0,4,140,1,5
BWI,International Arrivals,1/1/2015,1800 - 1900,9,24,122,45,0,0,0,0,0,4,171,1,6
BWI,International Arrivals,1/1/2015,2000 - 2100,3,9,266,0,0,0,0,0,0,6,272,2,6
BWI,International Arrivals,1/1/2015,2100 - 2200,3,13,141,0,0,0,0,0,0,3,144,1,4
BWI,International Arrivals,1/2/2015,1300 - 1400,3,5,13,0,0,0,0,0,0,2,15,1,2
BWI,International Arrivals,1/2/2015,1500 - 1600,6,12,152,0,0,0,0,0,0,0,152,1,6
BWI,International Arrivals,1/2/2015,1600 - 1700,4,13,425,0,0,0,0,0,0,9,434,3,7
BWI,International Arrivals,1/2/2015,1700 - 1800,2,6,138,0,0,0,0,0,0,4,142,1,6
BWI,International Arrivals,1/2/2015,1800 - 1900,11,27,212,106,0,0,0,0,0,8,326,2,8
BWI,International Arrivals,1/2/2015,2000 - 2100,13,18,111,31,0,0,0,0,0,3,145,1,8
BWI,International Arrivals,1/2/2015,2100 - 2200,2,7,139,0,0,0,0,0,0,1,140,1,8
BWI,International Arrivals,1/3/2015,1500 - 1600,7,17,146,13,0,0,0,0,0,2,161,1,5
BWI,International Arrivals,1/3/2015,1600 - 1700,5,14,141,0,0,0,0,0,0,4,145,1,5
BWI,International Arrivals,1/3/2015,1700 - 1800,4,10,139,0,0,0,0,0,0,5,144,1,5
BWI,International Arrivals,1/3/2015,1800 - 1900,4,12,285,0,0,0,0,0,0,4,289,2,6
BWI,International Arrivals,1/3/2015,1900 - 2000,14,30,101,84,0,0,0,0,0,0,185,1,6
BWI,International Arrivals,1/3/2015,2100 - 2200,4,11,139,0,0,0,0,0,0,3,142,1,4
BWI,International Arrivals,1/4/2015,1400 - 1500,4,9,36,0,0,0,0,0,0,2,38,1,2
BWI,International Arrivals,1/4/2015,1600 - 1700,3,8,140,0,0,0,0,0,0,5,145,1,6
BWI,International Arrivals,1/4/2015,1700 - 1800,5,15,281,0,0,0,0,0,0,4,285,2,6
BWI,International Arrivals,1/4/2015,1800 - 1900,6,31,418,45,2,0,0,0,0,6,471,3,7
BWI,International Arrivals,1/4/2015,2000 - 2100,4,14,142,0,0,0,0,0,0,1,143,1,5
BWI,International Arrivals,1/4/2015,2100 - 2200,4,11,139,0,0,0,0,0,0,5,144,1,5
BWI,International Arrivals,1/5/2015,1400 - 1500,7,12,14,0,0,0,0,0,0,2,16,1,2
BWI,International Arrivals,1/5/2015,1700 - 1800,7,26,376,68,0,0,0,0,0,7,451,3,8
BWI,International Arrivals,1/5/2015,1900 - 2000,4,13,136,0,0,0,0,0,0,4,140,1,6
BWI,International Arrivals,1/5/2015,2000 - 2100,2,7,258,0,0,0,0,0,0,5,263,2,7
BWI,International Arrivals,1/6/2015,1700 - 1800,18,47,261,147,100,18,0,0,0,12,538,4,7
BWI,International Arrivals,1/6/2015,1800 - 1900,25,38,22,95,59,0,0,0,0,10,186,1,7
BWI,International Arrivals,1/6/2015,1900 - 2000,3,9,141,0,0,0,0,0,0,4,145,1,7
BWI,International Arrivals,1/6/2015,2000 - 2100,5,13,135,0,0,0,0,0,0,5,140,1,7
BWI,International Arrivals,1/6/2015,2100 - 2200,1,4,88,0,0,0,0,0,0,3,91,1,5
BWI,International Arrivals,1/7/2015,1700 - 1800,13,40,178,74,24,0,0,0,0,7,283,2,5
BWI,International Arrivals,1/7/2015,1800 - 1900,28,51,91,169,156,38,0,0,0,8,462,3,7
BWI,International Arrivals,1/7/2015,2000 - 2100,0,2,84,0,0,0,0,0,0,2,86,1,8
BWI,International Arrivals,1/8/2015,0300 - 0400,17,31,102,123,8,0,0,0,0,7,240,4,5
BWI,International Arrivals,1/8/2015,1600 - 1700,9,29,184,65,0,0,0,0,0,8,257,3,5
BWI,International Arrivals,1/8/2015,1700 - 1800,2,7,94,0,0,0,0,0,0,3,97,1,6
BWI,International Arrivals,1/8/2015,1800 - 1900,7,24,218,36,0,0,0,0,0,5,259,2,6
BWI,International Arrivals,1/8/2015,2000 - 2100,0,4,42,0,0,0,0,0,0,1,43,1,3
BWI,International Arrivals,1/9/2015,1500 - 1600,5,10,68,0,0,0,0,0,0,1,69,1,3
BWI,International Arrivals,1/9/2015,1600 - 1700,5,20,186,20,0,0,0,0,0,2,208,2,5
BWI,International Arrivals,1/9/2015,1700 - 1800,16,25,75,86,0,0,0,0,0,1,162,1,5
BWI,International Arrivals,1/9/2015,1800 - 1900,8,19,240,40,0,0,0,0,0,5,285,2,7
BWI,International Arrivals,1/9/2015,1900 - 2000,6,18,81,8,0,0,0,0,0,3,92,1,8
BWI,International Arrivals,1/9/2015,2000 - 2100,3,7,102,0,0,0,0,0,0,4,106,1,6
BWI,International Arrivals,1/9/2015,2200 - 2300,20,40,125,116,73,0,0,0,0,16,330,2,7
BWI,International Arrivals,1/10/2015,1600 - 1700,2,6,129,0,0,0,0,0,0,2,131,1,7
BWI,International Arrivals,1/10/2015,1700 - 1800,11,23,329,83,0,0,0,0,0,9,421,3,7
BWI,International Arrivals,1/10/2015,1800 - 1900,12,43,164,54,24,0,0,0,0,5,247,2,6
BWI,International Arrivals,1/10/2015,1900 - 2000,10,31,168,73,6,0,0,0,0,0,247,2,6
BWI,International Arrivals,1/10/2015,2000 - 2100,18,23,27,69,0,0,0,0,0,0,96,1,6
BWI,International Arrivals,1/11/2015,1400 - 1500,4,8,26,0,0,0,0,0,0,1,27,1,2
BWI,International Arrivals,1/11/2015,1600 - 1700,10,23,96,38,0,0,0,0,0,0,134,1,5
BWI,International Arrivals,1/11/2015,1700 - 1800,10,22,116,52,0,0,0,0,0,3,171,1,4
BWI,International Arrivals,1/11/2015,1800 - 1900,24,64,173,107,119,45,8,0,0,12,464,3,7
BWI,International Arrivals,1/11/2015,2000 - 2100,4,10,115,0,0,0,0,0,0,2,117,1,5
BWI,International Arrivals,1/12/2015,1600 - 1700,6,18,117,14,0,0,0,0,0,2,133,1,5
BWI,International Arrivals,1/12/2015,1700 - 1800,8,15,165,0,0,0,0,0,0,0,165,1,6
BWI,International Arrivals,1/12/2015,1800 - 1900,14,46,249,80,71,3,0,0,0,9,412,3,7
BWI,International Arrivals,1/12/2015,2000 - 2100,3,8,122,0,0,0,0,0,0,1,123,1,5
BWI,International Arrivals,1/12/2015,2300 - 0000,8,19,106,23,0,0,0,0,0,4,133,1,5
BWI,International Arrivals,1/13/2015,1400 - 1500,23,38,69,134,88,0,0,0,0,3,294,2,6
BWI,International Arrivals,1/13/2015,1500 - 1600,14,32,52,32,4,0,0,0,0,3,91,1,8
