Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
CLT,Main,1/1/2015,0700 - 0800,8,26,109,30,0,0,0,0,0,4,143,1,5
CLT,Main,1/1/2015,1100 - 1200,9,25,122,24,0,0,0,0,0,4,150,1,4
CLT,Main,1/1/2015,1200 - 1300,12,26,91,56,0,0,0,0,0,3,150,1,10
CLT,Main,1/1/2015,1500 - 1600,6,14,169,0,0,0,0,0,0,3,172,1,7
CLT,Main,1/1/2015,1600 - 1700,12,34,361,177,19,0,0,0,0,19,576,3,7
CLT,Main,1/1/2015,1700 - 1800,9,29,193,48,0,0,0,0,0,9,250,1,7
CLT,Main,1/1/2015,1800 - 1900,16,47,548,522,62,4,0,0,0,34,1170,6,9
CLT,Main,1/1/2015,1900 - 2000,13,23,89,46,0,0,0,0,0,3,138,1,6
CLT,Main,1/1/2015,2000 - 2100,11,26,360,106,0,0,0,0,0,23,489,3,8
CLT,Main,1/1/2015,2200 - 2300,6,12,117,0,0,0,0,0,0,7,124,1,5
CLT,Main,1/2/2015,0900 - 1000,14,44,111,40,37,0,0,0,0,5,193,1,5
CLT,Main,1/2/2015,1100 - 1200,4,9,134,0,0,0,0,0,0,4,138,1,3
CLT,Main,1/2/2015,1200 - 1300,20,42,68,193,17,0,0,0,0,7,285,2,10
CLT,Main,1/2/2015,1500 - 1600,6,22,484,42,0,0,0,0,0,10,536,3,9
CLT,Main,1/2/2015,1600 - 1700,7,23,698,89,0,0,0,0,0,18,805,4,11
CLT,Main,1/2/2015,1700 - 1800,5,17,212,4,0,0,0,0,0,6,222,1,11
CLT,Main,1/2/2015,1800 - 1900,10,29,750,209,0,0,0,0,0,26,985,5,9
CLT,Main,1/2/2015,1900 - 2000,10,35,414,87,17,0,0,0,0,18,536,3,9
CLT,Main,1/2/2015,2000 - 2100,7,19,568,12,0,0,0,0,0,31,611,4,12
CLT,Main,1/3/2015,0700 - 0800,12,46,138,21,31,2,0,0,0,5,197,1,4
CLT,Main,1/3/2015,1100 - 1200,6,16,137,5,0,0,0,0,0,2,144,1,4
CLT,Main,1/3/2015,1200 - 1300,9,21,123,22,0,0,0,0,0,5,150,1,13
