Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
CVG,Concourse B,1/1/2014,1400 - 1500,15,32,97,83,9,0,0,0,0,8,197,1,5
CVG,Concourse B,1/2/2014,1500 - 1600,20,35,80,93,33,0,0,0,0,5,211,1,6
CVG,Concourse B,1/3/2014,1300 - 1400,17,30,99,106,0,0,0,0,0,5,210,1,7
CVG,Concourse B,1/4/2014,1400 - 1500,18,41,88,88,26,0,0,0,0,7,209,1,6
CVG,Concourse B,1/4/2014,1700 - 1800,19,28,43,100,0,0,0,0,0,2,145,1,3
CVG,Concourse B,1/4/2014,2000 - 2100,26,50,130,133,115,52,0,0,0,7,437,3,5
CVG,Concourse B,1/5/2014,1500 - 1600,11,28,146,52,0,0,0,0,0,12,210,1,7
CVG,Concourse B,1/5/2014,1600 - 1700,8,17,153,5,0,0,0,0,0,8,166,1,6
CVG,Concourse B,1/6/2014,1400 - 1500,15,39,113,52,24,0,0,0,0,9,198,1,5
CVG,Concourse B,1/7/2014,1500 - 1600,17,45,105,55,40,0,0,0,0,12,212,1,5
CVG,Concourse B,1/8/2014,1400 - 1500,19,43,76,77,30,0,0,0,0,9,192,1,5
CVG,Concourse B,1/9/2014,1400 - 1500,24,51,61,79,44,16,0,0,0,3,203,1,6
CVG,Concourse B,1/10/2014,1500 - 1600,20,57,89,43,26,22,0,0,0,5,185,1,5
CVG,Concourse B,1/11/2014,1400 - 1500,28,67,70,57,30,27,17,0,0,6,207,1,6
CVG,Concourse B,1/11/2014,1700 - 1800,10,18,76,17,0,0,0,0,0,0,93,1,3
CVG,Concourse B,1/11/2014,1900 - 2000,4,9,135,0,0,0,0,0,0,4,139,2,4
CVG,Concourse B,1/11/2014,2100 - 2200,10,15,51,0,0,0,0,0,0,2,53,1,4
CVG,Concourse B,1/12/2014,1400 - 1500,23,58,88,37,39,30,0,0,0,12,206,1,6
CVG,Concourse B,1/12/2014,1600 - 1700,13,19,66,33,0,0,0,0,0,4,103,1,4
CVG,Concourse B,1/13/2014,1400 - 1500,18,46,91,53,39,2,0,0,0,10,195,1,6
CVG,Concourse B,1/15/2014,1400 - 1500,22,50,61,37,34,11,0,0,0,9,152,1,5
CVG,Concourse B,1/16/2014,1400 - 1500,12,22,72,31,0,0,0,0,0,4,107,1,7
CVG,Concourse B,1/17/2014,1400 - 1500,19,40,75,81,28,0,0,0,0,6,190,1,5
CVG,Concourse B,1/18/2014,1400 - 1500,11,24,81,23,0,0,0,0,0,3,107,1,6
CVG,Concourse B,1/18/2014,1700 - 1800,6,9,67,0,0,0,0,0,0,3,70,1,4
CVG,Concourse B,1/18/2014,1800 - 1900,10,17,183,12,0,0,0,0,0,5,200,2,4
CVG,Concourse B,1/18/2014,1900 - 2000,5,8,31,0,0,0,0,0,0,0,31,1,4
CVG,Concourse B,1/19/2014,1400 - 1500,10,26,90,31,0,0,0,0,0,7,128,1,6
CVG,Concourse B,1/19/2014,1600 - 1700,7,12,70,0,0,0,0,0,0,1,71,1,5
CVG,Concourse B,1/19/2014,1700 - 1800,8,15,163,0,0,0,0,0,0,4,167,1,5
CVG,Concourse B,1/20/2014,1400 - 1500,16,37,100,76,21,0,0,0,0,9,206,1,6
CVG,Concourse B,1/22/2014,1400 - 1500,9,22,92,19,0,0,0,0,0,5,116,1,5
CVG,Concourse B,1/23/2014,1400 - 1500,9,19,65,6,0,0,0,0,0,2,73,1,4
CVG,Concourse B,1/24/2014,1400 - 1500,18,30,48,58,0,0,0,0,0,3,109,1,4
CVG,Concourse B,1/24/2014,1700 - 1800,14,24,101,67,0,0,0,0,0,0,168,1,4
CVG,Concourse B,1/25/2014,1400 - 1500,12,26,84,32,0,0,0,0,0,2,118,1,6
CVG,Concourse B,1/25/2014,1700 - 1800,10,16,106,2,0,0,0,0,0,3,111,1,6
CVG,Concourse B,1/25/2014,1900 - 2000,8,17,212,2,0,0,0,0,0,6,220,2,6
CVG,Concourse B,1/25/2014,2100 - 2200,3,6,52,0,0,0,0,0,0,4,56,1,5
CVG,Concourse B,1/26/2014,1600 - 1700,9,27,248,44,0,0,0,0,0,11,303,2,7
CVG,Concourse B,1/27/2014,1400 - 1500,12,28,90,46,0,0,0,0,0,8,144,1,6
CVG,Concourse B,1/29/2014,1400 - 1500,6,15,94,0,0,0,0,0,0,4,98,1,6
CVG,Concourse B,1/30/2014,1400 - 1500,13,25,54,29,0,0,0,0,0,2,85,1,4
CVG,Concourse B,1/31/2014,1400 - 1500,10,19,105,30,0,0,0,0,0,2,137,1,6
CVG,Concourse B,2/1/2014,1400 - 1500,13,28,84,52,0,0,0,0,0,2,138,1,6
CVG,Concourse B,2/1/2014,1700 - 1800,10,21,123,5,0,0,0,0,0,3,131,1,5
CVG,Concourse B,2/1/2014,1800 - 1900,6,12,248,0,0,0,0,0,0,15,263,2,5
CVG,Concourse B,2/1/2014,1900 - 2000,3,7,54,0,0,0,0,0,0,3,57,1,5
CVG,Concourse B,2/2/2014,1500 - 1600,12,27,67,41,0,0,0,0,0,6,114,1,6
CVG,Concourse B,2/2/2014,1600 - 1700,6,12,138,0,0,0,0,0,0,7,145,1,6
CVG,Concourse B,2/3/2014,1400 - 1500,8,17,81,7,0,0,0,0,0,5,93,1,6
CVG,Concourse B,2/5/2014,1400 - 1500,10,20,55,9,0,0,0,0,0,2,66,1,5
CVG,Concourse B,2/6/2014,1400 - 1500,7,15,76,0,0,0,0,0,0,5,81,1,5
CVG,Concourse B,2/7/2014,1400 - 1500,13,21,54,33,0,0,0,0,0,2,89,1,4
CVG,Concourse B,2/8/2014,1400 - 1500,15,36,64,35,12,0,0,0,0,3,114,1,6
CVG,Concourse B,2/8/2014,1700 - 1800,7,12,128,0,0,0,0,0,0,2,130,1,6
CVG,Concourse B,2/8/2014,1800 - 1900,8,18,92,5,0,0,0,0,0,2,99,1,6
CVG,Concourse B,2/8/2014,1900 - 2000,5,10,161,0,0,0,0,0,0,9,170,2,6
CVG,Concourse B,2/9/2014,1400 - 1500,17,33,62,55,7,0,0,0,0,2,126,1,6
CVG,Concourse B,2/9/2014,1600 - 1700,9,12,72,0,0,0,0,0,0,2,74,1,7
CVG,Concourse B,2/10/2014,1400 - 1500,12,28,69,34,0,0,0,0,0,7,110,1,5
CVG,Concourse B,2/12/2014,1400 - 1500,15,28,81,58,0,0,0,0,0,5,144,1,6
CVG,Concourse B,2/13/2014,1400 - 1500,8,17,81,5,0,0,0,0,0,2,88,1,5
CVG,Concourse B,2/14/2014,1400 - 1500,15,37,99,52,18,0,0,0,0,10,179,1,5
CVG,Concourse B,2/15/2014,1400 - 1500,11,25,89,34,0,0,0,0,0,1,124,1,6
CVG,Concourse B,2/15/2014,1700 - 1800,9,16,123,7,0,0,0,0,0,5,135,1,5
CVG,Concourse B,2/15/2014,1800 - 1900,11,25,143,55,0,0,0,0,0,7,205,2,5
CVG,Concourse B,2/15/2014,1900 - 2000,3,7,76,0,0,0,0,0,0,4,80,1,5
CVG,Concourse B,2/16/2014,1400 - 1500,17,39,102,56,39,0,0,0,0,12,209,1,6
CVG,Concourse B,2/16/2014,1600 - 1700,9,19,115,24,0,0,0,0,0,8,147,1,4
CVG,Concourse B,2/17/2014,1400 - 1500,17,43,94,48,33,0,0,0,0,10,185,1,5
CVG,Concourse B,2/20/2014,1400 - 1500,8,21,91,15,0,0,0,0,0,7,113,1,5
CVG,Concourse B,2/21/2014,1400 - 1500,14,32,94,62,5,0,0,0,0,8,169,1,5
CVG,Concourse B,2/22/2014,1400 - 1500,20,44,80,82,42,0,0,0,0,3,207,1,6
CVG,Concourse B,2/22/2014,1700 - 1800,10,16,117,4,0,0,0,0,0,2,123,1,6
CVG,Concourse B,2/22/2014,1800 - 1900,16,30,118,139,0,0,0,0,0,4,261,2,6
CVG,Concourse B,2/22/2014,2000 - 2100,6,12,141,0,0,0,0,0,0,6,147,1,6
