Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
DEN,International,1/1/2015,0900 - 1000,3,17,77,1,0,0,0,0,0,2,80,2,2
DEN,International,1/1/2015,1100 - 1200,10,42,118,10,12,0,0,0,0,2,142,1,7
DEN,International,1/1/2015,1200 - 1300,34,75,173,142,125,96,119,0,0,25,680,5,9
DEN,International,1/1/2015,1300 - 1400,7,20,105,8,0,0,0,0,0,4,117,1,9
DEN,International,1/1/2015,1500 - 1600,14,56,336,90,28,25,0,0,0,13,492,2,10
DEN,International,1/1/2015,1600 - 1700,19,61,258,210,34,48,4,0,0,24,578,3,10
DEN,International,1/1/2015,1700 - 1800,9,27,206,37,0,0,0,0,0,10,253,3,6
DEN,International,1/1/2015,1800 - 1900,7,21,119,18,0,0,0,0,0,7,144,1,6
DEN,International,1/1/2015,1900 - 2000,8,22,263,20,0,0,0,0,0,13,296,2,4
DEN,International,1/1/2015,2000 - 2100,6,13,130,0,0,0,0,0,0,8,138,1,4
DEN,International,1/2/2015,0900 - 1000,5,13,76,0,0,0,0,0,0,3,79,2,3
DEN,International,1/2/2015,1100 - 1200,8,18,74,12,0,0,0,0,0,2,88,1,8
DEN,International,1/2/2015,1200 - 1300,18,49,289,221,111,9,0,0,0,19,649,4,9
DEN,International,1/2/2015,1500 - 1600,14,34,202,91,14,0,0,0,0,6,313,2,9
DEN,International,1/2/2015,1600 - 1700,15,50,415,204,68,13,0,0,0,18,718,3,10
DEN,International,1/2/2015,1700 - 1800,8,24,331,40,0,0,0,0,0,11,382,3,9
DEN,International,1/2/2015,1800 - 1900,8,20,154,23,0,0,0,0,0,5,182,1,6
DEN,International,1/2/2015,1900 - 2000,9,23,439,43,0,0,0,0,0,19,501,4,5
DEN,International,1/3/2015,0900 - 1000,5,17,80,2,0,0,0,0,0,3,85,2,3
DEN,International,1/3/2015,1000 - 1100,9,19,101,17,0,0,0,0,0,2,120,1,10
DEN,International,1/3/2015,1100 - 1200,9,20,121,32,0,0,0,0,0,2,155,1,10
DEN,International,1/3/2015,1200 - 1300,13,45,415,150,64,0,0,0,0,21,650,4,11
DEN,International,1/3/2015,1300 - 1400,8,19,211,23,0,0,0,0,0,6,240,2,10
DEN,International,1/3/2015,1500 - 1600,12,33,286,80,17,0,0,0,0,10,393,2,10
DEN,International,1/3/2015,1600 - 1700,19,52,258,260,85,31,0,0,0,18,652,3,10
DEN,International,1/3/2015,1700 - 1800,13,26,289,201,0,0,0,0,0,13,503,5,7
DEN,International,1/3/2015,1800 - 1900,9,21,432,63,0,0,0,0,0,14,509,3,7
DEN,International,1/3/2015,1900 - 2000,10,21,245,29,0,0,0,0,0,6,280,2,6
DEN,International,1/3/2015,2000 - 2100,8,26,304,22,0,0,0,0,0,16,342,2,4
DEN,International,1/4/2015,1000 - 1100,17,45,142,60,55,0,0,0,0,6,263,2,7
DEN,International,1/4/2015,1100 - 1200,8,19,132,20,0,0,0,0,0,5,157,2,7
DEN,International,1/4/2015,1200 - 1300,13,39,430,175,70,0,0,0,0,18,693,4,9
DEN,International,1/4/2015,1300 - 1400,9,24,313,65,0,0,0,0,0,14,392,3,9
DEN,International,1/4/2015,1500 - 1600,16,51,404,234,47,20,0,0,0,22,727,3,9
DEN,International,1/4/2015,1600 - 1700,18,42,248,231,54,0,0,0,0,17,550,4,7
DEN,International,1/4/2015,1700 - 1800,9,20,191,24,0,0,0,0,0,8,223,2,7
DEN,International,1/4/2015,1800 - 1900,6,14,328,0,0,0,0,0,0,16,344,2,7
DEN,International,1/4/2015,1900 - 2000,11,29,231,90,0,0,0,0,0,9,330,2,6
DEN,International,1/4/2015,2000 - 2100,7,19,264,22,0,0,0,0,0,14,300,2,5
DEN,International,1/4/2015,2100 - 2200,7,22,141,16,0,0,0,0,0,9,166,1,4
DEN,International,1/5/2015,0800 - 0900,17,28,28,22,0,0,0,0,0,0,50,1,3
DEN,International,1/5/2015,0900 - 1000,5,17,47,4,0,0,0,0,0,0,51,1,3
