Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
DFW,Terminal D,1/1/2013,0600 - 0700,16,41,469,411,75,0,0,0,0,26,981,5,15
DFW,Terminal D,1/1/2013,0700 - 0800,7,38,74,1,1,0,0,0,0,3,79,1,11
DFW,Terminal D,1/1/2013,0800 - 0900,16,46,197,164,36,2,0,0,0,10,409,3,11
DFW,Terminal D,1/1/2013,0900 - 1000,44,90,159,229,251,310,281,0,0,40,1270,11,15
DFW,Terminal D,1/1/2013,1000 - 1100,31,80,20,164,19,12,36,0,0,6,257,4,13
DFW,Terminal D,1/1/2013,1100 - 1200,7,22,134,15,0,0,0,0,0,5,154,2,11
DFW,Terminal D,1/1/2013,1200 - 1300,21,45,156,102,124,0,0,0,0,12,394,3,19
DFW,Terminal D,1/1/2013,1300 - 1400,17,42,251,204,79,0,0,0,0,13,547,2,17
DFW,Terminal D,1/1/2013,1400 - 1500,9,25,383,74,0,0,0,0,0,14,471,3,16
DFW,Terminal D,1/1/2013,1500 - 1600,15,62,687,261,106,44,3,0,0,31,1132,7,22
DFW,Terminal D,1/1/2013,1600 - 1700,9,31,566,74,4,0,0,0,0,20,664,7,21
DFW,Terminal D,1/1/2013,1700 - 1800,10,38,498,94,21,0,0,0,0,22,635,7,12
DFW,Terminal D,1/1/2013,1800 - 1900,15,32,252,268,4,0,0,0,0,12,536,5,12
DFW,Terminal D,1/1/2013,1900 - 2000,8,30,437,45,0,0,0,0,0,17,499,4,11
DFW,Terminal D,1/2/2013,0600 - 0700,23,49,271,232,259,31,0,0,0,19,812,4,13
DFW,Terminal D,1/2/2013,0700 - 0800,10,26,107,27,0,0,0,0,0,5,139,1,10
DFW,Terminal D,1/2/2013,0800 - 0900,45,131,150,245,134,166,204,52,14,34,999,7,17
DFW,Terminal D,1/2/2013,0900 - 1000,46,87,7,9,166,90,46,0,0,11,329,4,16
DFW,Terminal D,1/2/2013,1000 - 1100,45,93,42,130,164,141,178,4,0,21,680,5,17
DFW,Terminal D,1/2/2013,1100 - 1200,16,38,115,96,14,0,0,0,0,8,233,3,12
DFW,Terminal D,1/2/2013,1200 - 1300,12,38,367,107,54,0,0,0,0,15,543,4,11
DFW,Terminal D,1/2/2013,1300 - 1400,16,48,335,169,68,6,0,0,0,19,597,2,19
DFW,Terminal D,1/2/2013,1400 - 1500,13,32,233,140,10,0,0,0,0,9,392,3,20
DFW,Terminal D,1/2/2013,1500 - 1600,25,55,325,628,349,78,0,0,0,40,1420,9,21
DFW,Terminal D,1/2/2013,1600 - 1700,26,45,68,49,142,0,0,0,0,10,269,5,13
DFW,Terminal D,1/2/2013,1700 - 1800,27,59,299,377,254,177,0,0,0,29,1136,9,14
DFW,Terminal D,1/2/2013,1800 - 1900,36,54,54,46,295,67,0,0,0,10,472,5,14
DFW,Terminal D,1/2/2013,1900 - 2000,6,20,502,6,0,0,0,0,0,16,524,4,12
DFW,Terminal D,1/2/2013,2000 - 2100,5,11,171,0,0,0,0,0,0,5,176,1,12
DFW,Terminal D,1/3/2013,0500 - 0600,28,58,52,49,69,29,0,0,0,12,211,1,13
DFW,Terminal D,1/3/2013,0600 - 0700,30,61,163,257,246,153,3,0,0,26,848,4,13
DFW,Terminal D,1/3/2013,0700 - 0800,9,22,107,17,0,0,0,0,0,4,128,1,10
DFW,Terminal D,1/3/2013,0800 - 0900,40,125,200,289,184,78,81,111,12,32,987,6,17
DFW,Terminal D,1/3/2013,0900 - 1000,56,103,12,81,134,38,83,100,0,16,464,6,18
DFW,Terminal D,1/3/2013,1000 - 1100,31,72,76,105,79,5,49,0,0,10,324,3,18
DFW,Terminal D,1/3/2013,1100 - 1200,10,33,158,21,4,0,0,0,0,6,189,2,11
DFW,Terminal D,1/3/2013,1200 - 1300,14,33,296,258,16,0,0,0,0,14,584,5,17
DFW,Terminal D,1/3/2013,1300 - 1400,23,57,265,245,205,54,0,0,0,22,791,3,15
DFW,Terminal D,1/3/2013,1400 - 1500,27,79,242,174,141,53,51,0,0,19,680,3,18
DFW,Terminal D,1/3/2013,1500 - 1600,45,115,55,190,240,154,69,77,0,27,812,8,17
DFW,Terminal D,1/3/2013,1600 - 1700,48,105,92,53,173,322,152,25,0,31,848,7,16
DFW,Terminal D,1/3/2013,1700 - 1800,35,70,37,173,289,86,25,0,0,22,632,7,13
DFW,Terminal D,1/3/2013,1800 - 1900,35,73,35,204,198,98,19,0,0,19,573,4,14
DFW,Terminal D,1/3/2013,1900 - 2000,22,41,55,322,42,0,0,0,0,10,429,4,12
DFW,Terminal D,1/3/2013,2000 - 2100,7,30,486,71,0,0,0,0,0,14,571,4,12
DFW,Terminal D,1/4/2013,0600 - 0700,22,48,222,158,180,25,0,0,0,19,604,3,13
DFW,Terminal D,1/4/2013,0700 - 0800,14,44,282,157,53,0,0,0,0,15,507,3,13
DFW,Terminal D,1/4/2013,0800 - 0900,18,45,217,206,61,0,0,0,0,15,499,5,14
DFW,Terminal D,1/4/2013,0900 - 1000,26,80,168,414,105,58,48,0,0,22,815,7,13
DFW,Terminal D,1/4/2013,1000 - 1100,28,66,48,274,70,40,15,0,0,13,460,5,12
DFW,Terminal D,1/4/2013,1100 - 1200,22,54,61,64,31,14,0,0,0,6,176,2,11
DFW,Terminal D,1/4/2013,1200 - 1300,35,58,17,72,149,62,0,0,0,6,306,2,15
DFW,Terminal D,1/4/2013,1300 - 1400,19,64,490,301,110,63,10,0,0,29,1003,4,18
DFW,Terminal D,1/4/2013,1400 - 1500,21,48,246,321,141,12,0,0,0,22,742,4,18
DFW,Terminal D,1/4/2013,1500 - 1600,17,39,358,414,36,0,0,0,0,24,832,7,20
DFW,Terminal D,1/4/2013,1600 - 1700,9,30,661,77,0,0,0,0,0,23,761,7,17
DFW,Terminal D,1/4/2013,1700 - 1800,23,77,319,200,238,46,8,0,0,24,835,8,13
DFW,Terminal D,1/4/2013,1800 - 1900,39,71,34,71,322,89,31,0,0,18,565,5,11
DFW,Terminal D,1/4/2013,1900 - 2000,19,36,82,224,9,0,0,0,0,9,324,3,9
DFW,Terminal D,1/4/2013,2000 - 2100,5,18,161,5,0,0,0,0,0,6,172,1,9
DFW,Terminal D,1/4/2013,2100 - 2200,12,27,86,50,0,0,0,0,0,2,138,1,6
DFW,Terminal D,1/5/2013,0600 - 0700,24,54,247,277,217,57,0,0,0,24,822,4,12
DFW,Terminal D,1/5/2013,0700 - 0800,6,13,101,0,0,0,0,0,0,4,105,1,13
DFW,Terminal D,1/5/2013,0800 - 0900,34,99,236,166,173,94,104,25,0,27,825,5,15
DFW,Terminal D,1/5/2013,0900 - 1000,51,122,130,139,189,278,279,119,3,36,1173,9,18
DFW,Terminal D,1/5/2013,1000 - 1100,50,128,66,55,58,84,125,31,3,19,441,6,17
DFW,Terminal D,1/5/2013,1100 - 1200,30,63,39,83,115,22,4,0,0,9,272,2,12
DFW,Terminal D,1/5/2013,1200 - 1300,35,62,15,107,228,68,2,0,0,14,434,3,15
DFW,Terminal D,1/5/2013,1300 - 1400,21,75,416,242,147,42,50,0,0,29,926,4,19
DFW,Terminal D,1/5/2013,1400 - 1500,32,69,65,297,77,121,43,0,0,18,621,4,23
DFW,Terminal D,1/5/2013,1500 - 1600,34,83,248,295,356,224,106,0,0,41,1270,9,22
DFW,Terminal D,1/5/2013,1600 - 1700,27,58,77,380,132,55,0,0,0,23,667,6,20
DFW,Terminal D,1/5/2013,1700 - 1800,15,36,313,228,33,0,0,0,0,22,596,6,18
DFW,Terminal D,1/5/2013,1800 - 1900,26,56,179,447,301,47,0,0,0,28,1002,8,14
DFW,Terminal D,1/5/2013,1900 - 2000,15,27,202,199,0,0,0,0,0,12,413,4,14
DFW,Terminal D,1/5/2013,2000 - 2100,9,28,471,85,0,0,0,0,0,17,573,4,14
DFW,Terminal D,1/5/2013,2100 - 2200,19,47,258,226,109,3,0,0,0,16,612,4,9
DFW,Terminal D,1/6/2013,0600 - 0700,17,42,322,414,55,0,0,0,0,22,813,4,14
