Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
DTW,McNamara Terminal,1/1/2013,0600 - 0700,14,31,92,72,3,0,0,0,0,9,176,1,9
DTW,McNamara Terminal,1/1/2013,1000 - 1100,18,40,161,143,54,0,0,0,0,9,367,1,15
DTW,McNamara Terminal,1/1/2013,1100 - 1200,17,31,122,167,4,0,0,0,0,7,300,1,18
DTW,McNamara Terminal,1/1/2013,1200 - 1300,11,27,244,122,0,0,0,0,0,11,377,1,25
DTW,McNamara Terminal,1/1/2013,1300 - 1400,9,26,624,136,0,0,0,0,0,22,782,3,26
DTW,McNamara Terminal,1/1/2013,1600 - 1700,12,22,157,101,0,0,0,0,0,8,266,1,15
DTW,McNamara Terminal,1/1/2013,1700 - 1800,12,23,280,138,0,0,0,0,0,11,429,2,15
DTW,McNamara Terminal,1/1/2013,1800 - 1900,12,24,307,112,0,0,0,0,0,14,433,2,18
DTW,McNamara Terminal,1/1/2013,1900 - 2000,10,24,166,60,0,0,0,0,0,6,232,1,16
DTW,North Terminal,1/1/2013,1600 - 1700,24,46,92,144,124,5,0,0,0,5,370,2,8
DTW,McNamara Terminal,1/2/2013,0700 - 0800,16,42,100,38,41,0,0,0,0,6,185,1,9
DTW,McNamara Terminal,1/2/2013,0900 - 1000,21,47,141,109,94,12,0,0,0,11,367,1,12
DTW,McNamara Terminal,1/2/2013,1100 - 1200,18,35,125,141,26,0,0,0,0,8,300,1,12
DTW,McNamara Terminal,1/2/2013,1200 - 1300,5,12,471,0,0,0,0,0,0,13,484,2,28
DTW,McNamara Terminal,1/2/2013,1300 - 1400,17,42,491,337,116,0,0,0,0,26,970,3,29
DTW,McNamara Terminal,1/2/2013,1600 - 1700,20,40,174,257,86,0,0,0,0,16,533,2,13
DTW,McNamara Terminal,1/2/2013,1800 - 1900,16,45,492,217,110,0,0,0,0,21,840,4,22
DTW,McNamara Terminal,1/2/2013,1900 - 2000,15,33,109,66,11,0,0,0,0,4,190,2,8
DTW,North Terminal,1/2/2013,1600 - 1700,17,36,112,76,29,0,0,0,0,7,224,1,8
DTW,North Terminal,1/2/2013,1700 - 1800,3,12,306,0,0,0,0,0,0,7,313,2,8
DTW,McNamara Terminal,1/3/2013,0600 - 0700,45,83,66,77,77,85,151,0,0,17,473,2,13
DTW,McNamara Terminal,1/3/2013,0900 - 1000,25,59,130,120,43,66,0,0,0,10,369,1,12
DTW,McNamara Terminal,1/3/2013,1100 - 1200,19,39,122,105,67,0,0,0,0,4,298,1,12
DTW,McNamara Terminal,1/3/2013,1200 - 1300,14,36,521,270,35,0,0,0,0,28,854,3,22
DTW,McNamara Terminal,1/3/2013,1300 - 1400,12,28,375,157,0,0,0,0,0,13,545,2,22
DTW,McNamara Terminal,1/3/2013,1600 - 1700,12,23,159,92,0,0,0,0,0,8,259,1,14
DTW,McNamara Terminal,1/3/2013,1700 - 1800,30,79,272,248,166,171,70,0,0,28,955,4,18
