Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
EWR,Terminal B,1/1/2015,0600 - 0700,12,25,154,82,0,0,0,0,0,8,244,1,10
EWR,Terminal B,1/1/2015,0700 - 0800,31,67,82,76,68,47,33,0,0,9,315,1,10
EWR,Terminal B,1/1/2015,1100 - 1200,8,32,261,19,3,0,0,0,0,7,290,3,22
EWR,Terminal B,1/1/2015,1200 - 1300,16,44,485,249,90,0,0,0,0,23,847,5,21
EWR,Terminal B,1/1/2015,1300 - 1400,30,46,24,364,322,9,0,0,0,21,740,3,25
EWR,Terminal B,1/1/2015,1400 - 1500,32,65,163,448,437,205,34,0,0,36,1323,8,25
EWR,Terminal B,1/1/2015,1500 - 1600,43,64,10,31,98,98,17,0,0,7,261,1,22
EWR,Terminal B,1/1/2015,1600 - 1700,26,56,184,464,223,62,0,0,0,26,959,4,25
EWR,Terminal B,1/1/2015,1700 - 1800,17,35,283,338,23,0,0,0,0,21,665,4,25
EWR,Terminal B,1/1/2015,1800 - 1900,12,27,545,204,0,0,0,0,0,16,765,6,24
EWR,Terminal B,1/1/2015,1900 - 2000,7,19,1246,45,0,0,0,0,0,34,1325,7,30
EWR,Terminal B,1/1/2015,2000 - 2100,13,37,612,391,20,0,0,0,0,30,1053,6,19
EWR,Terminal B,1/1/2015,2200 - 2300,12,26,131,59,0,0,0,0,0,4,194,2,7
EWR,Terminal B,1/1/2015,2300 - 0000,16,33,127,103,20,0,0,0,0,7,257,1,7
EWR,Terminal C,1/1/2015,0400 - 0500,23,53,190,184,116,29,0,0,0,13,532,2,11
EWR,Terminal C,1/1/2015,0500 - 0600,17,35,92,113,16,0,0,0,0,6,227,1,12
EWR,Terminal C,1/1/2015,0600 - 0700,9,26,210,55,0,0,0,0,0,6,271,1,12
EWR,Terminal C,1/1/2015,0700 - 0800,5,9,26,0,0,0,0,0,0,1,27,1,3
EWR,Terminal C,1/1/2015,0900 - 1000,18,35,72,78,13,0,0,0,0,3,166,1,10
EWR,Terminal C,1/1/2015,1100 - 1200,9,23,202,27,0,0,0,0,0,8,237,2,11
EWR,Terminal C,1/1/2015,1200 - 1300,6,25,261,30,0,0,0,0,0,9,300,2,11
EWR,Terminal C,1/1/2015,1300 - 1400,15,46,429,260,87,1,0,0,0,20,797,4,10
EWR,Terminal C,1/1/2015,1400 - 1500,12,27,108,46,0,0,0,0,0,4,158,1,8
EWR,Terminal C,1/1/2015,1500 - 1600,11,29,200,59,0,0,0,0,0,5,264,2,8
EWR,Terminal C,1/1/2015,1600 - 1700,11,23,202,61,0,0,0,0,0,4,267,1,8
EWR,Terminal C,1/1/2015,1700 - 1800,9,34,419,49,8,0,0,0,0,11,487,3,8
EWR,Terminal C,1/1/2015,1800 - 1900,8,22,540,30,0,0,0,0,0,15,585,5,7
EWR,Terminal B,1/2/2015,0600 - 0700,35,56,42,75,122,92,0,0,0,7,338,1,9
EWR,Terminal B,1/2/2015,0900 - 1000,8,17,30,2,0,0,0,0,0,0,32,1,2
EWR,Terminal B,1/2/2015,1100 - 1200,11,29,199,55,0,0,0,0,0,8,262,3,15
EWR,Terminal B,1/2/2015,1200 - 1300,17,40,325,316,77,0,0,0,0,19,737,5,18
EWR,Terminal B,1/2/2015,1300 - 1400,21,65,945,610,341,181,13,0,0,61,2151,9,34
EWR,Terminal B,1/2/2015,1400 - 1500,29,59,122,460,333,91,0,0,0,32,1038,7,28
EWR,Terminal B,1/2/2015,1500 - 1600,38,71,104,149,330,164,103,0,0,24,874,4,30
EWR,Terminal B,1/2/2015,1600 - 1700,16,40,753,579,157,0,0,0,0,40,1529,7,26
EWR,Terminal B,1/2/2015,1700 - 1800,13,33,307,174,9,0,0,0,0,14,504,4,17
EWR,Terminal B,1/2/2015,1800 - 1900,8,24,672,88,0,0,0,0,0,22,782,5,23
EWR,Terminal B,1/2/2015,1900 - 2000,23,74,461,740,197,72,45,0,0,46,1561,9,22
EWR,Terminal B,1/2/2015,2000 - 2100,24,59,250,336,220,58,0,0,0,21,885,4,22
EWR,Terminal B,1/2/2015,2100 - 2200,19,46,322,362,97,1,0,0,0,27,809,6,20
EWR,Terminal B,1/2/2015,2300 - 0000,19,37,113,100,46,0,0,0,0,6,265,1,7
EWR,Terminal C,1/2/2015,0400 - 0500,11,34,380,133,5,0,0,0,0,16,534,2,11
EWR,Terminal C,1/2/2015,0500 - 0600,12,32,360,81,4,0,0,0,0,15,460,3,13
EWR,Terminal C,1/2/2015,0600 - 0700,17,45,265,132,82,0,0,0,0,15,494,2,11
EWR,Terminal C,1/2/2015,0700 - 0800,10,22,142,41,0,0,0,0,0,5,188,2,6
EWR,Terminal C,1/2/2015,0800 - 0900,19,47,170,91,61,8,0,0,0,9,339,2,6
EWR,Terminal C,1/2/2015,0900 - 1000,4,11,42,0,0,0,0,0,0,0,42,1,3
EWR,Terminal C,1/2/2015,1100 - 1200,9,22,37,6,0,0,0,0,0,0,43,1,7
EWR,Terminal C,1/2/2015,1200 - 1300,15,39,382,239,52,0,0,0,0,21,694,5,14
EWR,Terminal C,1/2/2015,1300 - 1400,16,49,499,157,122,18,0,0,0,21,817,4,12
EWR,Terminal C,1/2/2015,1400 - 1500,17,55,390,112,112,28,0,0,0,19,661,3,11
EWR,Terminal C,1/2/2015,1500 - 1600,12,32,183,89,4,0,0,0,0,7,283,2,8
EWR,Terminal C,1/2/2015,1600 - 1700,8,27,431,61,0,0,0,0,0,13,505,2,7
EWR,Terminal C,1/2/2015,1700 - 1800,12,28,468,173,0,0,0,0,0,21,662,4,12
EWR,Terminal C,1/2/2015,1800 - 1900,11,26,383,121,0,0,0,0,0,13,517,5,12
EWR,Terminal B,1/3/2015,0700 - 0800,23,42,93,138,95,0,0,0,0,11,337,1,9
EWR,Terminal B,1/3/2015,0900 - 1000,6,16,63,3,0,0,0,0,0,2,68,1,5
EWR,Terminal B,1/3/2015,1000 - 1100,8,17,68,4,0,0,0,0,0,3,75,1,5
EWR,Terminal B,1/3/2015,1100 - 1200,7,16,68,1,0,0,0,0,0,3,72,1,13
EWR,Terminal B,1/3/2015,1200 - 1300,10,32,823,209,5,0,0,0,0,29,1066,6,29
EWR,Terminal B,1/3/2015,1300 - 1400,19,54,554,528,153,34,0,0,0,39,1308,6,32
EWR,Terminal B,1/3/2015,1400 - 1500,21,52,535,513,297,36,0,0,0,44,1425,8,28
EWR,Terminal B,1/3/2015,1500 - 1600,18,39,210,259,39,0,0,0,0,16,524,2,23
EWR,Terminal B,1/3/2015,1600 - 1700,13,29,430,252,0,0,0,0,0,22,704,4,26
EWR,Terminal B,1/3/2015,1700 - 1800,22,46,411,478,357,1,0,0,0,30,1277,6,24
EWR,Terminal B,1/3/2015,1800 - 1900,14,39,562,404,23,0,0,0,0,28,1017,5,25
EWR,Terminal B,1/3/2015,1900 - 2000,8,19,624,29,0,0,0,0,0,17,670,4,23
EWR,Terminal B,1/3/2015,2000 - 2100,10,23,177,52,0,0,0,0,0,7,236,2,16
EWR,Terminal B,1/3/2015,2100 - 2200,15,36,687,548,23,0,0,0,0,36,1294,6,25
EWR,Terminal B,1/3/2015,2200 - 2300,12,21,223,89,0,0,0,0,0,6,318,2,19
EWR,Terminal B,1/3/2015,2300 - 0000,10,26,358,112,0,0,0,0,0,12,482,3,10
EWR,Terminal C,1/3/2015,0400 - 0500,14,31,534,270,3,0,0,0,0,24,831,4,18
EWR,Terminal C,1/3/2015,0500 - 0600,9,25,208,54,0,0,0,0,0,6,268,1,11
EWR,Terminal C,1/3/2015,0600 - 0700,17,43,197,130,56,0,0,0,0,11,394,2,8
EWR,Terminal C,1/3/2015,0700 - 0800,12,28,119,58,0,0,0,0,0,7,184,2,6
