Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
FAT,Main,01-01-2013,2100 - 2200,17,43,66,35,27,0,0,0,0,4,132,1,3
FAT,Main,01-01-2013,2300 - 0000,15,47,91,30,25,3,0,0,0,5,154,1,3
FAT,Main,01-02-2013,2100 - 2200,27,52,35,33,39,19,0,0,0,2,128,1,3
FAT,Main,01-02-2013,2200 - 2300,19,39,64,48,34,0,0,0,0,5,151,1,3
FAT,Main,01-03-2013,2100 - 2200,19,40,55,40,30,0,0,0,0,4,129,1,3
FAT,Main,01-03-2013,2200 - 2300,20,47,82,39,47,9,0,0,0,2,179,1,3
FAT,Main,01-04-2013,2100 - 2200,22,45,59,51,48,0,0,0,0,1,159,1,3
FAT,Main,01-04-2013,2200 - 2300,16,37,83,61,26,0,0,0,0,6,176,1,3
FAT,Main,01-05-2013,2100 - 2200,16,35,60,49,20,0,0,0,0,2,131,1,3
FAT,Main,01-05-2013,2200 - 2300,17,40,87,47,39,0,0,0,0,4,177,1,3
FAT,Main,01-06-2013,2200 - 2300,24,47,43,58,49,5,0,0,0,7,162,1,3
FAT,Main,01-06-2013,2300 - 0000,24,47,56,58,50,8,0,0,0,7,179,1,3
FAT,Main,01-07-2013,2200 - 2300,20,41,49,51,24,0,0,0,0,7,131,1,3
FAT,Main,01-07-2013,2300 - 0000,26,50,46,49,56,13,0,0,0,9,173,1,3
FAT,Main,01-08-2013,2100 - 2200,19,40,49,51,28,0,0,0,0,7,135,1,3
FAT,Main,01-08-2013,2200 - 2300,20,48,72,44,44,5,0,0,0,6,171,1,3
FAT,Main,01-09-2013,2100 - 2200,21,43,57,35,39,0,0,0,0,2,133,1,3
FAT,Main,01-09-2013,2200 - 2300,35,72,34,37,41,32,26,0,0,6,176,1,2
FAT,Main,01-10-2013,2100 - 2200,18,36,61,45,27,0,0,0,0,0,133,1,3
FAT,Main,01-10-2013,2200 - 2300,21,50,76,35,43,13,0,0,0,5,172,1,3
FAT,Main,01-11-2013,2100 - 2200,13,34,76,44,10,0,0,0,0,4,134,1,3
FAT,Main,01-11-2013,2200 - 2300,21,46,70,52,45,4,0,0,0,4,175,1,3
FAT,Main,01-12-2013,2200 - 2300,23,57,106,104,63,31,0,0,0,8,312,2,3
FAT,Main,1/13/2013,2100 - 2200,19,40,68,59,35,0,0,0,0,1,163,1,3
FAT,Main,1/13/2013,2200 - 2300,19,43,76,52,44,0,0,0,0,1,173,1,3
FAT,Main,1/14/2013,2100 - 2200,16,37,62,46,14,0,0,0,0,4,126,1,3
FAT,Main,1/14/2013,2300 - 0000,8,17,37,3,0,0,0,0,0,2,42,1,3
FAT,Main,1/15/2013,1700 - 1800,19,31,52,83,7,0,0,0,0,1,143,1,3
FAT,Main,1/15/2013,2100 - 2200,29,58,31,33,34,28,0,0,0,4,130,1,3
FAT,Main,1/15/2013,2200 - 2300,18,38,59,55,24,0,0,0,0,3,141,1,3
FAT,Main,1/16/2013,2100 - 2200,22,47,48,49,30,4,0,0,0,5,136,1,3
FAT,Main,1/16/2013,2200 - 2300,17,39,61,57,20,0,0,0,0,4,142,1,3
FAT,Main,1/17/2013,2100 - 2200,15,40,50,34,15,0,0,0,0,4,103,1,3
FAT,Main,1/17/2013,2200 - 2300,19,48,68,46,28,7,0,0,0,3,152,1,3
FAT,Main,1/18/2013,2100 - 2200,24,54,44,28,27,17,0,0,0,6,122,1,3
FAT,Main,1/18/2013,2200 - 2300,26,55,43,35,38,16,0,0,0,8,140,1,3
FAT,Main,1/19/2013,2100 - 2200,20,40,40,46,24,0,0,0,0,4,114,1,3
FAT,Main,1/19/2013,2200 - 2300,22,50,61,42,43,11,0,0,0,5,162,1,3
FAT,Main,1/20/2013,2100 - 2200,15,37,74,45,15,0,0,0,0,5,139,1,3
FAT,Main,1/20/2013,2200 - 2300,25,54,64,24,43,24,0,0,0,5,160,1,3
FAT,Main,1/21/2013,2300 - 0000,23,61,68,36,38,19,1,0,0,7,169,1,3
FAT,Main,1/22/2013,2200 - 2300,26,56,50,42,36,23,0,0,0,5,156,1,3
FAT,Main,1/23/2013,2200 - 2300,25,56,48,41,47,19,0,0,0,5,160,1,3
FAT,Main,1/24/2013,2200 - 2300,28,64,47,29,30,24,9,0,0,3,142,1,3
FAT,Main,1/25/2013,2200 - 2300,19,44,48,35,29,0,0,0,0,4,116,1,3
FAT,Main,1/25/2013,2300 - 0000,34,67,33,25,32,36,15,0,0,8,149,1,3
FAT,Main,1/26/2013,2100 - 2200,15,38,55,30,13,0,0,0,0,4,102,1,3
FAT,Main,1/26/2013,2200 - 2300,25,53,53,37,39,18,0,0,0,9,156,1,3
FAT,Main,1/27/2013,2100 - 2200,23,55,52,38,34,16,0,0,0,5,145,1,3
FAT,Main,1/27/2013,2200 - 2300,32,65,36,37,41,25,12,0,0,4,155,1,3
FAT,Main,1/28/2013,2200 - 2300,22,45,67,49,53,0,0,0,0,2,171,1,3
FAT,Main,1/29/2013,2200 - 2300,19,43,65,40,38,0,0,0,0,4,147,1,3
FAT,Main,1/30/2013,2200 - 2300,29,67,54,29,44,29,10,0,0,4,170,1,3
FAT,Main,1/31/2013,2200 - 2300,28,59,49,35,38,30,0,0,0,3,155,1,3
FAT,Main,02-01-2013,2100 - 2200,24,53,39,32,25,14,0,0,0,7,117,1,3
FAT,Main,02-01-2013,2200 - 2300,32,62,23,38,31,31,2,0,0,7,132,1,3
FAT,Main,02-02-2013,2100 - 2200,20,48,50,32,34,4,0,0,0,3,123,1,3
