Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
FLL,Terminal 4,01-01-2013,0500 - 0600,21,38,43,62,26,0,0,0,0,5,136,1,4
FLL,Terminal 4,01-01-2013,0800 - 0900,3,12,75,0,0,0,0,0,0,3,78,2,5
FLL,Terminal 4,01-01-2013,1000 - 1100,3,19,190,2,0,0,0,0,0,5,197,3,6
FLL,Terminal 4,01-01-2013,1100 - 1200,2,10,175,0,0,0,0,0,0,14,189,5,6
FLL,Terminal 4,01-01-2013,1200 - 1300,4,12,148,0,0,0,0,0,0,4,152,2,10
FLL,Terminal 4,01-01-2013,1300 - 1400,9,26,112,38,0,0,0,0,0,6,156,2,11
FLL,Terminal 4,01-01-2013,1400 - 1500,3,12,133,0,0,0,0,0,0,4,137,4,9
FLL,Terminal 4,01-01-2013,1500 - 1600,3,8,77,0,0,0,0,0,0,5,82,5,9
FLL,Terminal 4,01-01-2013,1600 - 1700,25,69,197,236,169,37,23,0,0,21,683,8,12
FLL,Terminal 4,01-01-2013,1700 - 1800,1,3,33,0,0,0,0,0,0,2,35,3,6
FLL,Terminal 4,01-01-2013,1800 - 1900,24,48,275,429,339,22,0,0,0,29,1094,8,13
FLL,Terminal 4,01-01-2013,1900 - 2000,27,67,38,98,56,15,4,0,0,5,216,2,13
FLL,Terminal 4,01-01-2013,2000 - 2100,35,46,7,20,61,4,0,0,0,1,93,1,8
FLL,Terminal 4,01-01-2013,2100 - 2200,15,34,65,48,10,0,0,0,0,3,126,1,7
FLL,Terminal 4,01-02-2013,0500 - 0600,13,33,82,47,7,0,0,0,0,5,141,1,6
FLL,Terminal 4,01-02-2013,0600 - 0700,23,48,56,53,44,12,0,0,0,5,170,1,5
FLL,Terminal 4,01-02-2013,0800 - 0900,22,40,44,49,50,0,0,0,0,0,143,1,4
FLL,Terminal 4,01-02-2013,0900 - 1000,2,9,42,0,0,0,0,0,0,2,44,4,3
FLL,Terminal 4,01-02-2013,1000 - 1100,7,16,91,5,0,0,0,0,0,3,99,2,4
FLL,Terminal 4,01-02-2013,1100 - 1200,16,41,157,121,26,0,0,0,0,5,309,4,8
FLL,Terminal 4,01-02-2013,1200 - 1300,6,21,162,20,0,0,0,0,0,6,188,6,7
FLL,Terminal 4,01-02-2013,1300 - 1400,14,39,117,43,21,0,0,0,0,7,188,2,7
FLL,Terminal 4,01-02-2013,1400 - 1500,15,38,176,93,43,0,0,0,0,15,327,6,9
FLL,Terminal 4,01-02-2013,1500 - 1600,8,22,355,92,0,0,0,0,0,13,460,11,13
FLL,Terminal 4,01-02-2013,1600 - 1700,15,36,264,250,10,0,0,0,0,20,544,9,13
FLL,Terminal 4,01-02-2013,1700 - 1800,4,17,357,7,0,0,0,0,0,10,374,3,14
FLL,Terminal 4,01-02-2013,1800 - 1900,8,23,503,115,0,0,0,0,0,14,632,6,14
FLL,Terminal 4,01-02-2013,1900 - 2000,9,16,156,17,0,0,0,0,0,6,179,1,9
FLL,Terminal 4,01-02-2013,2000 - 2100,5,13,147,0,0,0,0,0,0,3,150,1,7
FLL,Terminal 4,01-02-2013,2100 - 2200,17,33,98,111,21,0,0,0,0,5,235,2,7
FLL,Terminal 4,01-03-2013,0500 - 0600,22,51,105,119,65,20,0,0,0,9,318,2,5
FLL,Terminal 4,01-03-2013,0600 - 0700,11,22,113,49,0,0,0,0,0,7,169,1,7
FLL,Terminal 4,01-03-2013,0800 - 0900,24,45,48,38,53,0,0,0,0,5,144,2,4
FLL,Terminal 4,01-03-2013,1000 - 1100,22,56,91,105,70,9,0,0,0,6,281,3,7
FLL,Terminal 4,01-03-2013,1100 - 1200,25,55,81,118,86,19,0,0,0,8,312,3,9
FLL,Terminal 4,01-03-2013,1200 - 1300,16,42,158,96,36,0,0,0,0,10,300,5,8
FLL,Terminal 4,01-03-2013,1300 - 1400,22,41,45,144,44,0,0,0,0,7,240,6,11
FLL,Terminal 4,01-03-2013,1400 - 1500,10,17,119,26,0,0,0,0,0,6,151,2,9
FLL,Terminal 4,01-03-2013,1500 - 1600,4,16,262,1,0,0,0,0,0,10,273,8,9
FLL,Terminal 4,01-03-2013,1600 - 1700,12,33,253,162,2,0,0,0,0,18,435,8,10
FLL,Terminal 4,01-03-2013,1700 - 1800,8,21,247,43,0,0,0,0,0,6,296,3,11
FLL,Terminal 4,01-03-2013,1800 - 1900,32,90,266,241,165,139,112,0,0,25,948,7,11
FLL,Terminal 4,01-03-2013,1900 - 2000,25,48,68,47,66,18,0,0,0,9,208,5,6
FLL,Terminal 4,01-03-2013,2100 - 2200,15,35,126,97,15,0,0,0,0,8,246,2,6
FLL,Terminal 4,01-04-2013,0500 - 0600,18,33,66,90,16,0,0,0,0,5,177,1,4
FLL,Terminal 4,01-04-2013,0600 - 0700,8,26,107,27,0,0,0,0,0,4,138,1,5
FLL,Terminal 4,01-04-2013,0800 - 0900,12,27,83,49,0,0,0,0,0,5,137,1,5
FLL,Terminal 4,01-04-2013,0900 - 1000,3,7,15,0,0,0,0,0,0,1,16,1,3
FLL,Terminal 4,01-04-2013,1000 - 1100,12,31,64,35,1,0,0,0,0,4,104,3,3
FLL,Terminal 4,01-04-2013,1100 - 1200,19,47,133,124,65,5,0,0,0,10,337,3,8
FLL,Terminal 4,01-04-2013,1200 - 1300,0,3,55,0,0,0,0,0,0,0,55,3,6
FLL,Terminal 4,01-04-2013,1300 - 1400,11,31,202,102,1,0,0,0,0,9,314,2,8
FLL,Terminal 4,01-04-2013,1400 - 1500,10,24,118,46,0,0,0,0,0,9,173,2,9
FLL,Terminal 4,01-04-2013,1500 - 1600,9,20,144,50,0,0,0,0,0,5,199,4,9
FLL,Terminal 4,01-04-2013,1600 - 1700,13,50,354,13,82,12,0,0,0,13,474,4,11
FLL,Terminal 4,01-04-2013,1700 - 1800,13,35,82,37,14,0,0,0,0,5,138,3,10
FLL,Terminal 4,01-04-2013,1800 - 1900,14,30,347,329,0,0,0,0,0,13,689,4,14
FLL,Terminal 4,01-04-2013,1900 - 2000,5,18,484,9,0,0,0,0,0,18,511,6,13
FLL,Terminal 4,01-04-2013,2000 - 2100,17,41,109,104,18,0,0,0,0,12,243,2,9
FLL,Terminal 4,01-04-2013,2100 - 2200,10,21,108,31,0,0,0,0,0,4,143,1,8
FLL,Terminal 4,01-05-2013,0500 - 0600,12,25,83,59,0,0,0,0,0,5,147,1,5
FLL,Terminal 4,01-05-2013,0600 - 0700,11,29,191,86,0,0,0,0,0,9,286,2,5
FLL,Terminal 4,01-05-2013,1000 - 1100,27,56,142,127,194,53,0,0,0,15,531,6,6
FLL,Terminal 4,01-05-2013,1100 - 1200,35,54,64,60,156,120,0,0,0,12,412,3,12
FLL,Terminal 4,01-05-2013,1200 - 1300,10,22,108,48,0,0,0,0,0,3,159,3,12
FLL,Terminal 4,01-05-2013,1300 - 1400,11,28,238,99,0,0,0,0,0,9,346,4,9
FLL,Terminal 4,01-05-2013,1400 - 1500,8,18,157,21,0,0,0,0,0,8,186,3,11
FLL,Terminal 4,01-05-2013,1500 - 1600,10,38,322,68,6,0,0,0,0,11,407,6,11
FLL,Terminal 4,01-05-2013,1600 - 1700,13,29,200,140,0,0,0,0,0,12,352,6,10
FLL,Terminal 4,01-05-2013,1700 - 1800,1,9,86,0,0,0,0,0,0,5,91,6,5
FLL,Terminal 4,01-05-2013,1800 - 1900,28,57,139,115,104,101,0,0,0,40,499,4,11
FLL,Terminal 4,01-05-2013,1900 - 2000,59,96,45,69,140,135,403,58,0,25,875,5,12
FLL,Terminal 4,01-05-2013,2000 - 2100,24,53,17,73,9,16,0,0,0,5,120,3,7
FLL,Terminal 4,01-05-2013,2100 - 2200,26,35,7,82,39,0,0,0,0,1,129,1,9
FLL,Terminal 4,01-06-2013,0500 - 0600,21,61,126,82,86,18,3,0,0,9,324,2,5
FLL,Terminal 4,01-06-2013,0600 - 0700,33,50,10,43,83,8,0,0,0,2,146,1,5
FLL,Terminal 4,01-06-2013,0800 - 0900,13,31,79,69,3,0,0,0,0,4,155,1,5
FLL,Terminal 4,01-06-2013,1000 - 1100,8,25,90,26,0,0,0,0,0,4,120,3,4
FLL,Terminal 4,01-06-2013,1100 - 1200,23,51,129,90,98,30,0,0,0,9,356,3,10
FLL,Terminal 4,01-06-2013,1200 - 1300,1,6,67,0,0,0,0,0,0,0,67,3,6
FLL,Terminal 4,01-06-2013,1300 - 1400,32,67,101,106,84,80,47,0,0,9,427,3,9
FLL,Terminal 4,01-06-2013,1400 - 1500,24,48,102,105,104,20,0,0,0,9,340,5,9
FLL,Terminal 4,01-06-2013,1500 - 1600,15,30,104,134,0,0,0,0,0,9,247,6,9
FLL,Terminal 4,01-06-2013,1600 - 1700,8,21,352,68,0,0,0,0,0,13,433,4,11
FLL,Terminal 4,01-06-2013,1700 - 1800,10,22,347,122,0,0,0,0,0,8,477,6,11
FLL,Terminal 4,01-06-2013,1800 - 1900,11,40,268,91,34,0,0,0,0,16,409,3,13
FLL,Terminal 4,01-06-2013,1900 - 2000,28,48,96,220,202,30,0,0,0,20,568,4,12
FLL,Terminal 4,01-06-2013,2000 - 2100,16,38,116,93,36,0,0,0,0,5,250,2,6
FLL,Terminal 4,01-06-2013,2100 - 2200,26,40,18,79,54,0,0,0,0,4,155,1,6
FLL,Terminal 4,01-06-2013,2200 - 2300,8,16,137,7,0,0,0,0,0,1,145,1,6
