Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
HNL,Main Overseas Terminal,01-01-2014,0200 - 0300,13,32,60,39,5,0,0,0,0,4,108,1,5
HNL,Main Overseas Terminal,01-01-2014,0600 - 0700,6,15,658,0,0,0,0,0,0,18,676,2,31
HNL,Main Overseas Terminal,01-01-2014,0700 - 0800,12,42,877,360,66,0,0,0,0,36,1339,7,33
HNL,Main Overseas Terminal,01-01-2014,0800 - 0900,7,34,1748,142,8,0,0,0,0,48,1946,9,40
HNL,Main Overseas Terminal,01-01-2014,0900 - 1000,21,40,474,953,257,0,0,0,0,44,1728,8,44
HNL,Main Overseas Terminal,01-01-2014,1000 - 1100,13,47,743,100,181,14,0,0,0,24,1062,4,42
HNL,Main Overseas Terminal,01-01-2014,1100 - 1200,7,22,430,57,0,0,0,0,0,12,499,2,38
HNL,Main Overseas Terminal,01-01-2014,1300 - 1400,10,25,234,50,0,0,0,0,0,9,293,2,16
HNL,Main Overseas Terminal,01-01-2014,2100 - 2200,22,48,79,82,52,8,0,0,0,6,227,1,6
HNL,Main Overseas Terminal,01-02-2014,0600 - 0700,11,30,613,294,0,0,0,0,0,28,935,3,35
HNL,Main Overseas Terminal,01-02-2014,0700 - 0800,9,24,759,133,0,0,0,0,0,21,913,4,48
HNL,Main Overseas Terminal,01-02-2014,0800 - 0900,7,29,1057,120,0,0,0,0,0,39,1216,5,45
HNL,Main Overseas Terminal,01-02-2014,0900 - 1000,19,47,944,1129,398,6,0,0,0,85,2562,11,43
HNL,Main Overseas Terminal,01-02-2014,1000 - 1100,6,20,598,54,0,0,0,0,0,26,678,3,43
HNL,Main Overseas Terminal,01-02-2014,1100 - 1200,10,20,492,60,0,0,0,0,0,16,568,2,41
HNL,Main Overseas Terminal,01-02-2014,1200 - 1300,2,7,238,0,0,0,0,0,0,14,252,1,38
HNL,Main Overseas Terminal,01-02-2014,1300 - 1400,5,19,214,10,0,0,0,0,0,7,231,1,34
HNL,Main Overseas Terminal,01-02-2014,2200 - 2300,30,45,0,81,72,0,0,0,0,3,156,1,5
HNL,Main Overseas Terminal,01-03-2014,0200 - 0300,23,54,47,36,27,17,0,0,0,3,130,1,4
HNL,Main Overseas Terminal,01-03-2014,0600 - 0700,9,22,746,149,0,0,0,0,0,23,918,3,38
