Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
IAD,International A,1/1/2015,0000 - 0100,15,41,83,34,21,0,0,0,0,4,142,1,4
IAD,International A,1/1/2015,0600 - 0700,13,29,251,177,0,0,0,0,0,13,441,2,16
IAD,International A,1/1/2015,0700 - 0800,2,23,230,20,0,0,0,0,0,6,256,1,14
IAD,International A,1/1/2015,0800 - 0900,7,23,420,61,0,0,0,0,0,15,496,2,17
IAD,International A,1/1/2015,0900 - 1000,5,21,224,15,0,0,0,0,0,8,247,1,19
IAD,International A,1/1/2015,1100 - 1200,2,9,174,0,0,0,0,0,0,6,180,2,13
IAD,International A,1/1/2015,1300 - 1400,7,25,500,87,0,0,0,0,0,19,606,3,24
IAD,International A,1/1/2015,1400 - 1500,9,47,1271,283,87,7,0,0,0,50,1698,8,29
IAD,International A,1/1/2015,1500 - 1600,13,47,872,146,226,11,0,0,0,31,1286,5,26
IAD,International A,1/1/2015,1600 - 1700,4,19,345,17,0,0,0,0,0,9,371,1,14
IAD,International A,1/1/2015,1800 - 1900,8,23,368,76,0,0,0,0,0,17,461,2,17
IAD,International A,1/1/2015,1900 - 2000,13,32,378,237,11,0,0,0,0,27,653,3,15
IAD,International A,1/1/2015,2000 - 2100,14,41,500,258,56,0,0,0,0,38,852,4,17
IAD,International A,1/2/2015,0000 - 0100,12,42,177,58,26,0,0,0,0,10,271,2,4
IAD,International A,1/2/2015,0600 - 0700,3,13,450,0,0,0,0,0,0,14,464,2,14
IAD,International A,1/2/2015,0700 - 0800,6,39,416,50,26,0,0,0,0,13,505,2,13
IAD,International A,1/2/2015,0800 - 0900,16,59,516,248,79,35,0,0,0,28,906,3,15
IAD,International A,1/2/2015,0900 - 1000,20,49,111,61,63,23,0,0,0,6,264,1,14
IAD,International A,1/2/2015,1100 - 1200,1,5,157,0,0,0,0,0,0,2,159,1,10
IAD,International A,1/2/2015,1200 - 1300,7,24,216,46,0,0,0,0,0,7,269,1,15
IAD,International A,1/2/2015,1300 - 1400,2,11,306,0,0,0,0,0,0,7,313,3,14
IAD,International A,1/2/2015,1400 - 1500,1,10,646,0,0,0,0,0,0,22,668,3,27
IAD,International A,1/2/2015,1500 - 1600,17,57,1467,708,477,128,0,0,0,77,2857,11,32
IAD,International A,1/2/2015,1600 - 1700,13,29,331,273,0,0,0,0,0,16,620,2,24
IAD,International A,1/2/2015,1700 - 1800,4,13,328,0,0,0,0,0,0,8,336,2,14
IAD,International A,1/2/2015,1800 - 1900,0,3,110,0,0,0,0,0,0,3,113,1,5
IAD,International A,1/2/2015,1900 - 2000,10,30,809,395,0,0,0,0,0,45,1249,6,17
IAD,International A,1/2/2015,2000 - 2100,9,28,641,165,0,0,0,0,0,36,842,5,15
IAD,International A,1/2/2015,2300 - 0000,5,17,145,6,0,0,0,0,0,8,159,2,4
IAD,International A,1/3/2015,0000 - 0100,3,16,144,2,0,0,0,0,0,5,151,1,5
IAD,International A,1/3/2015,0300 - 0400,9,32,216,64,7,0,0,0,0,9,296,1,7
IAD,International A,1/3/2015,0600 - 0700,0,4,257,0,0,0,0,0,0,7,264,1,15
IAD,International A,1/3/2015,0700 - 0800,12,44,633,189,64,0,0,0,0,28,914,3,16
IAD,International A,1/3/2015,0800 - 0900,9,32,262,75,9,0,0,0,0,11,357,1,12
IAD,International A,1/3/2015,0900 - 1000,8,43,391,55,44,0,0,0,0,13,503,2,15
IAD,International A,1/3/2015,1200 - 1300,1,9,160,0,0,0,0,0,0,5,165,1,9
IAD,International A,1/3/2015,1300 - 1400,18,57,371,107,136,64,0,0,0,19,697,3,23
IAD,International A,1/3/2015,1400 - 1500,16,63,965,352,217,80,12,0,0,63,1689,8,25
IAD,International A,1/3/2015,1500 - 1600,31,73,511,918,943,398,59,0,0,128,2957,12,30
IAD,International A,1/3/2015,1600 - 1700,23,60,179,244,107,40,0,0,0,25,595,3,29
IAD,International A,1/3/2015,1700 - 1800,8,17,255,13,0,0,0,0,0,14,282,1,10
IAD,International A,1/3/2015,1800 - 1900,22,50,113,168,79,10,0,0,0,22,392,2,14
IAD,International A,1/3/2015,1900 - 2000,8,23,761,158,0,0,0,0,0,26,945,5,14
IAD,International A,1/3/2015,2000 - 2100,16,58,313,205,49,15,0,0,0,28,610,3,12
IAD,International A,1/3/2015,2100 - 2200,18,43,282,446,66,0,0,0,0,43,837,5,6
IAD,International A,1/3/2015,2200 - 2300,7,15,156,0,0,0,0,0,0,6,162,1,6
IAD,International A,1/3/2015,2300 - 0000,10,26,92,27,0,0,0,0,0,7,126,1,4
IAD,International A,1/4/2015,0000 - 0100,4,20,134,14,0,0,0,0,0,3,151,1,4
IAD,International A,1/4/2015,0600 - 0700,4,20,452,11,0,0,0,0,0,15,478,2,14
IAD,International A,1/4/2015,0800 - 0900,6,44,708,87,16,0,0,0,0,24,835,3,15
IAD,International A,1/4/2015,0900 - 1000,16,43,326,196,91,0,0,0,0,20,633,2,17
IAD,International A,1/4/2015,1000 - 1100,12,59,338,80,32,38,0,0,0,16,504,3,13
IAD,International A,1/4/2015,1300 - 1400,3,20,494,30,0,0,0,0,0,12,536,3,15
IAD,International A,1/4/2015,1400 - 1500,5,34,1005,120,8,0,0,0,0,40,1173,6,27
IAD,International A,1/4/2015,1500 - 1600,8,38,1716,305,79,0,0,0,0,62,2162,8,28
IAD,International A,1/4/2015,1600 - 1700,15,38,738,735,54,0,0,0,0,42,1569,7,29
IAD,International A,1/4/2015,1700 - 1800,6,29,383,63,0,0,0,0,0,12,458,2,9
IAD,International A,1/4/2015,1800 - 1900,20,32,36,106,9,0,0,0,0,6,157,1,13
IAD,International A,1/4/2015,1900 - 2000,20,55,396,252,160,36,0,0,0,33,877,5,18
IAD,International A,1/4/2015,2000 - 2100,12,45,717,311,69,0,0,0,0,49,1146,5,14
IAD,International A,1/4/2015,2100 - 2200,12,36,300,80,34,0,0,0,0,18,432,3,13
IAD,International A,1/4/2015,2300 - 0000,8,28,197,32,0,0,0,0,0,12,241,2,5
IAD,International A,1/5/2015,0000 - 0100,6,23,100,18,0,0,0,0,0,2,120,1,4
IAD,International A,1/5/2015,0600 - 0700,8,30,410,65,0,0,0,0,0,12,487,2,13
IAD,International A,1/5/2015,0700 - 0800,2,17,502,9,0,0,0,0,0,17,528,2,13
IAD,International A,1/5/2015,0800 - 0900,15,59,432,150,60,43,0,0,0,21,706,2,14
IAD,International A,1/5/2015,0900 - 1000,12,35,147,69,21,0,0,0,0,7,244,1,15
