Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
IAH,IAB,01-01-2014,0400 - 0500,31,71,13,212,77,34,19,0,0,9,364,2,13
IAH,IAB,01-01-2014,0500 - 0600,27,60,167,114,116,101,0,0,0,15,513,3,14
IAH,IAB,01-01-2014,0600 - 0700,7,18,175,7,0,0,0,0,0,4,186,1,13
IAH,IAB,01-01-2014,0700 - 0800,7,20,86,7,0,0,0,0,0,2,95,2,11
IAH,IAB,01-01-2014,0800 - 0900,8,23,375,47,0,0,0,0,0,14,436,8,21
IAH,IAB,01-01-2014,0900 - 1000,8,25,482,26,0,0,0,0,0,18,526,4,16
IAH,IAB,01-01-2014,1000 - 1100,9,22,392,60,0,0,0,0,0,9,461,4,18
IAH,IAB,01-01-2014,1100 - 1200,7,18,447,10,0,0,0,0,0,12,469,4,19
IAH,IAB,01-01-2014,1200 - 1300,9,23,630,105,0,0,0,0,0,25,760,7,21
IAH,IAB,01-01-2014,1300 - 1400,10,36,676,153,12,0,0,0,0,36,877,7,23
IAH,IAB,01-01-2014,1400 - 1500,20,64,783,488,178,144,22,0,0,92,1707,11,34
IAH,IAB,01-01-2014,1500 - 1600,13,41,313,114,34,0,0,0,0,24,485,4,19
IAH,IAB,01-01-2014,1600 - 1700,13,47,1059,479,38,3,0,0,0,90,1669,12,35
IAH,IAB,01-01-2014,1700 - 1800,11,43,1221,249,31,0,0,0,0,80,1581,12,35
IAH,IAB,01-01-2014,1800 - 1900,12,40,762,306,42,0,0,0,0,58,1168,7,27
IAH,IAB,01-01-2014,1900 - 2000,14,55,865,296,136,19,0,0,0,68,1384,10,21
IAH,IAB,01-01-2014,2000 - 2100,25,38,9,17,21,0,0,0,0,4,51,1,8
IAH,IAB,01-01-2014,2200 - 2300,9,22,183,35,0,0,0,0,0,12,230,2,9
IAH,IAB,01-01-2014,2300 - 0000,6,11,25,0,0,0,0,0,0,2,27,1,5
IAH,IAB,01-02-2014,0400 - 0500,28,66,135,162,136,73,10,0,0,15,531,3,14
IAH,IAB,01-02-2014,0500 - 0600,16,44,198,67,64,0,0,0,0,10,339,2,13
IAH,IAB,01-02-2014,0600 - 0700,11,23,270,115,0,0,0,0,0,8,393,2,11
IAH,IAB,01-02-2014,0700 - 0800,8,15,52,0,0,0,0,0,0,2,54,1,7
IAH,IAB,01-02-2014,0800 - 0900,15,41,258,158,28,0,0,0,0,15,459,7,13
IAH,IAB,01-02-2014,0900 - 1000,27,53,108,316,218,29,0,0,0,28,699,8,14
