Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
LAS,Terminal 3,01-01-2014,1100 - 1200,8,17,73,4,0,0,0,0,0,3,80,1,7
LAS,Terminal 3,01-01-2014,1200 - 1300,18,45,89,88,31,0,0,0,0,6,214,2,9
LAS,Terminal 3,01-01-2014,1300 - 1400,19,35,210,329,72,0,0,0,0,21,632,4,15
LAS,Terminal 3,01-01-2014,1400 - 1500,10,22,162,54,0,0,0,0,0,5,221,1,14
LAS,Terminal 3,01-01-2014,1800 - 1900,11,27,294,100,0,0,0,0,0,19,413,2,13
LAS,Terminal 3,01-02-2014,1000 - 1100,32,62,38,49,70,42,5,0,0,4,208,2,7
LAS,Terminal 3,01-02-2014,1100 - 1200,57,87,27,26,54,109,250,0,0,12,478,4,10
LAS,Terminal 3,01-02-2014,1300 - 1400,20,42,206,290,100,0,0,0,0,16,612,5,15
LAS,Terminal 3,01-02-2014,1500 - 1600,10,22,212,87,0,0,0,0,0,15,314,2,14
LAS,Terminal 3,01-02-2014,1600 - 1700,23,47,163,133,130,17,0,0,0,23,466,2,13
LAS,Terminal 3,01-02-2014,1800 - 1900,20,56,241,93,76,59,0,0,0,20,489,3,13
LAS,Terminal 3,01-02-2014,1900 - 2000,4,10,31,0,0,0,0,0,0,2,33,1,5
LAS,Terminal 3,01-02-2014,2200 - 2300,20,54,123,98,59,10,0,0,0,13,303,2,8
LAS,Terminal 3,01-03-2014,1100 - 1200,12,26,51,32,0,0,0,0,0,5,88,1,5
LAS,Terminal 3,01-03-2014,1200 - 1300,3,9,9,0,0,0,0,0,0,2,11,1,5
LAS,Terminal 3,01-03-2014,1300 - 1400,21,40,111,105,84,0,0,0,0,15,315,2,14
LAS,Terminal 3,01-03-2014,1400 - 1500,20,49,258,199,110,24,0,0,0,28,619,3,14
LAS,Terminal 3,01-03-2014,1500 - 1600,18,37,101,84,45,0,0,0,0,11,241,1,12
LAS,Terminal 3,01-03-2014,1800 - 1900,17,38,149,117,52,0,0,0,0,13,331,1,13
LAS,Terminal 3,01-03-2014,2000 - 2100,7,13,121,0,0,0,0,0,0,5,126,1,6
LAS,Terminal 3,01-03-2014,2300 - 0000,10,21,118,35,0,0,0,0,0,8,161,1,7
LAS,Terminal 3,01-04-2014,0000 - 0100,13,29,82,61,0,0,0,0,0,8,151,1,6
LAS,Terminal 3,01-04-2014,1100 - 1200,11,27,146,78,0,0,0,0,0,14,238,3,6
LAS,Terminal 3,01-04-2014,1300 - 1400,22,55,219,166,113,42,0,0,0,30,570,3,12
LAS,Terminal 3,01-04-2014,1400 - 1500,32,63,158,180,152,183,27,0,0,35,735,3,14
