Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
LAX,Satellite 2,01-01-2015,0900 - 1000,26,58,81,79,51,43,0,0,0,8,262,1,14
LAX,Satellite 2,01-01-2015,1000 - 1100,27,54,40,183,46,29,0,0,0,7,305,2,14
LAX,Satellite 2,01-01-2015,1100 - 1200,31,61,65,102,104,62,4,0,0,12,349,2,11
LAX,Satellite 2,01-01-2015,1200 - 1300,20,33,28,67,10,0,0,0,0,4,109,1,10
LAX,Satellite 2,01-01-2015,1400 - 1500,23,47,100,151,80,7,0,0,0,10,348,2,9
LAX,Satellite 2,01-01-2015,1600 - 1700,17,30,72,79,0,0,0,0,0,5,156,1,10
LAX,Satellite 2,01-01-2015,1700 - 1800,34,74,59,67,64,59,32,0,0,9,290,1,9
LAX,Satellite 2,01-01-2015,1800 - 1900,39,64,2,56,56,59,8,0,0,5,186,1,9
LAX,Satellite 2,01-01-2015,1900 - 2000,29,43,11,81,78,0,0,0,0,6,176,1,9
LAX,Satellite 2,01-01-2015,2000 - 2100,12,27,88,41,0,0,0,0,0,3,132,1,9
LAX,Satellite 2,01-01-2015,2100 - 2200,10,24,211,54,0,0,0,0,0,7,272,2,14
LAX,Satellite 2,01-01-2015,2200 - 2300,19,37,169,274,43,0,0,0,0,14,500,3,18
LAX,Satellite 2,01-01-2015,2300 - 0000,9,23,219,29,0,0,0,0,0,9,257,2,17
LAX,Satellite 5,01-01-2015,0800 - 0900,14,31,246,193,4,0,0,0,0,8,451,2,9
LAX,Satellite 5,01-01-2015,0900 - 1000,10,33,48,10,3,0,0,0,0,2,63,1,7
LAX,Satellite 5,01-01-2015,1000 - 1100,27,56,60,116,61,39,0,0,0,6,282,1,7
LAX,Satellite 5,01-01-2015,1100 - 1200,27,64,90,82,64,50,3,0,0,10,299,2,5
LAX,Satellite 5,01-01-2015,1200 - 1300,34,51,7,43,99,17,0,0,0,5,171,1,5
LAX,Satellite 7,01-01-2015,0800 - 0900,29,50,4,31,21,5,0,0,0,1,62,1,8
LAX,Satellite 7,01-01-2015,0900 - 1000,19,45,127,86,82,0,0,0,0,9,304,2,9
LAX,Satellite 7,01-01-2015,1100 - 1200,12,28,191,95,0,0,0,0,0,10,296,2,7
LAX,Satellite 7,01-01-2015,1300 - 1400,15,36,130,104,23,0,0,0,0,4,261,1,7
LAX,Satellite 7,01-01-2015,1400 - 1500,10,22,124,37,0,0,0,0,0,1,162,1,5
LAX,Satellite 7,01-01-2015,1500 - 1600,16,56,152,74,32,20,0,0,0,9,287,2,9
LAX,Satellite 7,01-01-2015,1600 - 1700,16,32,150,171,6,0,0,0,0,3,330,2,9
LAX,Satellite 7,01-01-2015,1700 - 1800,0,5,518,0,0,0,0,0,0,10,528,3,9
LAX,Tom Bradley International Terminal,01-01-2015,0600 - 0700,13,40,1141,566,45,0,0,0,0,50,1802,6,39
LAX,Tom Bradley International Terminal,01-01-2015,0700 - 0800,15,55,814,408,146,28,0,0,0,36,1432,5,36
LAX,Tom Bradley International Terminal,01-01-2015,0800 - 0900,18,47,347,182,107,14,0,0,0,18,668,2,27
LAX,Tom Bradley International Terminal,01-01-2015,0900 - 1000,27,83,709,417,322,297,93,0,0,60,1898,6,40
LAX,Tom Bradley International Terminal,01-01-2015,1000 - 1100,27,70,249,267,109,113,45,0,0,27,810,3,40
LAX,Tom Bradley International Terminal,01-01-2015,1100 - 1200,11,23,865,222,0,0,0,0,0,31,1118,4,36
LAX,Tom Bradley International Terminal,01-01-2015,1200 - 1300,15,46,763,346,148,4,0,0,0,40,1301,4,42
LAX,Tom Bradley International Terminal,01-01-2015,1300 - 1400,26,90,774,499,241,174,194,0,0,55,1937,6,40
LAX,Tom Bradley International Terminal,01-01-2015,1400 - 1500,36,84,319,141,80,51,263,0,0,24,878,3,39
LAX,Tom Bradley International Terminal,01-01-2015,1500 - 1600,11,40,582,247,54,0,0,0,0,30,913,5,40
LAX,Tom Bradley International Terminal,01-01-2015,1600 - 1700,8,23,947,107,0,0,0,0,0,39,1093,4,43
LAX,Tom Bradley International Terminal,01-01-2015,1700 - 1800,9,27,1177,282,0,0,0,0,0,38,1497,6,43
LAX,Tom Bradley International Terminal,01-01-2015,1800 - 1900,8,20,871,81,0,0,0,0,0,24,976,3,37
LAX,Tom Bradley International Terminal,01-01-2015,1900 - 2000,6,20,1184,66,0,0,0,0,0,44,1294,6,34
LAX,Tom Bradley International Terminal,01-01-2015,2000 - 2100,7,24,715,62,0,0,0,0,0,19,796,4,27
LAX,Tom Bradley International Terminal,01-01-2015,2100 - 2200,10,29,279,87,0,0,0,0,0,12,378,2,13
LAX,Tom Bradley International Terminal,01-01-2015,2200 - 2300,10,28,105,38,0,0,0,0,0,5,148,1,5
LAX,Satellite 2,01-02-2015,0900 - 1000,20,42,118,91,64,0,0,0,0,4,277,1,12
LAX,Satellite 2,01-02-2015,1000 - 1100,11,19,244,62,0,0,0,0,0,8,314,2,13
LAX,Satellite 2,01-02-2015,1100 - 1200,13,38,113,47,19,0,0,0,0,6,185,1,13
LAX,Satellite 2,01-02-2015,1200 - 1300,19,40,130,147,40,0,0,0,0,10,327,2,12
LAX,Satellite 2,01-02-2015,1300 - 1400,6,11,46,0,0,0,0,0,0,1,47,1,7
LAX,Satellite 2,01-02-2015,1400 - 1500,18,36,133,122,42,0,0,0,0,8,305,1,9
LAX,Satellite 2,01-02-2015,1500 - 1600,17,29,71,87,0,0,0,0,0,5,163,1,12
