Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths,
MCO,Airside 1,1/1/2013,0600 - 0700,35,55,20,42,69,42,0,0,0,6,179,1,7,
MCO,Airside 1,1/1/2013,0900 - 1000,14,30,58,56,0,0,0,0,0,3,117,1,7,
MCO,Airside 1,1/1/2013,1100 - 1200,25,41,34,60,60,0,0,0,0,5,159,1,12,
MCO,Airside 1,1/1/2013,1200 - 1300,11,27,223,84,0,0,0,0,0,11,318,3,17,
MCO,Airside 1,1/1/2013,1300 - 1400,7,22,336,33,0,0,0,0,0,13,382,3,21,
MCO,Airside 1,1/1/2013,1400 - 1500,11,22,124,20,0,0,0,0,0,5,149,1,20,
MCO,Airside 1,1/1/2013,1500 - 1600,12,25,168,61,0,0,0,0,0,6,235,2,15,
MCO,Airside 1,1/1/2013,1600 - 1700,14,28,196,146,0,0,0,0,0,10,352,2,15,
MCO,Airside 1,1/1/2013,1700 - 1800,8,23,229,28,0,0,0,0,0,9,266,3,14,
MCO,Airside 1,1/1/2013,1800 - 1900,8,21,75,8,0,0,0,0,0,3,86,1,6,
MCO,Airside 1,1/1/2013,2000 - 2100,11,27,60,36,0,0,0,0,0,2,98,1,6,
MCO,Airside 1,1/1/2013,2100 - 2200,9,23,90,32,0,0,0,0,0,2,124,1,8,
MCO,Airside 1,1/1/2013,2200 - 2300,12,24,76,43,0,0,0,0,0,7,126,1,8,
MCO,Airside 4,1/1/2013,1500 - 1600,24,58,160,174,72,66,0,0,0,14,486,2,14,
MCO,Airside 4,1/1/2013,1600 - 1700,30,57,175,63,184,121,0,0,0,10,553,3,14,
MCO,Airside 4,1/1/2013,1700 - 1800,6,16,117,3,0,0,0,0,0,3,123,1,13,
MCO,Airside 4,1/1/2013,1800 - 1900,17,37,161,106,51,0,0,0,0,6,324,1,14,
MCO,Airside 1,1/2/2013,0600 - 0700,60,102,12,31,33,30,47,48,0,7,208,1,6,
MCO,Airside 1,1/2/2013,0700 - 0800,77,108,9,14,1,2,96,70,0,5,197,1,7,
MCO,Airside 1,1/2/2013,0900 - 1000,25,42,30,60,42,0,0,0,0,4,136,1,8,
MCO,Airside 1,1/2/2013,1000 - 1100,27,31,0,14,2,0,0,0,0,0,16,1,5,
MCO,Airside 1,1/2/2013,1100 - 1200,14,33,114,87,11,0,0,0,0,7,219,2,8,
MCO,Airside 1,1/2/2013,1200 - 1300,5,12,80,0,0,0,0,0,0,3,83,1,10,
MCO,Airside 1,1/2/2013,1300 - 1400,15,41,138,75,30,0,0,0,0,7,250,2,10,
MCO,Airside 1,1/2/2013,1400 - 1500,19,42,64,28,36,0,0,0,0,4,132,1,10,
MCO,Airside 1,1/2/2013,1500 - 1600,28,59,77,99,88,58,0,0,0,9,331,3,11,
MCO,Airside 1,1/2/2013,1600 - 1700,55,96,22,51,32,88,171,2,0,12,378,3,10,
MCO,Airside 1,1/2/2013,1700 - 1800,50,99,113,90,14,0,182,44,0,13,456,4,13,
MCO,Airside 1,1/2/2013,1800 - 1900,12,21,79,21,0,0,0,0,0,4,104,1,13,
MCO,Airside 1,1/2/2013,1900 - 2000,7,27,88,10,0,0,0,0,0,4,102,1,19,
MCO,Airside 1,1/2/2013,2200 - 2300,34,70,76,81,16,68,48,0,0,10,299,2,6,
MCO,Airside 4,1/2/2013,1500 - 1600,42,83,80,148,149,130,155,0,0,20,682,2,22,
MCO,Airside 4,1/2/2013,1600 - 1700,36,73,128,77,6,68,112,0,0,14,405,2,22,
MCO,Airside 4,1/2/2013,1700 - 1800,23,50,157,133,121,16,0,0,0,12,439,2,20,
MCO,Airside 4,1/2/2013,1800 - 1900,17,46,159,100,53,3,0,0,0,10,325,1,16,
MCO,Airside 1,1/3/2013,0600 - 0700,35,57,19,38,60,47,0,0,0,3,167,1,7,
MCO,Airside 1,1/3/2013,0900 - 1000,15,37,75,50,15,0,0,0,0,3,143,1,9,
MCO,Airside 1,1/3/2013,1100 - 1200,18,42,76,51,30,0,0,0,0,4,161,1,9,
MCO,Airside 1,1/3/2013,1200 - 1300,4,23,72,10,0,0,0,0,0,3,85,1,10,
MCO,Airside 1,1/3/2013,1300 - 1400,21,49,192,91,126,7,0,0,0,11,427,3,13,
MCO,Airside 1,1/3/2013,1500 - 1600,43,89,87,174,59,61,241,0,0,19,641,4,11,
MCO,Airside 1,1/3/2013,1600 - 1700,42,66,0,37,75,75,6,0,0,6,199,1,14,
