Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
MCO,Airside 1,1/1/2014,0700 - 0800,28,56,58,56,60,41,0,0,0,5,220,1,7
MCO,Airside 1,1/1/2014,1000 - 1100,13,25,88,64,0,0,0,0,0,8,160,1,10
MCO,Airside 1,1/1/2014,1100 - 1200,14,29,159,130,0,0,0,0,0,8,297,2,14
MCO,Airside 1,1/1/2014,1200 - 1300,6,29,280,3,0,0,0,0,0,10,293,3,15
MCO,Airside 1,1/1/2014,1300 - 1400,5,15,173,0,0,0,0,0,0,5,178,2,20
MCO,Airside 1,1/1/2014,1400 - 1500,11,22,105,51,0,0,0,0,0,3,159,1,15
MCO,Airside 1,1/1/2014,1500 - 1600,10,22,194,47,0,0,0,0,0,8,249,2,14
MCO,Airside 1,1/1/2014,1600 - 1700,1,5,34,0,0,0,0,0,0,0,34,1,9
MCO,Airside 1,1/1/2014,1700 - 1800,19,41,183,125,92,0,0,0,0,12,412,2,12
MCO,Airside 1,1/1/2014,1800 - 1900,6,13,75,0,0,0,0,0,0,1,76,1,6
MCO,Airside 1,1/1/2014,1900 - 2000,12,26,74,42,0,0,0,0,0,6,122,1,9
MCO,Airside 1,1/1/2014,2100 - 2200,19,53,265,115,75,45,0,0,0,16,516,4,9
MCO,Airside 4,1/1/2014,1500 - 1600,19,40,170,153,96,0,0,0,0,13,432,1,16
MCO,Airside 4,1/1/2014,1600 - 1700,23,46,276,201,262,5,0,0,0,23,767,3,18
MCO,Airside 4,1/1/2014,1700 - 1800,8,19,149,8,0,0,0,0,0,5,162,1,17
MCO,Airside 4,1/1/2014,1800 - 1900,19,36,138,146,50,0,0,0,0,10,344,1,16
MCO,Airside 1,1/2/2014,0700 - 0800,26,53,59,45,60,27,0,0,0,4,195,1,6
MCO,Airside 1,1/2/2014,1000 - 1100,17,41,268,146,80,0,0,0,0,12,506,3,13
MCO,Airside 1,1/2/2014,1100 - 1200,6,16,110,3,0,0,0,0,0,2,115,1,13
MCO,Airside 1,1/2/2014,1200 - 1300,5,16,96,2,0,0,0,0,0,3,101,1,14
MCO,Airside 1,1/2/2014,1300 - 1400,8,19,206,34,0,0,0,0,0,3,243,2,18
MCO,Airside 1,1/2/2014,1400 - 1500,14,28,78,67,0,0,0,0,0,3,148,1,10
MCO,Airside 1,1/2/2014,1500 - 1600,28,61,121,151,91,82,2,0,0,13,460,5,13
MCO,Airside 1,1/2/2014,1600 - 1700,19,29,46,107,0,0,0,0,0,2,155,1,12
MCO,Airside 1,1/2/2014,1800 - 1900,33,71,75,101,70,56,42,0,0,9,353,1,11
MCO,Airside 1,1/2/2014,1900 - 2000,25,54,56,100,62,9,0,0,0,6,233,3,11
MCO,Airside 1,1/2/2014,2100 - 2200,19,38,99,95,48,0,0,0,0,8,250,2,8
MCO,Airside 1,1/2/2014,2200 - 2300,12,28,88,47,0,0,0,0,0,4,139,1,6
MCO,Airside 4,1/2/2014,1500 - 1600,18,35,179,203,60,0,0,0,0,9,451,1,21
MCO,Airside 4,1/2/2014,1600 - 1700,2,7,131,0,0,0,0,0,0,4,135,1,18
MCO,Airside 4,1/2/2014,1700 - 1800,12,34,469,185,26,0,0,0,0,14,694,2,21
MCO,Airside 4,1/2/2014,1800 - 1900,31,58,128,214,193,164,0,0,0,19,718,2,20
MCO,Airside 1,1/3/2014,0700 - 0800,35,70,82,63,76,86,42,0,0,9,358,1,8
MCO,Airside 1,1/3/2014,1000 - 1100,10,27,110,41,0,0,0,0,0,5,156,1,9
MCO,Airside 1,1/3/2014,1100 - 1200,26,47,48,126,103,7,0,0,0,7,291,2,9
MCO,Airside 1,1/3/2014,1300 - 1400,16,54,314,60,45,62,0,0,0,15,496,4,14
MCO,Airside 1,1/3/2014,1400 - 1500,19,36,49,82,18,0,0,0,0,5,154,1,12
MCO,Airside 1,1/3/2014,1500 - 1600,10,36,203,73,9,0,0,0,0,9,294,3,11
MCO,Airside 1,1/3/2014,1600 - 1700,10,22,216,34,0,0,0,0,0,8,258,2,12
MCO,Airside 1,1/3/2014,1700 - 1800,28,56,100,87,78,77,0,0,0,8,350,1,13
MCO,Airside 1,1/3/2014,1800 - 1900,23,48,83,82,60,19,0,0,0,6,250,2,9
MCO,Airside 1,1/3/2014,2000 - 2100,6,16,126,1,0,0,0,0,0,4,131,1,9
MCO,Airside 1,1/3/2014,2100 - 2200,16,35,178,158,27,0,0,0,0,11,374,2,9
MCO,Airside 1,1/3/2014,2200 - 2300,9,20,71,20,0,0,0,0,0,1,92,1,5
MCO,Airside 4,1/3/2014,1500 - 1600,24,48,116,104,110,17,0,0,0,10,357,1,15
MCO,Airside 4,1/3/2014,1600 - 1700,35,73,193,209,80,180,115,0,0,23,800,3,17
MCO,Airside 4,1/3/2014,1700 - 1800,21,48,108,138,57,7,0,0,0,8,318,1,15
MCO,Airside 4,1/3/2014,1800 - 1900,32,62,61,115,81,77,10,0,0,7,351,1,16
MCO,Airside 1,1/4/2014,0800 - 0900,28,54,102,101,92,71,0,0,0,4,370,1,10
