Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
MIA,General Aviation,1/1/2014,1300 - 1400,0,0,9,0,0,0,0,0,0,0,9,1,1
MIA,General Aviation,1/1/2014,1600 - 1700,2,5,10,0,0,0,0,0,0,4,14,2,1
MIA,General Aviation,1/1/2014,1800 - 1900,5,8,14,0,0,0,0,0,0,2,16,1,1
MIA,General Aviation,1/1/2014,1900 - 2000,1,3,6,0,0,0,0,0,0,2,8,1,1
MIA,North Terminal,1/1/2014,0300 - 0400,52,90,35,66,57,57,187,0,0,12,414,2,15
MIA,North Terminal,1/1/2014,0400 - 0500,54,111,268,104,22,130,589,102,0,36,1251,7,24
MIA,North Terminal,1/1/2014,0500 - 0600,53,92,100,35,5,13,249,2,0,26,430,3,23
MIA,North Terminal,1/1/2014,0600 - 0700,34,76,146,79,237,150,38,0,0,20,670,3,22
MIA,North Terminal,1/1/2014,0700 - 0800,27,52,91,139,134,21,0,0,0,12,397,2,19
MIA,North Terminal,1/1/2014,0800 - 0900,4,9,28,0,0,0,0,0,0,1,29,1,6
MIA,North Terminal,1/1/2014,0900 - 1000,13,34,608,318,19,0,0,0,0,32,977,7,20
MIA,North Terminal,1/1/2014,1000 - 1100,16,56,745,481,128,21,0,0,0,41,1416,11,23
MIA,North Terminal,1/1/2014,1100 - 1200,24,57,478,486,414,78,0,0,0,45,1501,12,28
MIA,North Terminal,1/1/2014,1200 - 1300,22,56,316,402,292,13,0,0,0,34,1057,8,29
MIA,North Terminal,1/1/2014,1300 - 1400,9,21,129,26,0,0,0,0,0,5,160,3,11
MIA,North Terminal,1/1/2014,1400 - 1500,22,58,909,684,520,124,0,0,0,113,2350,13,36
MIA,North Terminal,1/1/2014,1500 - 1600,18,55,688,563,153,40,0,0,0,44,1488,10,36
MIA,North Terminal,1/1/2014,1600 - 1700,24,55,744,493,661,92,0,0,0,70,2060,12,34
MIA,North Terminal,1/1/2014,1700 - 1800,17,54,917,831,209,9,0,0,0,58,2024,12,40
MIA,North Terminal,1/1/2014,1800 - 1900,31,88,757,1031,726,291,379,0,0,97,3281,21,36
MIA,North Terminal,1/1/2014,1900 - 2000,32,80,373,448,304,226,173,0,0,63,1587,11,47
MIA,North Terminal,1/1/2014,2000 - 2100,19,46,397,356,126,5,0,0,0,24,908,6,34
MIA,North Terminal,1/1/2014,2100 - 2200,8,17,163,13,0,0,0,0,0,9,185,1,23
MIA,South Terminal,1/1/2014,0000 - 0100,7,23,233,27,0,0,0,0,0,7,267,3,9
MIA,South Terminal,1/1/2014,0100 - 0200,26,61,125,85,65,72,6,0,0,12,365,3,6
MIA,South Terminal,1/1/2014,0400 - 0500,12,34,348,144,4,0,0,0,0,15,511,3,14
MIA,South Terminal,1/1/2014,0500 - 0600,27,58,118,211,167,44,0,0,0,15,555,2,14
MIA,South Terminal,1/1/2014,0600 - 0700,17,30,61,101,0,0,0,0,0,3,165,1,11
MIA,South Terminal,1/1/2014,0700 - 0800,19,40,105,73,55,0,0,0,0,6,239,1,8
MIA,South Terminal,1/1/2014,1100 - 1200,22,45,52,37,47,0,0,0,0,5,141,1,5
MIA,South Terminal,1/1/2014,1200 - 1300,19,73,308,82,40,49,38,0,0,16,533,3,20
MIA,South Terminal,1/1/2014,1300 - 1400,30,70,197,397,313,146,38,0,0,30,1121,8,25
MIA,South Terminal,1/1/2014,1400 - 1500,26,58,248,363,291,76,0,0,0,30,1008,4,37
MIA,South Terminal,1/1/2014,1500 - 1600,21,51,213,276,99,16,0,0,0,18,622,2,31
MIA,South Terminal,1/1/2014,1600 - 1700,35,68,118,167,189,163,63,0,0,22,722,3,23
MIA,South Terminal,1/1/2014,1800 - 1900,15,44,570,399,71,0,0,0,0,30,1070,6,30
MIA,South Terminal,1/1/2014,2000 - 2100,16,32,77,51,15,0,0,0,0,5,148,1,6
MIA,South Terminal,1/1/2014,2100 - 2200,20,43,57,54,43,0,0,0,0,5,159,1,6
MIA,South Terminal,1/1/2014,2300 - 0000,10,24,208,58,0,0,0,0,0,6,272,2,24
MIA,Central Terminal,1/2/2014,1200 - 1300,1,2,4,0,0,0,0,0,0,2,6,1,2
MIA,General Aviation,1/2/2014,0300 - 0400,2,6,5,0,0,0,0,0,0,2,7,1,1
MIA,General Aviation,1/2/2014,1200 - 1300,2,3,7,0,0,0,0,0,0,1,8,1,1
MIA,General Aviation,1/2/2014,1300 - 1400,0,0,6,0,0,0,0,0,0,0,6,1,1
MIA,General Aviation,1/2/2014,1400 - 1500,0,2,6,0,0,0,0,0,0,1,7,1,1
MIA,General Aviation,1/2/2014,1500 - 1600,2,6,8,0,0,0,0,0,0,1,9,1,1
MIA,General Aviation,1/2/2014,1700 - 1800,3,7,9,0,0,0,0,0,0,1,10,1,1
MIA,General Aviation,1/2/2014,1800 - 1900,2,5,4,0,0,0,0,0,0,2,6,1,1
MIA,North Terminal,1/2/2014,0300 - 0400,18,31,59,135,2,0,0,0,0,6,202,1,24
MIA,North Terminal,1/2/2014,0400 - 0500,20,50,417,414,188,12,0,0,0,29,1060,5,29
MIA,North Terminal,1/2/2014,0500 - 0600,26,56,253,327,374,57,0,0,0,30,1041,5,30
MIA,North Terminal,1/2/2014,0600 - 0700,20,43,127,209,76,0,0,0,0,13,425,2,16
MIA,North Terminal,1/2/2014,0700 - 0800,18,38,158,222,19,0,0,0,0,13,412,2,20
MIA,North Terminal,1/2/2014,0900 - 1000,33,83,635,291,175,394,269,0,0,58,1822,11,36
MIA,North Terminal,1/2/2014,1000 - 1100,31,88,553,216,278,347,120,0,0,48,1562,10,34
MIA,North Terminal,1/2/2014,1100 - 1200,35,87,608,326,395,514,293,0,0,74,2210,14,36
MIA,North Terminal,1/2/2014,1200 - 1300,29,77,228,174,287,149,8,0,0,31,877,6,32
MIA,North Terminal,1/2/2014,1300 - 1400,16,52,543,307,108,14,0,0,0,29,1001,8,29
MIA,North Terminal,1/2/2014,1400 - 1500,21,47,443,777,235,4,0,0,0,45,1504,8,45
MIA,North Terminal,1/2/2014,1500 - 1600,15,37,822,650,64,0,0,0,0,47,1583,9,35
MIA,North Terminal,1/2/2014,1600 - 1700,22,53,828,1143,632,57,0,0,0,73,2733,16,44
MIA,North Terminal,1/2/2014,1700 - 1800,21,61,759,1021,367,97,4,0,0,66,2314,11,51
MIA,North Terminal,1/2/2014,1800 - 1900,25,74,874,1401,787,246,27,0,0,104,3439,20,56
MIA,North Terminal,1/2/2014,1900 - 2000,18,46,615,553,190,3,0,0,0,59,1420,9,42
MIA,North Terminal,1/2/2014,2000 - 2100,15,54,771,442,69,4,0,0,0,55,1341,9,37
MIA,North Terminal,1/2/2014,2100 - 2200,14,23,156,103,0,0,0,0,0,9,268,1,34
MIA,North Terminal,1/2/2014,2200 - 2300,8,19,284,22,0,0,0,0,0,11,317,2,11
MIA,South Terminal,1/2/2014,0000 - 0100,6,20,218,29,0,0,0,0,0,8,255,2,6
MIA,South Terminal,1/2/2014,0100 - 0200,12,32,118,74,2,0,0,0,0,7,201,2,6
MIA,South Terminal,1/2/2014,0200 - 0300,6,17,97,7,0,0,0,0,0,3,107,1,6
MIA,South Terminal,1/2/2014,0300 - 0400,32,49,37,52,74,42,0,0,0,2,207,1,13
MIA,South Terminal,1/2/2014,0400 - 0500,22,58,171,175,90,31,0,0,0,11,478,3,18
