Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
MSP,Terminal 1 Lindbergh,1/1/2014,0800 - 0900,13,24,80,38,0,0,0,0,0,2,120,2,5
MSP,Terminal 1 Lindbergh,1/1/2014,1000 - 1100,19,35,105,137,22,0,0,0,0,5,269,1,11
MSP,Terminal 1 Lindbergh,1/1/2014,1200 - 1300,23,43,180,188,185,0,0,0,0,10,563,2,10
MSP,Terminal 1 Lindbergh,1/1/2014,1500 - 1600,22,43,113,154,111,0,0,0,0,7,385,2,8
MSP,Terminal 1 Lindbergh,1/1/2014,1600 - 1700,26,43,64,78,98,0,0,0,0,8,248,1,7
MSP,Terminal 1 Lindbergh,1/1/2014,1800 - 1900,9,17,89,12,0,0,0,0,0,7,108,1,3
MSP,Terminal 1 Lindbergh,1/1/2014,2000 - 2100,15,40,206,94,39,0,0,0,0,12,351,3,3
MSP,Terminal 2 Humphrey,1/1/2014,1300 - 1400,0,0,8,0,0,0,0,0,0,0,8,1,1
MSP,Terminal 2 Humphrey,1/1/2014,1400 - 1500,16,26,61,83,0,0,0,0,0,0,144,1,3
MSP,Terminal 2 Humphrey,1/1/2014,1500 - 1600,13,24,82,57,0,0,0,0,0,1,140,1,3
MSP,Terminal 2 Humphrey,1/1/2014,1600 - 1700,10,19,88,11,0,0,0,0,0,2,101,1,3
MSP,Terminal 2 Humphrey,1/1/2014,2000 - 2100,10,18,89,12,0,0,0,0,0,1,102,1,3
MSP,Terminal 1 Lindbergh,1/2/2014,0700 - 0800,11,20,51,19,0,0,0,0,0,2,72,1,3
MSP,Terminal 1 Lindbergh,1/2/2014,0900 - 1000,7,13,41,0,0,0,0,0,0,1,42,1,4
MSP,Terminal 1 Lindbergh,1/2/2014,1000 - 1100,22,42,92,114,57,0,0,0,0,8,271,1,11
MSP,Terminal 1 Lindbergh,1/2/2014,1100 - 1200,25,55,66,75,73,18,0,0,0,8,240,1,10
MSP,Terminal 1 Lindbergh,1/2/2014,1200 - 1300,38,65,25,62,103,76,13,0,0,9,288,1,10
MSP,Terminal 1 Lindbergh,1/2/2014,1400 - 1500,20,36,81,119,37,0,0,0,0,7,244,1,10
MSP,Terminal 1 Lindbergh,1/2/2014,1500 - 1600,12,22,91,45,0,0,0,0,0,3,139,1,7
MSP,Terminal 1 Lindbergh,1/2/2014,1600 - 1700,22,40,71,104,61,0,0,0,0,8,244,1,8
MSP,Terminal 1 Lindbergh,1/2/2014,1700 - 1800,8,12,49,0,0,0,0,0,0,2,51,1,6
MSP,Terminal 1 Lindbergh,1/2/2014,1800 - 1900,13,25,79,56,0,0,0,0,0,8,143,1,3
MSP,Terminal 1 Lindbergh,1/2/2014,1900 - 2000,21,45,82,116,45,0,0,0,0,14,257,2,4
MSP,Terminal 1 Lindbergh,1/2/2014,2000 - 2100,25,59,138,65,69,68,0,0,0,16,356,3,4
MSP,Terminal 2 Humphrey,1/2/2014,1500 - 1600,17,31,127,140,8,0,0,0,0,8,283,2,3
MSP,Terminal 1 Lindbergh,1/3/2014,0800 - 0900,16,29,48,50,0,0,0,0,0,3,101,2,4
MSP,Terminal 1 Lindbergh,1/3/2014,1000 - 1100,34,59,26,87,77,62,0,0,0,5,257,1,10
MSP,Terminal 1 Lindbergh,1/3/2014,1200 - 1300,23,50,102,90,75,19,0,0,0,8,294,1,10
MSP,Terminal 1 Lindbergh,1/3/2014,1300 - 1400,23,38,64,102,71,0,0,0,0,7,244,1,10
MSP,Terminal 1 Lindbergh,1/3/2014,1500 - 1600,12,19,112,36,0,0,0,0,0,2,150,1,8
MSP,Terminal 1 Lindbergh,1/3/2014,1600 - 1700,31,59,47,58,94,41,0,0,0,8,248,1,8
MSP,Terminal 1 Lindbergh,1/3/2014,1700 - 1800,60,80,5,2,26,84,123,0,0,3,243,1,9
MSP,Terminal 1 Lindbergh,1/3/2014,1800 - 1900,18,34,86,86,27,0,0,0,0,10,209,2,5
MSP,Terminal 1 Lindbergh,1/3/2014,1900 - 2000,12,23,94,45,0,0,0,0,0,7,146,1,5
MSP,Terminal 1 Lindbergh,1/3/2014,2000 - 2100,9,18,264,33,0,0,0,0,0,15,312,3,5
MSP,Terminal 2 Humphrey,1/3/2014,1500 - 1600,12,21,105,49,0,0,0,0,0,1,155,1,3
MSP,Terminal 2 Humphrey,1/3/2014,1600 - 1700,24,47,62,81,72,9,0,0,0,5,229,2,3
MSP,Terminal 2 Humphrey,1/3/2014,2300 - 0000,8,16,100,7,0,0,0,0,0,3,110,1,3
MSP,Terminal 1 Lindbergh,1/4/2014,0700 - 0800,11,19,47,19,0,0,0,0,0,3,69,1,2
MSP,Terminal 1 Lindbergh,1/4/2014,0800 - 0900,8,16,46,3,0,0,0,0,0,0,49,1,3
MSP,Terminal 1 Lindbergh,1/4/2014,1100 - 1200,25,51,79,80,77,24,0,0,0,5,265,1,9
MSP,Terminal 1 Lindbergh,1/4/2014,1200 - 1300,23,42,94,101,97,0,0,0,0,10,302,1,9
MSP,Terminal 1 Lindbergh,1/4/2014,1300 - 1400,23,45,91,115,78,0,0,0,0,9,293,1,8
MSP,Terminal 1 Lindbergh,1/4/2014,1500 - 1600,19,31,84,148,12,0,0,0,0,0,244,1,9
MSP,Terminal 1 Lindbergh,1/4/2014,1700 - 1800,20,51,267,185,121,15,0,0,0,19,607,3,9
MSP,Terminal 1 Lindbergh,1/4/2014,1800 - 1900,15,20,34,24,0,0,0,0,0,2,60,1,6
MSP,Terminal 1 Lindbergh,1/4/2014,1900 - 2000,27,65,259,229,120,103,32,0,0,18,761,6,8
MSP,Terminal 1 Lindbergh,1/4/2014,2000 - 2100,53,69,6,0,18,72,52,0,0,0,148,1,6
MSP,Terminal 1 Lindbergh,1/4/2014,2100 - 2200,23,43,141,172,133,0,0,0,0,22,468,3,9
MSP,Terminal 1 Lindbergh,1/4/2014,2200 - 2300,11,23,105,45,0,0,0,0,0,8,158,1,5
MSP,Terminal 2 Humphrey,1/4/2014,1400 - 1500,9,18,92,17,0,0,0,0,0,3,112,1,3
MSP,Terminal 2 Humphrey,1/4/2014,1500 - 1600,25,49,78,99,76,20,0,0,0,13,286,2,3
