Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
OAK,Main,1/1/2013,0000 - 0100,22,40,41,58,34,0,0,0,0,3,136,1,4
OAK,Main,1/1/2013,2300 - 0000,17,45,65,49,26,0,0,0,0,5,145,1,4
OAK,Main,1/2/2013,0000 - 0100,22,48,56,41,29,9,0,0,0,7,142,1,4
OAK,Main,1/2/2013,2300 - 0000,18,39,67,41,26,0,0,0,0,4,138,1,4
OAK,Main,1/3/2013,0000 - 0100,20,40,56,47,35,0,0,0,0,6,144,1,4
OAK,Main,1/3/2013,2200 - 2300,18,36,59,53,23,0,0,0,0,4,139,1,4
OAK,Main,1/3/2013,2300 - 0000,16,30,62,69,0,0,0,0,0,5,136,1,4
OAK,Main,1/4/2013,0100 - 0200,15,33,73,58,15,0,0,0,0,2,148,1,4
OAK,Main,1/4/2013,2200 - 2300,38,90,67,47,60,50,59,0,0,9,292,2,4
OAK,Main,1/4/2013,2300 - 0000,47,73,6,16,36,44,33,0,0,7,142,1,4
OAK,Main,1/5/2013,0000 - 0100,28,47,36,42,59,7,0,0,0,2,146,1,3
OAK,Main,1/5/2013,2300 - 0000,19,41,109,113,55,0,0,0,0,6,283,2,4
OAK,Main,1/6/2013,0000 - 0100,18,37,66,48,26,0,0,0,0,6,146,1,4
OAK,Main,1/6/2013,2300 - 0000,14,31,155,125,4,0,0,0,0,7,291,2,4
OAK,Main,1/7/2013,0100 - 0200,23,40,45,54,44,0,0,0,0,1,144,1,4
OAK,Main,1/7/2013,2300 - 0000,18,36,70,41,36,0,0,0,0,1,148,1,4
OAK,Main,1/8/2013,0100 - 0200,22,41,55,46,44,0,0,0,0,2,147,1,4
OAK,Main,1/8/2013,2300 - 0000,15,32,72,63,5,0,0,0,0,4,144,1,4
OAK,Main,1/9/2013,0000 - 0100,17,36,63,61,19,0,0,0,0,5,148,1,4
OAK,Main,1/10/2013,0000 - 0100,17,39,58,53,22,0,0,0,0,6,139,1,4
OAK,Main,1/10/2013,0100 - 0200,23,44,46,48,44,0,0,0,0,8,146,1,4
OAK,Main,1/10/2013,2300 - 0000,18,38,63,46,30,0,0,0,0,4,143,1,4
OAK,Main,1/11/2013,0000 - 0100,20,39,51,49,33,0,0,0,0,8,141,1,4
OAK,Main,1/11/2013,2300 - 0000,27,52,45,34,41,24,0,0,0,2,146,1,4
OAK,Main,1/12/2013,0100 - 0200,34,61,34,19,42,46,1,0,0,5,147,1,4
OAK,Main,1/12/2013,2300 - 0000,26,50,38,42,41,15,0,0,0,121,257,1,4
OAK,Main,1/13/2013,0100 - 0200,25,45,40,51,53,0,0,0,0,5,149,1,4
OAK,Main,1/13/2013,2300 - 0000,22,47,61,28,37,11,0,0,0,2,139,1,4
OAK,Main,1/14/2013,0100 - 0200,21,41,50,51,35,0,0,0,0,8,144,1,4
OAK,Main,1/14/2013,1900 - 2000,5,12,46,0,0,0,0,0,0,1,47,1,2
OAK,Main,1/15/2013,0000 - 0100,37,56,0,36,48,32,0,0,0,4,120,1,4
OAK,Main,1/15/2013,2300 - 0000,24,48,53,53,47,10,0,0,0,5,168,1,4
OAK,Main,1/16/2013,0000 - 0100,20,38,47,58,25,0,0,0,0,6,136,1,4
OAK,Main,1/16/2013,2300 - 0000,20,40,44,47,34,0,0,0,0,4,129,1,4
OAK,Main,1/17/2013,0000 - 0100,45,72,0,38,35,39,31,0,0,4,147,1,4
OAK,Main,1/17/2013,2300 - 0000,27,52,36,38,43,16,0,0,0,3,136,1,4
OAK,Main,1/18/2013,0000 - 0100,26,51,39,41,43,17,0,0,0,6,146,1,4
OAK,Main,1/18/2013,1900 - 2000,0,0,18,0,0,0,0,0,0,1,19,1,3
OAK,Main,1/18/2013,2300 - 0000,32,64,34,25,38,29,10,0,0,6,142,1,4
OAK,Main,1/19/2013,0000 - 0100,50,86,12,9,36,32,48,0,0,4,141,1,5
OAK,Main,1/19/2013,2300 - 0000,22,44,46,45,43,0,0,0,0,5,139,1,4
OAK,Main,1/20/2013,0000 - 0100,27,53,39,44,37,20,0,0,0,4,144,1,4
OAK,Main,1/20/2013,2300 - 0000,31,59,29,31,42,30,0,0,0,7,139,1,3
OAK,Main,1/21/2013,0000 - 0100,28,56,36,33,34,28,0,0,0,8,139,1,3
OAK,Main,1/21/2013,1900 - 2000,5,12,53,0,0,0,0,0,0,1,54,1,2
OAK,Main,1/21/2013,2300 - 0000,23,45,41,43,48,0,0,0,0,5,137,1,4
OAK,Main,1/22/2013,0000 - 0100,48,71,0,15,44,44,33,0,0,5,141,1,4
OAK,Main,1/22/2013,2300 - 0000,21,42,49,49,36,0,0,0,0,3,137,1,4
OAK,Main,1/23/2013,0000 - 0100,24,50,52,34,37,16,0,0,0,7,146,1,4
OAK,Main,1/23/2013,2300 - 0000,22,43,50,47,43,0,0,0,0,3,143,1,4
OAK,Main,1/24/2013,2300 - 0000,30,58,33,28,44,30,0,0,0,5,140,1,4
OAK,Main,1/25/2013,1800 - 1900,12,16,25,3,0,0,0,0,0,1,29,1,2
OAK,Main,1/25/2013,2300 - 0000,41,82,27,29,21,24,39,0,0,5,145,1,3
OAK,Main,1/26/2013,2300 - 0000,38,73,28,26,28,34,23,0,0,5,144,1,4
OAK,Main,1/27/2013,0000 - 0100,52,86,10,16,29,30,54,0,0,5,144,1,4
OAK,Main,1/27/2013,2300 - 0000,37,68,25,27,28,31,21,0,0,5,137,1,3
OAK,Main,1/28/2013,2300 - 0000,21,44,54,43,43,0,0,0,0,4,144,1,4
OAK,Main,1/29/2013,2300 - 0000,32,61,33,27,34,37,3,0,0,5,139,1,3
OAK,Main,1/30/2013,2300 - 0000,35,74,30,26,27,26,17,0,0,4,130,1,3
OAK,Main,1/31/2013,2300 - 0000,23,46,45,49,45,2,0,0,0,5,146,1,4
OAK,Main,2/1/2013,0000 - 0100,49,71,0,19,41,41,39,0,0,5,145,1,4
OAK,Main,2/1/2013,2300 - 0000,32,62,32,35,27,35,5,0,0,5,139,1,4
OAK,Main,2/2/2013,0000 - 0100,41,72,19,20,31,39,24,0,0,6,139,1,4
OAK,Main,2/2/2013,2300 - 0000,26,55,58,35,48,23,0,0,0,5,169,1,4
OAK,Main,2/3/2013,2300 - 0000,22,44,41,42,47,0,0,0,0,4,134,1,4
OAK,Main,2/4/2013,0000 - 0100,37,66,19,25,42,29,17,0,0,8,140,1,4
OAK,Main,2/4/2013,2300 - 0000,26,58,46,36,22,30,0,0,0,3,137,1,4
OAK,Main,2/5/2013,2300 - 0000,27,61,38,46,25,23,2,0,0,4,138,1,4
OAK,Main,2/6/2013,2300 - 0000,28,56,40,35,39,26,0,0,0,5,145,1,5
OAK,Main,2/7/2013,2300 - 0000,34,67,24,37,32,30,13,0,0,5,141,1,4
OAK,Main,2/9/2013,0000 - 0100,40,88,31,28,33,23,34,0,0,8,157,1,4
