Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
ONT,International Terminal,01-01-2013,2300 - 0000,18,34,53,49,17,0,0,0,0,3,122,1,4
ONT,International Terminal,01-02-2013,2300 - 0000,15,25,70,57,0,0,0,0,0,4,131,1,4
ONT,International Terminal,01-03-2013,2300 - 0000,19,35,50,57,20,0,0,0,0,3,130,1,3
ONT,International Terminal,01-04-2013,2300 - 0000,17,32,61,61,10,0,0,0,0,3,135,1,4
ONT,International Terminal,01-05-2013,2300 - 0000,19,34,49,62,21,0,0,0,0,1,133,1,4
ONT,International Terminal,01-07-2013,0000 - 0100,18,34,54,63,15,0,0,0,0,2,134,1,4
ONT,International Terminal,01-10-2013,2300 - 0000,18,35,53,68,11,0,0,0,0,2,134,1,5
ONT,International Terminal,01-11-2013,2300 - 0000,25,45,38,36,58,0,0,0,0,3,135,1,4
ONT,International Terminal,01-12-2013,2300 - 0000,25,42,32,46,52,0,0,0,0,64,194,1,4
ONT,International Terminal,1/13/2013,2300 - 0000,20,38,47,59,30,0,0,0,0,2,138,1,4
ONT,International Terminal,1/17/2013,2300 - 0000,26,52,31,38,34,11,0,0,0,4,118,1,5
ONT,International Terminal,1/18/2013,2300 - 0000,18,39,37,28,16,0,0,0,0,1,82,1,4
ONT,International Terminal,1/19/2013,2300 - 0000,25,48,31,26,32,7,0,0,0,2,98,1,3
ONT,International Terminal,1/20/2013,2300 - 0000,14,31,47,33,2,0,0,0,0,3,85,1,4
ONT,International Terminal,1/24/2013,2300 - 0000,15,32,31,19,3,0,0,0,0,2,55,1,3
ONT,International Terminal,1/25/2013,2300 - 0000,12,27,33,18,0,0,0,0,0,2,53,1,3
ONT,International Terminal,1/26/2013,2300 - 0000,18,35,40,48,12,0,0,0,0,3,103,1,4
ONT,International Terminal,1/27/2013,2300 - 0000,20,38,45,46,27,0,0,0,0,3,121,1,4
ONT,International Terminal,1/31/2013,2300 - 0000,18,39,34,28,11,0,0,0,0,3,76,1,4
ONT,International Terminal,02-01-2013,2300 - 0000,22,50,30,24,19,3,0,0,0,3,79,1,3
ONT,International Terminal,02-02-2013,2300 - 0000,16,30,45,50,0,0,0,0,0,3,98,1,4
ONT,International Terminal,02-03-2013,2300 - 0000,22,39,44,48,39,0,0,0,0,5,136,1,4
ONT,International Terminal,02-07-2013,2300 - 0000,13,27,28,16,0,0,0,0,0,2,46,1,3
ONT,International Terminal,02-08-2013,2300 - 0000,13,27,45,32,0,0,0,0,0,5,82,1,4
ONT,International Terminal,02-09-2013,2300 - 0000,13,27,54,35,0,0,0,0,0,3,92,1,5
ONT,International Terminal,02-10-2013,2300 - 0000,16,31,33,31,2,0,0,0,0,4,70,1,4
ONT,International Terminal,2/15/2013,0000 - 0100,15,33,39,26,2,0,0,0,0,3,70,1,4
