Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
ORD,Terminal 5,1/1/2015,0100 - 0200,9,22,90,32,0,0,0,0,0,3,125,1,4
ORD,Terminal 5,1/1/2015,0600 - 0700,19,52,242,167,59,30,0,0,0,13,511,3,8
ORD,Terminal 5,1/1/2015,0700 - 0800,12,33,112,61,10,0,0,0,0,5,188,1,8
ORD,Terminal 5,1/1/2015,0800 - 0900,16,20,12,10,0,0,0,0,0,1,23,1,1
ORD,Terminal 5,1/1/2015,0900 - 1000,24,69,223,45,59,82,14,0,0,13,436,3,10
ORD,Terminal 5,1/1/2015,1100 - 1200,12,42,540,212,37,0,0,0,0,23,812,4,17
ORD,Terminal 5,1/1/2015,1200 - 1300,14,40,488,244,46,0,0,0,0,27,805,4,24
ORD,Terminal 5,1/1/2015,1300 - 1400,18,84,1360,612,267,53,97,0,0,70,2459,11,25
ORD,Terminal 5,1/1/2015,1400 - 1500,18,62,586,283,85,65,1,0,0,34,1054,5,22
ORD,Terminal 5,1/1/2015,1500 - 1600,15,40,416,298,50,0,0,0,0,22,786,3,27
ORD,Terminal 5,1/1/2015,1600 - 1700,15,45,666,225,152,0,0,0,0,25,1068,5,27
ORD,Terminal 5,1/1/2015,1700 - 1800,9,31,699,106,4,0,0,0,0,20,829,6,21
ORD,Terminal 5,1/1/2015,1800 - 1900,7,27,818,24,0,0,0,0,0,18,860,4,24
ORD,Terminal 5,1/1/2015,1900 - 2000,7,23,775,77,0,0,0,0,0,24,876,4,23
ORD,Terminal 5,1/1/2015,2000 - 2100,5,15,136,0,0,0,0,0,0,5,141,1,8
ORD,Terminal 5,1/1/2015,2200 - 2300,16,34,158,139,13,0,0,0,0,14,324,2,7
ORD,Terminal 5,1/2/2015,0000 - 0100,8,19,90,22,0,0,0,0,0,0,112,1,4
ORD,Terminal 5,1/2/2015,0400 - 0500,27,37,0,78,30,0,0,0,0,3,111,1,9
ORD,Terminal 5,1/2/2015,0500 - 0600,17,39,124,84,53,0,0,0,0,8,269,1,11
ORD,Terminal 5,1/2/2015,0600 - 0700,21,56,237,156,113,38,0,0,0,14,558,2,10
ORD,Terminal 5,1/2/2015,0700 - 0800,22,49,139,55,96,15,0,0,0,8,313,3,12
ORD,Terminal 5,1/2/2015,0800 - 0900,25,73,210,98,60,74,24,0,0,13,479,2,14
ORD,Terminal 5,1/2/2015,0900 - 1000,35,69,70,31,24,58,42,0,0,6,231,1,13
ORD,Terminal 5,1/2/2015,1000 - 1100,10,44,391,108,30,0,0,0,0,15,544,4,13
ORD,Terminal 5,1/2/2015,1100 - 1200,17,31,63,76,2,0,0,0,0,4,145,1,13
ORD,Terminal 5,1/2/2015,1200 - 1300,9,33,970,171,5,0,0,0,0,32,1178,5,23
