Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,121Plus,Excluded,Total,Flights,Booths
PBI,Main,1/1/2013,1000 - 1100,0,0,6,0,0,0,0,0,0,0,6,1,1
PBI,Main,1/1/2013,1100 - 1200,1,2,11,0,0,0,0,0,0,4,15,2,2
PBI,Main,1/1/2013,1200 - 1300,0,1,18,0,0,0,0,0,0,6,24,4,2
PBI,Main,1/1/2013,1300 - 1400,5,12,35,0,0,0,0,0,0,3,38,2,1
PBI,Main,1/1/2013,1400 - 1500,0,0,11,0,0,0,0,0,0,0,11,1,2
PBI,Main,1/1/2013,1500 - 1600,1,1,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,1/1/2013,1600 - 1700,3,8,11,0,0,0,0,0,0,1,12,1,1
PBI,Main,1/1/2013,1800 - 1900,1,4,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,1/1/2013,1900 - 2000,5,8,6,0,0,0,0,0,0,1,7,1,1
PBI,Main,1/2/2013,0900 - 1000,16,23,14,17,0,0,0,0,0,1,32,2,1
PBI,Main,1/2/2013,1000 - 1100,4,11,19,0,0,0,0,0,0,4,23,2,1
PBI,Main,1/2/2013,1100 - 1200,3,5,10,0,0,0,0,0,0,2,12,1,1
PBI,Main,1/2/2013,1200 - 1300,3,9,26,0,0,0,0,0,0,6,32,3,1
PBI,Main,1/2/2013,1300 - 1400,7,12,22,0,0,0,0,0,0,1,23,3,1
PBI,Main,1/2/2013,1400 - 1500,7,18,45,8,0,0,0,0,0,1,54,4,1
PBI,Main,1/2/2013,1600 - 1700,1,6,41,0,0,0,0,0,0,6,47,5,1
PBI,Main,1/2/2013,1700 - 1800,0,0,6,0,0,0,0,0,0,0,6,1,1
PBI,Main,1/3/2013,0900 - 1000,1,3,7,0,0,0,0,0,0,2,9,1,2
PBI,Main,1/3/2013,1000 - 1100,1,5,27,0,0,0,0,0,0,2,29,2,2
PBI,Main,1/3/2013,1100 - 1200,14,27,26,26,0,0,0,0,0,4,56,2,1
PBI,Main,1/3/2013,1200 - 1300,1,3,15,0,0,0,0,0,0,3,18,3,2
PBI,Main,1/3/2013,1300 - 1400,10,15,32,0,0,0,0,0,0,1,33,1,1
PBI,Main,1/3/2013,1400 - 1500,1,4,24,0,0,0,0,0,0,6,30,3,2
PBI,Main,1/3/2013,2000 - 2100,2,4,7,0,0,0,0,0,0,2,9,1,1
PBI,Main,1/4/2013,0900 - 1000,2,3,8,0,0,0,0,0,0,2,10,1,1
PBI,Main,1/4/2013,1100 - 1200,20,36,17,22,9,0,0,0,0,2,50,1,1
PBI,Main,1/4/2013,1200 - 1300,2,4,7,0,0,0,0,0,0,2,9,1,1
PBI,Main,1/4/2013,1300 - 1400,5,19,15,2,0,0,0,0,0,4,21,2,2
PBI,Main,1/4/2013,1400 - 1500,10,23,22,11,0,0,0,0,0,0,33,1,1
PBI,Main,1/4/2013,1500 - 1600,1,2,11,0,0,0,0,0,0,4,15,2,2
PBI,Main,1/4/2013,1600 - 1700,5,25,30,1,0,0,0,0,0,3,34,2,1
PBI,Main,1/5/2013,0900 - 1000,3,7,13,0,0,0,0,0,0,2,15,1,1
PBI,Main,1/5/2013,1000 - 1100,2,4,14,0,0,0,0,0,0,2,16,2,1
PBI,Main,1/5/2013,1100 - 1200,13,28,24,13,0,0,0,0,0,3,40,2,2
PBI,Main,1/5/2013,1200 - 1300,1,3,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,1/5/2013,1300 - 1400,7,14,55,0,0,0,0,0,0,3,58,2,2
PBI,Main,1/5/2013,1400 - 1500,7,13,45,0,0,0,0,0,0,4,49,3,2
PBI,Main,1/5/2013,1500 - 1600,3,9,13,0,0,0,0,0,0,4,17,2,1
PBI,Main,1/5/2013,1600 - 1700,1,1,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,1/5/2013,2000 - 2100,1,2,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,1/6/2013,0900 - 1000,3,6,9,0,0,0,0,0,0,2,11,1,1
PBI,Main,1/6/2013,1000 - 1100,4,11,22,0,0,0,0,0,0,4,26,3,1
PBI,Main,1/6/2013,1200 - 1300,21,44,21,18,14,0,0,0,0,2,55,2,1
PBI,Main,1/6/2013,1300 - 1400,2,6,42,0,0,0,0,0,0,13,55,7,1
PBI,Main,1/6/2013,1400 - 1500,11,24,38,18,0,0,0,0,0,6,62,4,2
PBI,Main,1/6/2013,1600 - 1700,0,2,13,0,0,0,0,0,0,1,14,2,1
PBI,Main,1/6/2013,1700 - 1800,1,2,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,1/7/2013,0900 - 1000,4,7,11,0,0,0,0,0,0,0,11,1,1
PBI,Main,1/7/2013,1000 - 1100,3,10,7,0,0,0,0,0,0,2,9,1,1
PBI,Main,1/7/2013,1100 - 1200,15,35,30,17,6,0,0,0,0,4,57,3,1
PBI,Main,1/7/2013,1300 - 1400,11,19,23,8,0,0,0,0,0,0,31,1,1
PBI,Main,1/7/2013,1400 - 1500,0,0,9,0,0,0,0,0,0,0,9,1,1
PBI,Main,1/7/2013,1700 - 1800,0,0,14,0,0,0,0,0,0,0,14,1,1
PBI,Main,1/8/2013,0900 - 1000,2,3,6,0,0,0,0,0,0,0,6,1,1
PBI,Main,1/8/2013,1300 - 1400,7,13,23,0,0,0,0,0,0,0,23,1,2
PBI,Main,1/9/2013,1000 - 1100,8,13,8,0,0,0,0,0,0,1,9,1,1
PBI,Main,1/9/2013,1100 - 1200,3,8,6,0,0,0,0,0,0,2,8,1,1
PBI,Main,1/9/2013,1200 - 1300,2,3,6,0,0,0,0,0,0,2,8,1,1
PBI,Main,1/9/2013,1300 - 1400,5,9,14,0,0,0,0,0,0,0,14,1,1
PBI,Main,1/9/2013,1600 - 1700,2,3,9,0,0,0,0,0,0,2,11,1,1
PBI,Main,1/10/2013,0900 - 1000,4,7,14,0,0,0,0,0,0,1,15,1,1
PBI,Main,1/10/2013,1000 - 1100,1,2,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,1/10/2013,1100 - 1200,33,61,11,7,7,10,3,0,0,0,38,1,1
PBI,Main,1/10/2013,1300 - 1400,5,11,11,0,0,0,0,0,0,1,12,1,1
PBI,Main,1/10/2013,1500 - 1600,4,7,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,1/10/2013,1600 - 1700,5,9,18,0,0,0,0,0,0,1,19,1,1
PBI,Main,1/10/2013,2100 - 2200,3,7,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,1/11/2013,0000 - 0100,6,12,6,0,0,0,0,0,0,2,8,1,1
PBI,Main,1/11/2013,0800 - 0900,1,3,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,1/11/2013,0900 - 1000,3,6,17,0,0,0,0,0,0,1,18,1,1
PBI,Main,1/11/2013,1000 - 1100,0,0,8,0,0,0,0,0,0,1,9,1,1
PBI,Main,1/11/2013,1100 - 1200,11,20,19,8,0,0,0,0,0,1,28,1,1
PBI,Main,1/11/2013,1300 - 1400,6,10,13,0,0,0,0,0,0,1,14,1,1
PBI,Main,1/11/2013,1500 - 1600,2,5,11,0,0,0,0,0,0,2,13,1,1
PBI,Main,1/11/2013,1600 - 1700,3,6,17,0,0,0,0,0,0,2,19,1,1
PBI,Main,1/12/2013,0900 - 1000,3,6,12,0,0,0,0,0,0,1,13,1,1
PBI,Main,1/12/2013,1000 - 1100,1,5,9,0,0,0,0,0,0,3,12,2,1
PBI,Main,1/12/2013,1100 - 1200,7,16,37,2,0,0,0,0,0,1,40,2,2
PBI,Main,1/12/2013,1300 - 1400,4,8,11,0,0,0,0,0,0,1,12,1,2
PBI,Main,1/12/2013,1700 - 1800,0,0,7,0,0,0,0,0,0,1,8,1,1
PBI,Main,1/13/2013,1000 - 1100,4,7,8,0,0,0,0,0,0,1,9,1,1
PBI,Main,1/13/2013,1100 - 1200,16,26,10,10,0,0,0,0,0,1,21,1,1
PBI,Main,1/13/2013,1200 - 1300,1,2,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,1/13/2013,1300 - 1400,2,4,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,1/13/2013,1400 - 1500,8,16,14,1,0,0,0,0,0,1,16,1,1
PBI,Main,1/13/2013,1600 - 1700,2,4,13,0,0,0,0,0,0,1,14,1,1
PBI,Main,1/13/2013,1700 - 1800,0,0,6,0,0,0,0,0,0,0,6,1,1
PBI,Main,1/14/2013,0900 - 1000,3,5,9,0,0,0,0,0,0,0,9,1,1
PBI,Main,1/14/2013,1000 - 1100,1,3,11,0,0,0,0,0,0,1,12,2,1
PBI,Main,1/14/2013,1100 - 1200,11,23,17,5,0,0,0,0,0,3,25,2,1
PBI,Main,1/14/2013,1300 - 1400,0,0,6,0,0,0,0,0,0,0,6,1,1
PBI,Main,1/15/2013,1200 - 1300,0,0,6,0,0,0,0,0,0,0,6,1,2
PBI,Main,1/15/2013,1300 - 1400,1,3,7,0,0,0,0,0,0,1,8,1,1
PBI,Main,1/15/2013,1600 - 1700,4,12,39,0,0,0,0,0,0,4,43,3,1
PBI,Main,1/16/2013,1000 - 1100,4,11,25,0,0,0,0,0,0,1,26,2,1
PBI,Main,1/16/2013,1300 - 1400,3,7,11,0,0,0,0,0,0,1,12,1,1
PBI,Main,1/16/2013,1600 - 1700,0,1,18,0,0,0,0,0,0,0,18,1,1
