Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
PBI,Main,1/1/2014,1000 - 1100,0,0,9,0,0,0,0,0,0,0,9,1,1
PBI,Main,1/1/2014,1100 - 1200,1,4,18,0,0,0,0,0,0,5,23,3,2
PBI,Main,1/1/2014,1200 - 1300,1,2,5,0,0,0,0,0,0,6,11,1,1
PBI,Main,1/1/2014,1400 - 1500,0,1,12,0,0,0,0,0,0,3,15,2,2
PBI,Main,1/1/2014,1600 - 1700,6,23,51,6,0,0,0,0,0,6,63,4,1
PBI,Main,1/1/2014,1800 - 1900,5,12,28,0,0,0,0,0,0,5,33,3,1
PBI,Main,1/1/2014,1900 - 2000,7,13,10,0,0,0,0,0,0,2,12,1,1
PBI,Main,1/2/2014,0900 - 1000,2,4,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,1/2/2014,1000 - 1100,0,1,39,0,0,0,0,0,0,3,42,4,2
PBI,Main,1/2/2014,1100 - 1200,16,34,27,21,9,0,0,0,0,6,63,3,1
PBI,Main,1/2/2014,1400 - 1500,2,11,25,0,0,0,0,0,0,2,27,3,1
PBI,Main,1/2/2014,1600 - 1700,9,27,52,18,0,0,0,0,0,2,72,3,1
PBI,Main,1/2/2014,1800 - 1900,1,2,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,1/3/2014,0900 - 1000,4,8,14,0,0,0,0,0,0,2,16,1,1
PBI,Main,1/3/2014,1000 - 1100,17,28,14,15,0,0,0,0,0,1,30,2,1
PBI,Main,1/3/2014,1100 - 1200,10,24,51,29,0,0,0,0,0,4,84,6,1
PBI,Main,1/3/2014,1200 - 1300,6,16,36,2,0,0,0,0,0,1,39,2,1
PBI,Main,1/3/2014,1300 - 1400,2,4,8,0,0,0,0,0,0,2,10,1,1
PBI,Main,1/3/2014,1400 - 1500,2,12,26,0,0,0,0,0,0,5,31,3,2
PBI,Main,1/3/2014,1500 - 1600,1,1,9,0,0,0,0,0,0,3,12,2,1
PBI,Main,1/3/2014,1600 - 1700,6,24,62,18,0,0,0,0,0,3,83,6,1
PBI,Main,1/4/2014,1000 - 1100,2,6,21,0,0,0,0,0,0,2,23,2,1
PBI,Main,1/4/2014,1100 - 1200,13,32,53,42,4,0,0,0,0,5,104,5,1
PBI,Main,1/4/2014,1200 - 1300,1,2,5,0,0,0,0,0,0,1,6,1,1
PBI,Main,1/4/2014,1300 - 1400,1,4,34,0,0,0,0,0,0,5,39,5,1
PBI,Main,1/4/2014,1400 - 1500,1,7,25,0,0,0,0,0,0,2,27,3,1
PBI,Main,1/4/2014,1500 - 1600,9,24,25,12,0,0,0,0,0,2,39,3,1
PBI,Main,1/4/2014,1600 - 1700,3,7,8,0,0,0,0,0,0,2,10,1,1
PBI,Main,1/4/2014,1700 - 1800,1,4,11,0,0,0,0,0,0,2,13,2,1
PBI,Main,1/4/2014,1800 - 1900,9,19,34,8,0,0,0,0,0,0,42,2,1
PBI,Main,1/4/2014,1900 - 2000,3,5,9,0,0,0,0,0,0,2,11,1,1
PBI,Main,1/5/2014,0800 - 0900,1,2,6,0,0,0,0,0,0,1,7,1,1
PBI,Main,1/5/2014,0900 - 1000,4,9,12,0,0,0,0,0,0,1,13,1,1
PBI,Main,1/5/2014,1000 - 1100,6,16,15,1,0,0,0,0,0,9,25,3,1
PBI,Main,1/5/2014,1100 - 1200,25,47,18,15,27,4,0,0,0,4,68,3,1
PBI,Main,1/5/2014,1200 - 1300,11,27,37,12,0,0,0,0,0,3,52,3,1
PBI,Main,1/5/2014,1300 - 1400,3,9,12,0,0,0,0,0,0,2,14,1,1
PBI,Main,1/5/2014,1400 - 1500,1,4,13,0,0,0,0,0,0,2,15,2,1
PBI,Main,1/5/2014,1500 - 1600,0,2,8,0,0,0,0,0,0,1,9,1,1
PBI,Main,1/5/2014,1600 - 1700,10,24,24,15,0,0,0,0,0,4,43,3,1
PBI,Main,1/5/2014,1700 - 1800,1,3,17,0,0,0,0,0,0,4,21,3,1
PBI,Main,1/5/2014,1900 - 2000,2,4,15,0,0,0,0,0,0,2,17,1,1
PBI,Main,1/6/2014,0900 - 1000,0,1,5,0,0,0,0,0,0,2,7,1,1
PBI,Main,1/6/2014,1000 - 1100,20,30,5,32,0,0,0,0,0,1,38,3,1
PBI,Main,1/6/2014,1100 - 1200,8,14,42,0,0,0,0,0,0,2,44,1,2
PBI,Main,1/6/2014,1300 - 1400,13,19,21,11,0,0,0,0,0,2,34,2,2
PBI,Main,1/6/2014,1400 - 1500,6,11,17,0,0,0,0,0,0,0,17,2,1
