Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
PHL,Terminal A,1/1/2013,0700 - 0800,24,43,73,65,100,0,0,0,0,5,243,1,5
PHL,Terminal A,1/1/2013,0800 - 0900,4,10,50,0,0,0,0,0,0,0,50,1,3
PHL,Terminal A,1/1/2013,1300 - 1400,15,39,373,265,18,0,0,0,0,24,680,3,21
PHL,Terminal A,1/1/2013,1400 - 1500,12,22,208,103,0,0,0,0,0,15,326,2,22
PHL,Terminal A,1/1/2013,1500 - 1600,8,24,1066,73,0,0,0,0,0,32,1171,5,22
PHL,Terminal A,1/1/2013,1600 - 1700,8,22,660,75,0,0,0,0,0,19,754,3,22
PHL,Terminal A,1/1/2013,1700 - 1800,6,13,114,0,0,0,0,0,0,2,116,1,7
PHL,Terminal A,1/1/2013,1800 - 1900,7,19,629,39,0,0,0,0,0,16,684,5,13
PHL,Terminal A,1/1/2013,1900 - 2000,5,12,218,0,0,0,0,0,0,5,223,2,12
PHL,Terminal A,1/1/2013,2000 - 2100,8,20,150,31,0,0,0,0,0,4,185,1,13
PHL,Terminal A,1/2/2013,0500 - 0600,15,27,118,113,0,0,0,0,0,4,235,1,6
PHL,Terminal A,1/2/2013,0800 - 0900,10,18,39,10,0,0,0,0,0,1,50,1,3
PHL,Terminal A,1/2/2013,1300 - 1400,10,26,637,145,0,0,0,0,0,21,803,4,22
PHL,Terminal A,1/2/2013,1400 - 1500,6,18,43,5,0,0,0,0,0,0,48,1,12
PHL,Terminal A,1/2/2013,1500 - 1600,30,75,455,584,341,287,159,0,0,54,1880,8,23
PHL,Terminal A,1/2/2013,1600 - 1700,3,10,182,0,0,0,0,0,0,6,188,1,21
PHL,Terminal A,1/2/2013,1700 - 1800,11,25,280,106,0,0,0,0,0,12,398,2,19
PHL,Terminal A,1/2/2013,1800 - 1900,13,32,262,173,4,0,0,0,0,9,448,3,11
PHL,Terminal A,1/2/2013,1900 - 2000,5,16,315,3,0,0,0,0,0,9,327,3,9
PHL,Terminal A,1/2/2013,2000 - 2100,10,24,136,50,0,0,0,0,0,2,188,1,9
PHL,Terminal A,1/3/2013,0500 - 0600,35,57,0,99,97,52,0,0,0,7,255,1,6
PHL,Terminal A,1/3/2013,0800 - 0900,5,12,44,0,0,0,0,0,0,2,46,1,4
PHL,Terminal A,1/3/2013,1200 - 1300,10,20,176,54,0,0,0,0,0,5,235,1,15
PHL,Terminal A,1/3/2013,1300 - 1400,4,15,489,0,0,0,0,0,0,15,504,3,20
PHL,Terminal A,1/3/2013,1400 - 1500,6,15,327,0,0,0,0,0,0,10,337,2,22
PHL,Terminal A,1/3/2013,1500 - 1600,26,70,440,749,448,114,48,0,0,52,1851,8,22
PHL,Terminal A,1/3/2013,1600 - 1700,41,61,6,72,95,132,3,0,0,13,321,2,18
PHL,Terminal A,1/3/2013,1700 - 1800,6,12,113,0,0,0,0,0,0,2,115,1,11
PHL,Terminal A,1/3/2013,1800 - 1900,26,50,182,221,287,13,0,0,0,18,721,5,10
PHL,Terminal A,1/3/2013,1900 - 2000,33,54,22,94,130,45,0,0,0,10,301,2,10
PHL,Terminal A,1/3/2013,2000 - 2100,13,31,109,64,2,0,0,0,0,5,180,1,10
PHL,Terminal A,1/4/2013,0500 - 0600,19,40,96,86,52,0,0,0,0,7,241,1,5
PHL,Terminal A,1/4/2013,0800 - 0900,4,7,49,0,0,0,0,0,0,2,51,1,4
PHL,Terminal A,1/4/2013,1300 - 1400,10,30,655,191,0,0,0,0,0,24,870,4,22
PHL,Terminal A,1/4/2013,1400 - 1500,6,23,292,35,0,0,0,0,0,8,335,2,22
PHL,Terminal A,1/4/2013,1500 - 1600,22,54,447,695,245,47,0,0,0,46,1480,7,23
PHL,Terminal A,1/4/2013,1600 - 1700,10,25,462,152,0,0,0,0,0,20,634,3,20
PHL,Terminal A,1/4/2013,1700 - 1800,4,12,228,0,0,0,0,0,0,3,231,2,11
PHL,Terminal A,1/4/2013,1800 - 1900,11,23,346,111,0,0,0,0,0,15,472,3,13
PHL,Terminal A,1/4/2013,1900 - 2000,5,10,109,0,0,0,0,0,0,1,110,1,11
PHL,Terminal A,1/4/2013,2100 - 2200,7,20,165,12,0,0,0,0,0,6,183,1,12
PHL,Terminal A,1/5/2013,0500 - 0600,26,53,82,57,68,38,0,0,0,8,253,1,5
PHL,Terminal A,1/5/2013,1300 - 1400,19,48,488,407,157,13,0,0,0,33,1098,5,23
PHL,Terminal A,1/5/2013,1400 - 1500,6,17,281,6,0,0,0,0,0,9,296,2,23
PHL,Terminal A,1/5/2013,1500 - 1600,35,97,485,404,510,172,327,12,0,54,1964,9,23
PHL,Terminal A,1/5/2013,1600 - 1700,37,65,28,132,21,104,26,0,0,10,321,2,21
PHL,Terminal A,1/5/2013,1700 - 1800,12,17,110,6,0,0,0,0,0,2,118,1,15
