Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
PHX,Main,1/1/2015,0800 - 0900,18,41,134,133,33,0,0,0,0,11,311,3,7
PHX,Main,1/1/2015,0900 - 1000,12,28,78,39,0,0,0,0,0,2,119,1,6
PHX,Main,1/1/2015,1100 - 1200,4,10,111,0,0,0,0,0,0,3,114,1,5
PHX,Main,1/1/2015,1200 - 1300,3,8,71,0,0,0,0,0,0,0,71,1,7
PHX,Main,1/1/2015,1300 - 1400,1,5,146,0,0,0,0,0,0,5,151,2,9
PHX,Main,1/1/2015,1400 - 1500,4,11,187,0,0,0,0,0,0,0,187,1,9
PHX,Main,1/1/2015,1500 - 1600,2,9,143,0,0,0,0,0,0,5,148,1,8
PHX,Main,1/1/2015,1600 - 1700,5,16,495,5,0,0,0,0,0,15,515,4,10
PHX,Main,1/1/2015,1700 - 1800,14,41,262,134,44,0,0,0,0,15,455,2,8
PHX,Main,1/1/2015,1800 - 1900,6,18,229,16,0,0,0,0,0,7,252,2,9
PHX,Main,1/1/2015,1900 - 2000,9,29,385,123,0,0,0,0,0,9,517,4,8
PHX,Main,1/1/2015,2000 - 2100,4,9,122,0,0,0,0,0,0,3,125,1,7
PHX,Main,1/2/2015,0800 - 0900,21,48,22,34,7,6,0,0,0,3,72,1,5
PHX,Main,1/2/2015,0900 - 1000,6,18,177,15,0,0,0,0,0,4,196,2,5
PHX,Main,1/2/2015,1100 - 1200,11,23,138,37,0,0,0,0,0,6,181,1,2
PHX,Main,1/2/2015,1300 - 1400,4,11,49,0,0,0,0,0,0,2,51,1,5
PHX,Main,1/2/2015,1500 - 1600,5,12,366,0,0,0,0,0,0,13,379,3,5
PHX,Main,1/2/2015,1600 - 1700,5,14,459,0,0,0,0,0,0,12,471,3,8
PHX,Main,1/2/2015,1700 - 1800,8,30,460,105,0,0,0,0,0,16,581,3,9
PHX,Main,1/2/2015,1800 - 1900,13,25,136,86,0,0,0,0,0,8,230,2,6
PHX,Main,1/2/2015,1900 - 2000,8,23,489,73,0,0,0,0,0,8,570,4,9
PHX,Main,1/2/2015,2000 - 2100,8,28,349,20,0,0,0,0,0,16,385,3,7
PHX,Main,1/3/2015,0800 - 0900,9,22,266,53,0,0,0,0,0,10,329,3,5
PHX,Main,1/3/2015,0900 - 1000,5,17,187,8,0,0,0,0,0,4,199,2,6
PHX,Main,1/3/2015,1000 - 1100,3,9,125,0,0,0,0,0,0,0,125,1,5
PHX,Main,1/3/2015,1200 - 1300,10,23,219,80,0,0,0,0,0,9,308,2,5
PHX,Main,1/3/2015,1300 - 1400,14,30,102,65,0,0,0,0,0,6,173,1,5
PHX,Main,1/3/2015,1500 - 1600,6,14,355,0,0,0,0,0,0,7,362,3,6
PHX,Main,1/3/2015,1600 - 1700,8,20,398,62,0,0,0,0,0,7,467,3,9
PHX,Main,1/3/2015,1700 - 1800,8,21,418,73,0,0,0,0,0,15,506,2,10
PHX,Main,1/3/2015,1800 - 1900,5,16,741,4,0,0,0,0,0,12,757,5,10
PHX,Main,1/3/2015,1900 - 2000,4,10,194,0,0,0,0,0,0,6,200,2,10
PHX,Main,1/3/2015,2000 - 2100,6,17,540,40,0,0,0,0,0,21,601,4,9
PHX,Main,1/4/2015,0700 - 0800,11,18,65,8,0,0,0,0,0,2,75,1,5
PHX,Main,1/4/2015,0800 - 0900,11,27,102,46,0,0,0,0,0,5,153,1,6
PHX,Main,1/4/2015,0900 - 1000,8,26,188,33,0,0,0,0,0,5,226,2,6
PHX,Main,1/4/2015,1200 - 1300,10,21,246,64,0,0,0,0,0,5,315,2,8
PHX,Main,1/4/2015,1300 - 1400,3,13,167,0,0,0,0,0,0,3,170,2,7
PHX,Main,1/4/2015,1400 - 1500,7,15,184,0,0,0,0,0,0,2,186,1,7
PHX,Main,1/4/2015,1500 - 1600,5,15,77,0,0,0,0,0,0,1,78,1,7
PHX,Main,1/4/2015,1600 - 1700,8,25,510,59,0,0,0,0,0,23,592,4,9
PHX,Main,1/4/2015,1700 - 1800,8,28,353,78,0,0,0,0,0,11,442,2,9
PHX,Main,1/4/2015,1800 - 1900,11,23,326,82,0,0,0,0,0,12,420,3,9
PHX,Main,1/4/2015,1900 - 2000,10,21,470,78,0,0,0,0,0,20,568,4,8
PHX,Main,1/5/2015,0800 - 0900,13,30,91,54,0,0,0,0,0,4,149,1,4
PHX,Main,1/5/2015,1000 - 1100,10,24,162,35,0,0,0,0,0,7,204,2,4
PHX,Main,1/5/2015,1100 - 1200,8,21,103,16,0,0,0,0,0,4,123,1,4
PHX,Main,1/5/2015,1200 - 1300,4,13,121,0,0,0,0,0,0,4,125,1,5
PHX,Main,1/5/2015,1300 - 1400,16,37,113,75,21,0,0,0,0,4,213,2,8
PHX,Main,1/5/2015,1400 - 1500,6,15,182,0,0,0,0,0,0,5,187,1,8
PHX,Main,1/5/2015,1500 - 1600,6,14,199,0,0,0,0,0,0,7,206,2,8
PHX,Main,1/5/2015,1600 - 1700,8,34,461,105,2,0,0,0,0,14,582,4,9
PHX,Main,1/5/2015,1700 - 1800,15,60,271,126,32,22,0,0,0,14,465,2,8
PHX,Main,1/5/2015,1800 - 1900,13,46,271,149,13,1,0,0,0,12,446,4,8
PHX,Main,1/5/2015,1900 - 2000,9,30,343,113,0,0,0,0,0,13,469,3,9
PHX,Main,1/5/2015,2000 - 2100,4,9,146,0,0,0,0,0,0,1,147,1,9
PHX,Main,1/6/2015,0800 - 0900,13,24,50,23,0,0,0,0,0,3,76,1,4
PHX,Main,1/6/2015,1000 - 1100,15,38,88,42,20,0,0,0,0,2,152,1,4
PHX,Main,1/6/2015,1100 - 1200,7,28,102,15,0,0,0,0,0,4,121,1,4
PHX,Main,1/6/2015,1200 - 1300,17,40,68,84,16,0,0,0,0,6,174,1,6
PHX,Main,1/6/2015,1300 - 1400,7,14,48,0,0,0,0,0,0,1,49,1,6
PHX,Main,1/6/2015,1400 - 1500,4,10,108,0,0,0,0,0,0,4,112,1,4
PHX,Main,1/6/2015,1500 - 1600,7,20,243,19,0,0,0,0,0,8,270,2,8
PHX,Main,1/6/2015,1600 - 1700,9,20,276,30,0,0,0,0,0,10,316,3,9
PHX,Main,1/6/2015,1700 - 1800,6,21,239,18,0,0,0,0,0,8,265,2,9
PHX,Main,1/6/2015,1800 - 1900,19,57,255,166,56,39,0,0,0,15,531,3,9
PHX,Main,1/6/2015,1900 - 2000,10,25,225,81,0,0,0,0,0,11,317,4,9
PHX,Main,1/7/2015,0800 - 0900,9,19,63,9,0,0,0,0,0,3,75,1,5
PHX,Main,1/7/2015,0900 - 1000,7,19,111,8,0,0,0,0,0,4,123,1,6
PHX,Main,1/7/2015,1100 - 1200,14,26,33,14,0,0,0,0,0,2,49,1,2
PHX,Main,1/7/2015,1300 - 1400,17,43,101,51,36,0,0,0,0,6,194,2,5
PHX,Main,1/7/2015,1400 - 1500,6,20,163,15,0,0,0,0,0,5,183,2,4
PHX,Main,1/7/2015,1500 - 1600,13,27,107,65,0,0,0,0,0,6,178,1,6
PHX,Main,1/7/2015,1600 - 1700,8,20,143,17,0,0,0,0,0,5,165,2,7
PHX,Main,1/7/2015,1700 - 1800,20,83,343,37,31,41,49,0,0,17,518,3,9
PHX,Main,1/7/2015,1800 - 1900,17,55,79,25,1,21,0,0,0,1,127,1,7
PHX,Main,1/7/2015,1900 - 2000,6,17,288,7,0,0,0,0,0,12,307,3,7
PHX,Main,1/8/2015,0800 - 0900,11,25,156,40,0,0,0,0,0,5,201,2,4
PHX,Main,1/8/2015,0900 - 1000,7,20,106,17,0,0,0,0,0,4,127,1,5
PHX,Main,1/8/2015,1200 - 1300,4,13,158,0,0,0,0,0,0,4,162,2,5
PHX,Main,1/8/2015,1400 - 1500,2,8,159,0,0,0,0,0,0,5,164,3,5
PHX,Main,1/8/2015,1500 - 1600,2,6,63,0,0,0,0,0,0,1,64,1,7
PHX,Main,1/8/2015,1600 - 1700,6,21,212,10,0,0,0,0,0,6,228,2,8
PHX,Main,1/8/2015,1700 - 1800,5,12,107,0,0,0,0,0,0,2,109,1,8
PHX,Main,1/8/2015,1800 - 1900,18,82,317,93,49,28,37,0,0,15,539,3,10
PHX,Main,1/8/2015,1900 - 2000,16,37,157,107,25,0,0,0,0,9,298,3,6
PHX,Main,1/9/2015,0900 - 1000,13,29,73,52,0,0,0,0,0,2,127,1,4
