Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
RDU,Main,1/2/2014,1500 - 1600,13,34,119,81,8,0,0,0,0,6,214,1,5
RDU,Main,1/3/2014,1500 - 1600,17,32,83,112,11,0,0,0,0,7,213,1,5
RDU,Main,1/4/2014,1400 - 1500,18,33,56,74,17,0,0,0,0,5,152,1,5
RDU,Main,1/4/2014,1500 - 1600,14,33,117,83,7,0,0,0,0,7,214,1,5
RDU,Main,1/5/2014,1500 - 1600,22,46,72,69,67,1,0,0,0,7,216,1,5
RDU,Main,1/6/2014,1500 - 1600,17,44,97,63,40,0,0,0,0,6,206,1,6
RDU,Main,1/7/2014,1600 - 1700,15,38,112,61,29,0,0,0,0,7,209,1,6
RDU,Main,1/8/2014,1500 - 1600,16,35,93,91,14,0,0,0,0,5,203,1,6
RDU,Main,1/9/2014,1500 - 1600,19,40,67,55,42,0,0,0,0,2,166,1,4
RDU,Main,1/10/2014,1500 - 1600,15,34,74,55,13,0,0,0,0,5,147,1,6
RDU,Main,1/11/2014,1500 - 1600,23,49,55,67,39,12,0,0,0,10,183,1,5
RDU,Main,1/11/2014,1900 - 2000,14,29,38,29,0,0,0,0,0,2,69,1,2
RDU,Main,1/12/2014,1500 - 1600,22,51,68,51,44,13,0,0,0,5,181,1,5
RDU,Main,1/13/2014,1500 - 1600,14,36,85,49,16,0,0,0,0,4,154,1,5
RDU,Main,1/14/2014,1200 - 1300,2,7,60,0,0,0,0,0,0,0,60,1,4
RDU,Main,1/14/2014,1600 - 1700,17,38,60,45,18,0,0,0,0,4,127,1,5
RDU,Main,1/15/2014,1600 - 1700,14,30,54,41,0,0,0,0,0,4,99,1,3
RDU,Main,1/16/2014,1600 - 1700,13,36,57,35,7,0,0,0,0,4,103,1,4
RDU,Main,1/17/2014,1600 - 1700,14,29,85,63,0,0,0,0,0,9,157,1,4
RDU,Main,1/18/2014,1500 - 1600,16,45,98,38,34,0,0,0,0,3,173,1,4
RDU,Main,1/18/2014,1700 - 1800,7,16,66,3,0,0,0,0,0,1,70,1,2
RDU,Main,1/19/2014,1500 - 1600,18,41,72,64,32,0,0,0,0,5,173,1,4
RDU,Main,1/20/2014,1500 - 1600,16,37,77,60,20,0,0,0,0,5,162,1,4
RDU,Main,1/21/2014,1600 - 1700,17,41,61,48,23,0,0,0,0,5,137,1,4
RDU,Main,1/23/2014,1500 - 1600,13,33,68,50,5,0,0,0,0,4,127,1,3
RDU,Main,1/24/2014,1500 - 1600,10,24,87,38,0,0,0,0,0,2,127,1,4
RDU,Main,1/25/2014,1800 - 1900,11,34,168,66,10,0,0,0,0,7,251,2,5
RDU,Main,1/26/2014,1500 - 1600,13,34,94,56,10,0,0,0,0,5,165,1,5
RDU,Main,1/27/2014,1500 - 1600,14,32,75,51,6,0,0,0,0,4,136,1,5
RDU,Main,1/28/2014,1600 - 1700,9,23,80,29,0,0,0,0,0,4,113,1,4
RDU,Main,1/30/2014,1600 - 1700,6,18,91,15,0,0,0,0,0,2,108,1,4
RDU,Main,1/31/2014,1600 - 1700,8,29,106,22,0,0,0,0,0,4,132,1,5
RDU,Main,2/1/2014,1500 - 1600,17,42,78,48,31,0,0,0,0,5,162,1,4
RDU,Main,2/1/2014,1800 - 1900,9,19,78,20,0,0,0,0,0,1,99,1,3
RDU,Main,2/2/2014,1500 - 1600,14,35,76,34,14,0,0,0,0,3,127,1,4
RDU,Main,2/3/2014,1500 - 1600,8,24,80,24,0,0,0,0,0,3,107,1,4
RDU,Main,2/4/2014,1500 - 1600,9,22,55,19,0,0,0,0,0,3,77,1,3
RDU,Main,2/6/2014,1500 - 1600,7,20,88,13,0,0,0,0,0,4,105,1,4
RDU,Main,2/7/2014,1500 - 1600,11,29,108,53,0,0,0,0,0,4,165,1,4
RDU,Main,2/8/2014,1500 - 1600,15,40,78,49,23,0,0,0,0,5,155,1,4
RDU,Main,2/8/2014,1800 - 1900,10,24,69,31,0,0,0,0,0,3,103,1,2
RDU,Main,2/9/2014,1500 - 1600,18,41,80,65,38,0,0,0,0,3,186,1,5
RDU,Main,2/10/2014,1500 - 1600,8,22,74,17,0,0,0,0,0,2,93,1,4
RDU,Main,2/11/2014,1500 - 1600,18,33,39,36,8,0,0,0,0,3,86,1,4
RDU,Main,2/14/2014,1600 - 1700,17,47,110,53,39,8,0,0,0,3,213,1,4
RDU,Main,2/15/2014,1700 - 1800,22,56,88,45,42,26,0,0,0,6,207,1,4
RDU,Main,2/15/2014,1800 - 1900,19,38,45,54,19,0,0,0,0,4,122,1,2
RDU,Main,2/16/2014,1600 - 1700,15,38,72,47,16,0,0,0,0,8,143,1,4
RDU,Main,2/17/2014,1500 - 1600,15,34,74,51,12,0,0,0,0,3,140,1,4
RDU,Main,2/18/2014,1500 - 1600,13,29,45,33,0,0,0,0,0,5,83,1,3
RDU,Main,2/19/2014,1500 - 1600,11,31,72,29,4,0,0,0,0,3,108,1,4
RDU,Main,2/20/2014,1500 - 1600,7,20,78,12,0,0,0,0,0,3,93,1,4
RDU,Main,2/21/2014,1500 - 1600,8,26,66,23,0,0,0,0,0,3,92,1,3
RDU,Main,2/22/2014,1500 - 1600,9,26,97,37,0,0,0,0,0,2,136,1,5
RDU,Main,2/22/2014,1800 - 1900,17,36,49,47,18,0,0,0,0,7,121,1,2
RDU,Main,2/23/2014,1500 - 1600,13,29,84,59,0,0,0,0,0,4,147,1,5
RDU,Main,2/24/2014,1500 - 1600,10,24,77,29,0,0,0,0,0,4,110,1,4
RDU,Main,2/25/2014,1500 - 1600,14,32,44,29,6,0,0,0,0,2,81,1,4
RDU,Main,2/26/2014,1500 - 1600,9,25,71,23,0,0,0,0,0,2,96,1,4
RDU,Main,2/27/2014,1500 - 1600,5,19,81,8,0,0,0,0,0,3,92,1,4
RDU,Main,2/27/2014,1900 - 2000,43,83,31,26,29,29,52,0,0,9,176,1,3
RDU,Main,2/28/2014,1600 - 1700,12,35,110,52,12,0,0,0,0,6,180,1,4
RDU,Main,3/1/2014,1500 - 1600,22,56,82,57,36,25,0,0,0,7,207,1,4
RDU,Main,3/1/2014,1800 - 1900,14,29,69,60,0,0,0,0,0,2,131,1,2
RDU,Main,3/2/2014,1500 - 1600,14,37,97,59,20,0,0,0,0,5,181,1,4
RDU,Main,3/3/2014,1600 - 1700,20,50,60,6,25,19,0,0,0,3,113,1,5
RDU,Main,3/4/2014,1600 - 1700,9,24,72,23,0,0,0,0,0,1,96,1,4
RDU,Main,3/5/2014,1600 - 1700,8,23,79,19,0,0,0,0,0,4,102,1,4
RDU,Main,3/6/2014,1500 - 1600,8,25,89,27,0,0,0,0,0,4,120,1,4
RDU,Main,3/7/2014,1500 - 1600,12,31,79,49,2,0,0,0,0,5,135,1,4
RDU,Main,3/8/2014,1300 - 1400,10,22,82,32,0,0,0,0,0,3,117,1,4
RDU,Main,3/8/2014,1500 - 1600,11,26,108,59,0,0,0,0,0,5,172,1,5
RDU,Main,3/9/2014,1600 - 1700,19,43,69,47,47,0,0,0,0,4,167,1,4
RDU,Main,3/10/2014,1500 - 1600,17,37,46,49,12,0,0,0,0,5,112,1,4
RDU,Main,3/11/2014,1600 - 1700,14,31,52,39,2,0,0,0,0,5,98,1,4
RDU,Main,3/12/2014,1600 - 1700,5,16,83,3,0,0,0,0,0,3,89,1,4
RDU,Main,3/13/2014,1700 - 1800,8,22,96,28,0,0,0,0,0,0,124,1,5
RDU,Main,3/14/2014,1600 - 1700,23,48,70,54,68,10,0,0,0,5,207,1,4
RDU,Main,3/15/2014,1400 - 1500,17,41,64,50,30,0,0,0,0,5,149,1,4
RDU,Main,3/15/2014,1600 - 1700,24,60,68,56,42,26,0,0,0,5,197,1,4
RDU,Main,3/16/2014,1600 - 1700,41,78,39,34,33,40,56,0,0,12,214,1,3
RDU,Main,3/17/2014,1600 - 1700,26,59,65,53,44,33,0,0,0,6,201,1,5
RDU,Main,3/18/2014,1600 - 1700,15,33,69,50,9,0,0,0,0,5,133,1,5
RDU,Main,3/19/2014,1600 - 1700,10,25,74,33,0,0,0,0,0,2,109,1,4
RDU,Main,3/20/2014,1600 - 1700,10,26,66,35,0,0,0,0,0,4,105,1,5
RDU,Main,3/21/2014,1600 - 1700,18,43,74,54,38,0,0,0,0,5,171,1,5
RDU,Main,3/22/2014,1400 - 1500,14,29,65,62,0,0,0,0,0,3,130,1,3
RDU,Main,3/22/2014,1600 - 1700,18,49,95,63,36,6,0,0,0,7,207,1,4
RDU,Main,3/23/2014,1600 - 1700,24,56,65,68,39,22,0,0,0,10,204,1,5
RDU,Main,3/24/2014,1600 - 1700,21,41,48,61,31,0,0,0,0,5,145,1,5
RDU,Main,3/25/2014,1600 - 1700,12,28,88,53,0,0,0,0,0,3,144,1,5
RDU,Main,3/26/2014,1600 - 1700,14,33,61,36,8,0,0,0,0,7,112,1,4
RDU,Main,3/27/2014,1600 - 1700,17,34,50,52,16,0,0,0,0,7,125,1,4
RDU,Main,3/28/2014,1600 - 1700,21,49,71,39,41,12,0,0,0,6,169,1,3
RDU,Main,3/29/2014,1400 - 1500,13,25,58,38,0,0,0,0,0,3,99,1,3
RDU,Main,3/29/2014,1600 - 1700,20,48,93,41,65,8,0,0,0,5,212,1,5
RDU,Main,3/30/2014,1400 - 1500,25,58,66,45,59,25,0,0,0,7,202,1,5
RDU,Main,3/31/2014,1400 - 1500,17,44,76,48,33,0,0,0,0,4,161,1,4
RDU,Main,4/1/2014,1400 - 1500,11,26,66,32,0,0,0,0,0,3,101,1,4
