Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SAN,Main,1/1/2015,0800 - 0900,10,20,73,19,0,0,0,0,0,4,96,1,7
SAN,Main,1/1/2015,0900 - 1000,13,36,99,40,19,0,0,0,0,5,163,1,8
SAN,Main,1/1/2015,1500 - 1600,4,14,302,0,0,0,0,0,0,9,311,2,7
SAN,Main,1/1/2015,1700 - 1800,15,46,161,59,38,1,0,0,0,9,268,1,8
SAN,Main,1/1/2015,1800 - 1900,2,7,138,0,0,0,0,0,0,3,141,1,6
SAN,Main,1/2/2015,0800 - 0900,12,27,76,35,0,0,0,0,0,7,118,1,6
SAN,Main,1/2/2015,0900 - 1000,13,38,108,44,22,0,0,0,0,5,179,1,7
SAN,Main,1/2/2015,1400 - 1500,6,21,102,16,0,0,0,0,0,4,122,1,7
SAN,Main,1/2/2015,1500 - 1600,5,13,318,0,0,0,0,0,0,13,331,2,8
SAN,Main,1/2/2015,1600 - 1700,10,43,335,70,32,0,0,0,0,14,451,2,8
SAN,Main,1/2/2015,1800 - 1900,7,16,149,6,0,0,0,0,0,8,163,1,5
SAN,Main,1/2/2015,2100 - 2200,2,5,8,0,0,0,0,0,0,2,10,1,1
SAN,Main,1/3/2015,0900 - 1000,10,29,132,46,0,0,0,0,0,4,182,1,7
SAN,Main,1/3/2015,1500 - 1600,4,17,302,9,0,0,0,0,0,11,322,2,7
SAN,Main,1/3/2015,1600 - 1700,4,12,186,0,0,0,0,0,0,1,187,1,5
SAN,Main,1/3/2015,1700 - 1800,13,39,167,70,25,0,0,0,0,4,266,1,7
SAN,Main,1/3/2015,1800 - 1900,3,11,179,0,0,0,0,0,0,3,182,1,5
SAN,Main,1/3/2015,1900 - 2000,4,11,178,0,0,0,0,0,0,3,181,1,7
SAN,Main,1/4/2015,0800 - 0900,10,20,97,21,0,0,0,0,0,6,124,1,7
SAN,Main,1/4/2015,0900 - 1000,10,31,128,46,4,0,0,0,0,5,183,1,7
SAN,Main,1/4/2015,1500 - 1600,5,18,415,15,0,0,0,0,0,11,441,3,7
SAN,Main,1/4/2015,1600 - 1700,2,10,171,0,0,0,0,0,0,2,173,1,7
SAN,Main,1/4/2015,1700 - 1800,14,40,131,58,20,0,0,0,0,6,215,1,7
SAN,Main,1/4/2015,1800 - 1900,7,22,142,19,0,0,0,0,0,6,167,1,5
SAN,Main,1/5/2015,1000 - 1100,17,42,97,44,39,0,0,0,0,3,183,1,7
SAN,Main,1/5/2015,1600 - 1700,11,56,433,68,37,23,0,0,0,14,575,3,8
SAN,Main,1/5/2015,1800 - 1900,3,10,128,0,0,0,0,0,0,2,130,1,6
SAN,Main,1/6/2015,1000 - 1100,15,42,106,42,33,0,0,0,0,4,185,1,8
SAN,Main,1/6/2015,1400 - 1500,9,27,92,31,0,0,0,0,0,4,127,1,6
SAN,Main,1/6/2015,1500 - 1600,5,21,205,19,0,0,0,0,0,4,228,2,6
SAN,Main,1/6/2015,1600 - 1700,16,46,147,72,40,4,0,0,0,9,272,1,7
SAN,Main,1/7/2015,1000 - 1100,18,48,96,34,48,6,0,0,0,4,188,1,6
SAN,Main,1/7/2015,1500 - 1600,3,12,197,0,0,0,0,0,0,7,204,2,7
SAN,Main,1/7/2015,1700 - 1800,20,56,124,68,39,25,0,0,0,8,264,1,8
SAN,Main,1/8/2015,0800 - 0900,16,31,44,55,2,0,0,0,0,6,107,1,5
SAN,Main,1/8/2015,1000 - 1100,14,39,109,48,20,0,0,0,0,4,181,1,7
SAN,Main,1/8/2015,1500 - 1600,1,9,194,0,0,0,0,0,0,4,198,2,7
SAN,Main,1/8/2015,1600 - 1700,20,54,130,68,41,29,0,0,0,8,276,1,8
SAN,Main,1/9/2015,0800 - 0900,7,17,93,9,0,0,0,0,0,4,106,1,6
SAN,Main,1/9/2015,0900 - 1000,13,39,110,41,22,0,0,0,0,5,178,1,5
SAN,Main,1/9/2015,1400 - 1500,17,41,59,34,20,0,0,0,0,4,117,1,7
SAN,Main,1/9/2015,1500 - 1600,4,15,110,0,0,0,0,0,0,3,113,1,5
SAN,Main,1/9/2015,1600 - 1700,5,14,139,0,0,0,0,0,0,5,144,1,6
SAN,Main,1/9/2015,1700 - 1800,15,54,210,72,43,19,0,0,0,8,352,3,7
SAN,Main,1/10/2015,0900 - 1000,15,42,106,37,33,0,0,0,0,6,182,1,7
SAN,Main,1/10/2015,1400 - 1500,6,17,90,9,0,0,0,0,0,1,100,1,8
SAN,Main,1/10/2015,1500 - 1600,1,8,185,0,0,0,0,0,0,3,188,2,7
SAN,Main,1/10/2015,1600 - 1700,4,13,163,0,0,0,0,0,0,3,166,1,8
SAN,Main,1/10/2015,1700 - 1800,15,51,183,76,35,9,0,0,0,10,313,2,8
SAN,Main,1/11/2015,0800 - 0900,7,19,88,17,0,0,0,0,0,2,107,1,5
SAN,Main,1/11/2015,0900 - 1000,15,45,103,36,30,0,0,0,0,3,172,1,5
SAN,Main,1/11/2015,1300 - 1400,1,2,7,0,0,0,0,0,0,1,8,1,2
SAN,Main,1/11/2015,1500 - 1600,3,20,215,4,0,0,0,0,0,5,224,3,7
SAN,Main,1/11/2015,1600 - 1700,3,10,117,0,0,0,0,0,0,2,119,1,7
SAN,Main,1/11/2015,1700 - 1800,19,67,226,82,47,24,17,0,0,14,410,2,7
SAN,Main,1/12/2015,0900 - 1000,13,35,112,43,15,0,0,0,0,6,176,1,7
SAN,Main,1/12/2015,1500 - 1600,1,5,151,0,0,0,0,0,0,3,154,2,6
SAN,Main,1/12/2015,1700 - 1800,20,49,124,66,58,14,0,0,0,6,268,1,7
SAN,Main,1/12/2015,1800 - 1900,0,1,68,0,0,0,0,0,0,2,70,1,6
SAN,Main,1/13/2015,0900 - 1000,18,46,86,38,36,4,0,0,0,5,169,1,5
SAN,Main,1/13/2015,1500 - 1600,6,29,184,37,0,0,0,0,0,4,225,3,7
