Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SAT,Main,1/1/2015,0800 - 0900,26,39,12,55,31,0,0,0,0,3,101,1,4
SAT,Main,1/1/2015,1100 - 1200,24,38,19,57,21,0,0,0,0,4,101,1,4
SAT,Main,1/1/2015,1200 - 1300,19,28,27,61,0,0,0,0,0,1,89,1,5
SAT,Main,1/1/2015,1300 - 1400,15,23,74,48,0,0,0,0,0,4,126,2,7
SAT,Main,1/1/2015,1400 - 1500,18,27,40,92,0,0,0,0,0,1,133,1,8
SAT,Main,1/1/2015,1800 - 1900,22,37,59,124,39,0,0,0,0,5,227,2,6
SAT,Main,1/1/2015,1900 - 2000,15,25,66,64,0,0,0,0,0,2,132,1,6
SAT,Main,1/1/2015,2000 - 2100,20,28,21,70,0,0,0,0,0,4,95,1,4
SAT,Main,1/2/2015,0900 - 1000,21,36,34,58,20,0,0,0,0,3,115,1,5
SAT,Main,1/2/2015,1000 - 1100,29,49,13,53,45,9,0,0,0,3,123,1,3
SAT,Main,1/2/2015,1200 - 1300,28,49,13,71,56,4,0,0,0,1,145,2,5
SAT,Main,1/2/2015,1300 - 1400,16,22,61,65,0,0,0,0,0,3,129,1,8
SAT,Main,1/2/2015,1400 - 1500,16,27,78,95,0,0,0,0,0,3,176,2,7
SAT,Main,1/2/2015,1600 - 1700,18,34,47,56,11,0,0,0,0,4,118,1,3
SAT,Main,1/2/2015,1800 - 1900,19,35,51,76,13,0,0,0,0,3,143,1,4
SAT,Main,1/2/2015,1900 - 2000,41,63,11,27,95,81,3,0,0,6,223,2,5
SAT,Main,1/2/2015,2100 - 2200,22,35,17,57,17,0,0,0,0,3,94,1,3
SAT,Main,1/3/2015,1000 - 1100,25,40,32,53,52,0,0,0,0,4,141,1,5
SAT,Main,1/3/2015,1100 - 1200,7,29,94,17,0,0,0,0,0,4,115,2,3
SAT,Main,1/3/2015,1200 - 1300,25,34,7,70,20,0,0,0,0,1,98,1,5
SAT,Main,1/3/2015,1400 - 1500,36,46,27,3,123,10,0,0,0,3,166,1,7
SAT,Main,1/3/2015,1800 - 1900,25,54,39,143,39,8,0,0,0,5,234,2,6
SAT,Main,1/3/2015,1900 - 2000,24,47,31,79,35,5,0,0,0,3,153,1,5
SAT,Main,1/3/2015,2000 - 2100,33,44,4,31,63,0,0,0,0,5,103,1,3
SAT,Main,1/4/2015,1200 - 1300,35,69,31,70,61,80,3,0,0,6,251,2,5
SAT,Main,1/4/2015,1300 - 1400,23,35,9,56,13,0,0,0,0,1,79,1,8
SAT,Main,1/4/2015,1400 - 1500,39,60,21,64,129,112,0,0,0,10,336,3,8
SAT,Main,1/4/2015,1500 - 1600,21,31,35,122,2,0,0,0,0,5,164,1,7
SAT,Main,1/4/2015,1700 - 1800,22,40,43,73,31,0,0,0,0,2,149,1,4
SAT,Main,1/4/2015,1800 - 1900,20,33,35,82,12,0,0,0,0,1,130,1,4
SAT,Main,1/4/2015,1900 - 2000,22,32,22,62,14,0,0,0,0,3,101,1,4
SAT,Main,1/4/2015,2000 - 2100,19,31,45,88,4,0,0,0,0,3,140,1,5
SAT,Main,1/4/2015,2100 - 2200,9,17,56,4,0,0,0,0,0,1,61,1,5
SAT,Main,1/5/2015,0900 - 1000,22,41,44,63,38,0,0,0,0,3,148,1,4
SAT,Main,1/5/2015,1200 - 1300,26,37,7,46,35,0,0,0,0,3,91,1,4
SAT,Main,1/5/2015,1300 - 1400,15,23,39,45,0,0,0,0,0,3,87,1,6
SAT,Main,1/5/2015,1400 - 1500,10,13,47,0,0,0,0,0,0,2,49,1,6
SAT,Main,1/5/2015,1800 - 1900,18,32,74,130,7,0,0,0,0,4,215,2,3
SAT,Main,1/5/2015,1900 - 2000,23,40,39,60,45,0,0,0,0,4,148,1,3
SAT,Main,1/6/2015,1000 - 1100,20,35,45,78,18,0,0,0,0,5,146,1,5
SAT,Main,1/6/2015,1200 - 1300,18,27,22,60,0,0,0,0,0,0,82,1,4
SAT,Main,1/6/2015,1300 - 1400,17,28,52,97,0,0,0,0,0,6,155,2,6
SAT,Main,1/6/2015,1800 - 1900,16,26,55,66,0,0,0,0,0,2,123,1,4
SAT,Main,1/6/2015,1900 - 2000,27,39,6,50,45,0,0,0,0,0,101,1,4
SAT,Main,1/6/2015,2000 - 2100,1,2,8,0,0,0,0,0,0,1,9,1,1
SAT,Main,1/6/2015,2100 - 2200,25,43,22,62,37,0,0,0,0,4,125,1,3
SAT,Main,1/7/2015,0900 - 1000,22,47,48,41,38,5,0,0,0,5,137,1,4
SAT,Main,1/7/2015,1200 - 1300,22,38,26,38,28,0,0,0,0,2,94,1,4
SAT,Main,1/7/2015,1300 - 1400,12,18,32,8,0,0,0,0,0,2,42,1,5
SAT,Main,1/7/2015,1400 - 1500,16,24,32,43,0,0,0,0,0,0,75,1,7
SAT,Main,1/7/2015,1500 - 1600,1,1,6,0,0,0,0,0,0,2,8,1,1
SAT,Main,1/7/2015,1700 - 1800,14,23,58,41,0,0,0,0,0,4,103,1,4
SAT,Main,1/7/2015,1800 - 1900,17,30,92,147,0,0,0,0,0,7,246,2,4
SAT,Main,1/7/2015,1900 - 2000,19,34,39,62,16,0,0,0,0,3,120,1,4
SAT,Main,1/8/2015,0900 - 1000,18,29,43,77,0,0,0,0,0,4,124,1,6
SAT,Main,1/8/2015,1200 - 1300,19,32,44,115,8,0,0,0,0,6,173,2,6
SAT,Main,1/8/2015,1300 - 1400,14,21,46,30,0,0,0,0,0,3,79,1,7
SAT,Main,1/8/2015,1400 - 1500,19,30,43,111,0,0,0,0,0,1,155,2,8
SAT,Main,1/8/2015,1800 - 1900,19,37,84,99,28,0,0,0,0,4,215,2,4
SAT,Main,1/8/2015,1900 - 2000,17,32,47,55,7,0,0,0,0,3,112,1,4
SAT,Main,1/9/2015,0900 - 1000,28,60,27,33,25,19,0,0,0,4,108,1,5
SAT,Main,1/9/2015,1200 - 1300,21,40,37,58,28,0,0,0,0,6,129,2,4
SAT,Main,1/9/2015,1300 - 1400,11,18,31,9,0,0,0,0,0,1,41,1,4
SAT,Main,1/9/2015,1400 - 1500,13,23,76,54,0,0,0,0,0,5,135,2,6
SAT,Main,1/9/2015,1800 - 1900,18,35,80,105,22,0,0,0,0,6,213,2,4
SAT,Main,1/9/2015,1900 - 2000,14,32,56,42,6,0,0,0,0,3,107,1,3
SAT,Main,1/10/2015,0900 - 1000,17,29,46,64,0,0,0,0,0,0,110,1,5
SAT,Main,1/10/2015,1100 - 1200,5,11,22,0,0,0,0,0,0,1,23,1,4
SAT,Main,1/10/2015,1200 - 1300,20,33,18,56,5,0,0,0,0,2,81,1,4
SAT,Main,1/10/2015,1800 - 1900,29,59,47,47,40,45,0,0,0,6,185,2,4
SAT,Main,1/11/2015,1200 - 1300,32,56,21,45,83,21,0,0,0,6,176,2,4
SAT,Main,1/11/2015,1300 - 1400,25,48,52,96,79,9,0,0,0,9,245,3,8
SAT,Main,1/11/2015,1400 - 1500,9,26,9,4,0,0,0,0,0,1,14,1,5
SAT,Main,1/11/2015,1800 - 1900,18,33,69,105,14,0,0,0,0,6,194,2,6
SAT,Main,1/11/2015,1900 - 2000,16,29,57,54,0,0,0,0,0,4,115,1,6
SAT,Main,1/11/2015,2000 - 2100,4,13,55,0,0,0,0,0,0,0,55,1,4
SAT,Main,1/12/2015,0900 - 1000,22,41,32,35,28,0,0,0,0,3,98,1,3
SAT,Main,1/12/2015,1200 - 1300,13,28,49,31,0,0,0,0,0,3,83,1,5
SAT,Main,1/12/2015,1300 - 1400,6,11,23,0,0,0,0,0,0,1,24,1,5
SAT,Main,1/12/2015,1400 - 1500,0,1,18,0,0,0,0,0,0,0,18,1,4
SAT,Main,1/12/2015,1800 - 1900,12,25,114,39,0,0,0,0,0,5,158,2,6
SAT,Main,1/12/2015,1900 - 2000,18,30,32,58,0,0,0,0,0,1,91,1,6
SAT,Main,1/13/2015,0900 - 1000,14,27,38,30,0,0,0,0,0,2,70,1,4
