Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SEA,South Satellite,1/1/2014,0600 - 0700,20,68,348,96,70,58,34,0,0,19,625,4,10
SEA,South Satellite,1/1/2014,0900 - 1000,7,23,173,32,0,0,0,0,0,3,208,2,7
SEA,South Satellite,1/1/2014,1000 - 1100,8,36,322,77,11,0,0,0,0,10,420,2,10
SEA,South Satellite,1/1/2014,1100 - 1200,43,121,431,232,82,81,168,240,3,35,1272,6,15
SEA,South Satellite,1/1/2014,1200 - 1300,33,99,88,44,9,6,17,30,0,12,206,1,15
SEA,South Satellite,1/1/2014,1300 - 1400,7,27,51,15,0,0,0,0,0,0,66,1,8
SEA,South Satellite,1/1/2014,1400 - 1500,3,8,52,0,0,0,0,0,0,1,53,1,4
SEA,South Satellite,1/1/2014,1500 - 1600,19,69,155,42,27,26,16,0,0,7,273,1,7
SEA,South Satellite,1/1/2014,1600 - 1700,29,98,269,58,17,34,93,21,0,17,509,4,9
SEA,South Satellite,1/1/2014,1700 - 1800,26,75,166,51,62,55,25,0,0,12,371,1,8
SEA,South Satellite,1/1/2014,1800 - 1900,5,21,157,11,0,0,0,0,0,6,174,1,4
SEA,South Satellite,1/1/2014,2100 - 2200,4,12,171,0,0,0,0,0,0,5,176,1,2
SEA,South Satellite,1/2/2014,0600 - 0700,12,41,228,76,37,0,0,0,0,10,351,2,10
SEA,South Satellite,1/2/2014,0700 - 0800,1,7,70,0,0,0,0,0,0,2,72,1,7
SEA,South Satellite,1/2/2014,0900 - 1000,9,25,358,102,0,0,0,0,0,14,474,3,8
SEA,South Satellite,1/2/2014,1000 - 1100,10,29,168,76,0,0,0,0,0,7,251,1,14
SEA,South Satellite,1/2/2014,1100 - 1200,11,40,511,162,23,0,0,0,0,23,719,4,13
SEA,South Satellite,1/2/2014,1200 - 1300,15,38,156,78,32,0,0,0,0,7,273,1,13
SEA,South Satellite,1/2/2014,1300 - 1400,2,8,70,0,0,0,0,0,0,2,72,1,4
SEA,South Satellite,1/2/2014,1400 - 1500,2,6,59,0,0,0,0,0,0,2,61,1,4
SEA,South Satellite,1/2/2014,1500 - 1600,5,10,76,0,0,0,0,0,0,1,77,1,6
SEA,South Satellite,1/2/2014,1600 - 1700,12,35,176,70,17,0,0,0,0,12,275,2,9
SEA,South Satellite,1/2/2014,1700 - 1800,8,31,401,70,6,0,0,0,0,13,490,2,9
SEA,South Satellite,1/2/2014,1900 - 2000,4,14,165,0,0,0,0,0,0,6,171,1,2
SEA,South Satellite,1/2/2014,2000 - 2100,5,12,181,0,0,0,0,0,0,3,184,1,2
SEA,South Satellite,1/3/2014,0600 - 0700,31,89,387,84,82,96,180,0,0,20,849,5,14
SEA,South Satellite,1/3/2014,0900 - 1000,7,20,402,54,0,0,0,0,0,12,468,3,12
SEA,South Satellite,1/3/2014,1000 - 1100,9,24,143,52,0,0,0,0,0,6,201,1,11
SEA,South Satellite,1/3/2014,1100 - 1200,13,60,713,198,81,19,0,0,0,30,1041,5,15
SEA,South Satellite,1/3/2014,1200 - 1300,18,55,272,74,93,35,0,0,0,9,483,2,15
SEA,South Satellite,1/3/2014,1300 - 1400,1,3,64,0,0,0,0,0,0,1,65,1,6
SEA,South Satellite,1/3/2014,1400 - 1500,2,4,65,0,0,0,0,0,0,3,68,1,10
SEA,South Satellite,1/3/2014,1500 - 1600,3,6,67,0,0,0,0,0,0,3,70,1,7
SEA,South Satellite,1/3/2014,1600 - 1700,12,37,298,93,45,0,0,0,0,15,451,3,10
SEA,South Satellite,1/3/2014,1800 - 1900,13,35,242,97,24,0,0,0,0,12,375,1,10
SEA,South Satellite,1/3/2014,1900 - 2000,9,33,415,73,13,0,0,0,0,13,514,2,10
SEA,South Satellite,1/4/2014,0600 - 0700,17,46,297,144,103,1,0,0,0,28,573,3,13
SEA,South Satellite,1/4/2014,0700 - 0800,2,8,62,0,0,0,0,0,0,1,63,1,3
SEA,South Satellite,1/4/2014,0900 - 1000,3,10,222,0,0,0,0,0,0,7,229,2,10
SEA,South Satellite,1/4/2014,1100 - 1200,12,41,630,263,65,0,0,0,0,34,992,5,18
SEA,South Satellite,1/4/2014,1200 - 1300,21,46,433,291,305,1,0,0,0,28,1058,4,18
SEA,South Satellite,1/4/2014,1300 - 1400,6,11,75,0,0,0,0,0,0,1,76,1,8
SEA,South Satellite,1/4/2014,1400 - 1500,2,4,40,0,0,0,0,0,0,1,41,1,6
SEA,South Satellite,1/4/2014,1500 - 1600,3,6,74,0,0,0,0,0,0,2,76,1,5
SEA,South Satellite,1/4/2014,1600 - 1700,18,61,467,118,103,74,6,0,0,22,790,4,10
SEA,South Satellite,1/4/2014,1800 - 1900,16,42,192,108,61,0,0,0,0,12,373,1,10
SEA,South Satellite,1/4/2014,1900 - 2000,4,13,168,0,0,0,0,0,0,4,172,1,5
SEA,South Satellite,1/4/2014,2100 - 2200,7,14,178,0,0,0,0,0,0,4,182,1,6
SEA,South Satellite,1/5/2014,0600 - 0700,12,37,242,77,29,0,0,0,0,10,358,2,11
SEA,South Satellite,1/5/2014,0700 - 0800,23,58,129,67,59,49,0,0,0,6,310,2,10
SEA,South Satellite,1/5/2014,0900 - 1000,8,27,176,48,0,0,0,0,0,7,231,2,9
SEA,South Satellite,1/5/2014,1000 - 1100,12,37,159,63,30,0,0,0,0,8,260,1,8
SEA,South Satellite,1/5/2014,1100 - 1200,18,60,534,224,191,57,0,0,0,32,1038,5,20
SEA,South Satellite,1/5/2014,1200 - 1300,26,64,392,90,278,165,9,0,0,29,963,4,22
SEA,South Satellite,1/5/2014,1300 - 1400,1,7,68,0,0,0,0,0,0,2,70,1,11
