Airport,Terminal,Date,Hour,Average,Max,p015,p1630,pp3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SEA,South Satellite,1/1/2015,0600 - 0700,3,10,62,0,0,0,0,0,0,2,64,1,2
SEA,South Satellite,1/1/2015,0700 - 0800,1,6,63,0,0,0,0,0,0,2,65,1,4
SEA,South Satellite,1/1/2015,0800 - 0900,9,34,257,52,15,0,0,0,0,10,334,2,10
SEA,South Satellite,1/1/2015,0900 - 1000,8,22,122,25,0,0,0,0,0,5,152,1,8
SEA,South Satellite,1/1/2015,1000 - 1100,22,49,161,64,125,24,0,0,0,12,386,2,16
SEA,South Satellite,1/1/2015,1100 - 1200,9,23,272,84,0,0,0,0,0,9,365,2,14
SEA,South Satellite,1/1/2015,1200 - 1300,19,49,291,366,100,14,0,0,0,19,790,3,19
SEA,South Satellite,1/1/2015,1300 - 1400,3,9,67,0,0,0,0,0,0,3,70,1,6
SEA,South Satellite,1/1/2015,1500 - 1600,5,16,408,6,0,0,0,0,0,12,426,2,12
SEA,South Satellite,1/1/2015,1600 - 1700,5,15,225,0,0,0,0,0,0,4,229,2,8
SEA,South Satellite,1/1/2015,1900 - 2000,4,11,177,0,0,0,0,0,0,6,183,1,3
SEA,South Satellite,1/1/2015,2000 - 2100,2,10,174,0,0,0,0,0,0,6,180,1,1
SEA,South Satellite,1/1/2015,2100 - 2200,4,17,147,7,0,0,0,0,0,5,159,1,2
SEA,South Satellite,1/2/2015,0600 - 0700,2,7,74,0,0,0,0,0,0,2,76,1,1
SEA,South Satellite,1/2/2015,0700 - 0800,15,51,196,41,44,13,0,0,0,9,303,2,10
SEA,South Satellite,1/2/2015,0800 - 0900,17,53,213,62,51,30,0,0,0,10,366,2,10
SEA,South Satellite,1/2/2015,0900 - 1000,9,28,115,38,0,0,0,0,0,5,158,1,9
SEA,South Satellite,1/2/2015,1000 - 1100,20,43,146,136,103,0,0,0,0,16,401,2,12
SEA,South Satellite,1/2/2015,1100 - 1200,24,56,344,230,292,89,0,0,0,38,993,5,14
SEA,South Satellite,1/2/2015,1200 - 1300,47,103,35,135,380,260,169,48,0,40,1067,4,19
SEA,South Satellite,1/2/2015,1300 - 1400,6,34,71,0,1,0,0,0,0,3,75,1,4
SEA,South Satellite,1/2/2015,1500 - 1600,7,16,414,13,0,0,0,0,0,17,444,2,9
SEA,South Satellite,1/2/2015,1600 - 1700,10,21,114,37,0,0,0,0,0,2,153,2,7
SEA,South Satellite,1/2/2015,1700 - 1800,12,39,368,133,26,0,0,0,0,17,544,2,10
