Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SFO,Terminal A,1/1/2013,0900 - 1000,27,66,242,300,166,111,34,0,0,31,884,3,20
SFO,Terminal A,1/1/2013,1200 - 1300,23,50,113,143,69,27,0,0,0,9,361,1,14
SFO,Terminal A,1/1/2013,1300 - 1400,19,62,279,286,57,23,2,0,0,21,668,2,20
SFO,Terminal A,1/1/2013,1400 - 1500,21,43,113,142,77,0,0,0,0,9,341,1,15
SFO,Terminal A,1/1/2013,1500 - 1600,34,69,58,47,37,42,31,0,0,7,222,1,10
SFO,Terminal A,1/1/2013,1700 - 1800,16,37,233,175,28,0,0,0,0,14,450,2,15
SFO,Terminal A,1/1/2013,1800 - 1900,32,63,153,171,341,167,4,0,0,21,857,3,18
SFO,Terminal A,1/1/2013,1900 - 2000,9,16,265,18,0,0,0,0,0,8,291,2,11
SFO,Terminal A,1/1/2013,2000 - 2100,12,32,195,68,5,0,0,0,0,7,275,1,12
SFO,Terminal A,1/1/2013,2200 - 2300,7,15,279,0,0,0,0,0,0,7,286,2,9
SFO,Terminal A,1/1/2013,2300 - 0000,11,22,120,34,0,0,0,0,0,5,159,1,9
SFO,Terminal G,1/1/2013,0700 - 0800,18,46,469,320,152,2,0,0,0,29,972,3,32
SFO,Terminal G,1/1/2013,0800 - 0900,18,40,85,78,25,0,0,0,0,7,195,2,20
SFO,Terminal G,1/1/2013,0900 - 1000,18,58,303,286,105,8,0,0,0,27,729,3,21
SFO,Terminal G,1/1/2013,1000 - 1100,38,74,54,360,447,140,162,0,0,36,1199,4,25
SFO,Terminal G,1/1/2013,1200 - 1300,21,37,149,284,82,0,0,0,0,13,528,1,20
SFO,Terminal G,1/1/2013,1400 - 1500,22,47,222,252,193,6,0,0,0,21,694,2,17
SFO,Terminal G,1/1/2013,1500 - 1600,11,19,37,4,0,0,0,0,0,2,43,1,8
SFO,Terminal G,1/1/2013,1600 - 1700,14,30,124,83,0,0,0,0,0,7,214,1,9
SFO,Terminal G,1/1/2013,1700 - 1800,6,14,239,0,0,0,0,0,0,6,245,2,9
SFO,Terminal G,1/1/2013,1800 - 1900,37,61,14,102,79,105,5,0,0,7,312,1,9
SFO,Terminal G,1/1/2013,1900 - 2000,26,52,171,419,278,43,0,0,0,25,936,3,19
SFO,Terminal G,1/1/2013,2000 - 2100,9,18,137,20,0,0,0,0,0,5,162,1,6
SFO,Terminal A,1/2/2013,0800 - 0900,24,45,54,69,66,0,0,0,0,6,195,1,8
SFO,Terminal A,1/2/2013,0900 - 1000,41,93,116,200,202,129,187,7,0,34,875,3,13
SFO,Terminal A,1/2/2013,1200 - 1300,25,56,203,412,275,41,0,0,0,29,960,3,20
SFO,Terminal A,1/2/2013,1300 - 1400,28,44,55,136,163,0,0,0,0,11,365,1,19
SFO,Terminal A,1/2/2013,1400 - 1500,17,40,169,118,44,0,0,0,0,9,340,1,16
SFO,Terminal A,1/2/2013,1500 - 1600,36,74,42,51,60,39,35,0,0,5,232,1,7
SFO,Terminal A,1/2/2013,1700 - 1800,17,41,197,199,31,0,0,0,0,12,439,2,11
SFO,Terminal A,1/2/2013,1800 - 1900,28,56,103,218,296,15,0,0,0,19,651,3,11
SFO,Terminal A,1/2/2013,1900 - 2000,22,33,25,275,4,0,0,0,0,13,317,2,13
SFO,Terminal A,1/2/2013,2000 - 2100,20,39,218,354,97,0,0,0,0,24,693,2,13
SFO,Terminal A,1/2/2013,2200 - 2300,8,15,142,0,0,0,0,0,0,4,146,1,7
