Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SJC,Main,1/1/2015,0800 - 0900,13,29,84,71,0,0,0,0,0,3,158,1,5
SJC,Main,1/1/2015,0900 - 1000,20,41,61,73,23,0,0,0,0,4,161,1,5
SJC,Main,1/1/2015,1100 - 1200,9,20,104,27,0,0,0,0,0,5,136,1,5
SJC,Main,1/1/2015,1500 - 1600,8,19,108,25,0,0,0,0,0,3,136,1,3
SJC,Main,1/1/2015,1600 - 1700,0,1,5,0,0,0,0,0,0,1,6,1,1
SJC,Main,1/1/2015,1800 - 1900,19,19,0,6,0,0,0,0,0,1,7,1,1
SJC,Main,1/2/2015,0700 - 0800,15,28,77,80,0,0,0,0,0,4,161,1,5
SJC,Main,1/2/2015,0900 - 1000,13,30,103,62,0,0,0,0,0,4,169,1,5
SJC,Main,1/2/2015,1200 - 1300,18,41,83,52,39,0,0,0,0,4,178,1,5
SJC,Main,1/2/2015,1500 - 1600,10,21,99,40,0,0,0,0,0,2,141,1,3
SJC,Main,1/3/2015,0700 - 0800,16,34,75,70,17,0,0,0,0,2,164,1,4
SJC,Main,1/3/2015,0900 - 1000,23,47,52,51,54,5,0,0,0,5,167,1,4
SJC,Main,1/3/2015,1200 - 1300,18,37,72,73,29,0,0,0,0,4,178,1,4
SJC,Main,1/3/2015,1600 - 1700,11,24,90,54,0,0,0,0,0,0,144,1,3
SJC,Main,1/3/2015,1900 - 2000,16,31,8,6,3,0,0,0,0,2,19,2,1
SJC,Main,1/4/2015,0800 - 0900,12,30,100,55,0,0,0,0,0,2,157,1,5
SJC,Main,1/4/2015,0900 - 1000,27,69,55,46,28,17,15,0,0,5,166,1,5
SJC,Main,1/4/2015,1100 - 1200,20,39,61,73,39,0,0,0,0,2,175,1,5
SJC,Main,1/4/2015,1500 - 1600,11,25,92,52,0,0,0,0,0,0,144,1,3
SJC,Main,1/5/2015,0700 - 0800,17,35,71,69,18,0,0,0,0,5,163,1,5
SJC,Main,1/5/2015,0900 - 1000,16,33,74,82,7,0,0,0,0,4,167,1,6
SJC,Main,1/5/2015,1100 - 1200,17,40,87,49,33,0,0,0,0,5,174,1,5
SJC,Main,1/5/2015,1600 - 1700,10,24,104,43,0,0,0,0,0,2,149,1,3
SJC,Main,1/5/2015,1700 - 1800,20,21,0,6,0,0,0,0,0,0,6,1,1
SJC,Main,1/6/2015,0700 - 0800,29,47,19,64,64,6,0,0,0,4,157,1,5
SJC,Main,1/6/2015,0900 - 1000,16,42,91,49,27,0,0,0,0,4,171,1,5
