Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SJU,San Juan AA,01-01-2013,0700 - 0800,10,19,8,2,0,0,0,0,0,2,12,1,1
SJU,San Juan AA,01-01-2013,0800 - 0900,9,26,71,15,0,0,0,0,0,3,89,4,7
SJU,San Juan AA,01-01-2013,0900 - 1000,5,5,7,0,0,0,0,0,0,1,8,1,2
SJU,San Juan AA,01-01-2013,1000 - 1100,6,11,99,0,0,0,0,0,0,3,102,7,7
SJU,San Juan AA,01-01-2013,1100 - 1200,11,32,177,68,4,0,0,0,0,9,258,6,8
SJU,San Juan AA,01-01-2013,1200 - 1300,8,22,52,8,0,0,0,0,0,2,62,6,4
SJU,San Juan AA,01-01-2013,1300 - 1400,8,25,110,18,0,0,0,0,0,3,131,6,6
SJU,San Juan AA,01-01-2013,1400 - 1500,6,18,142,7,0,0,0,0,0,6,155,3,9
SJU,San Juan AA,01-01-2013,1500 - 1600,7,23,127,21,0,0,0,0,0,4,152,5,8
SJU,San Juan AA,01-01-2013,1600 - 1700,16,47,210,110,52,9,0,0,0,4,385,4,9
SJU,San Juan AA,01-01-2013,1700 - 1800,8,20,183,28,0,0,0,0,0,8,219,7,9
SJU,San Juan AA,01-01-2013,1800 - 1900,6,9,13,0,0,0,0,0,0,1,14,1,3
SJU,San Juan AA,01-01-2013,1900 - 2000,4,9,33,0,0,0,0,0,0,1,34,1,4
SJU,San Juan AA,01-01-2013,2000 - 2100,8,22,84,24,0,0,0,0,0,2,110,3,4
SJU,San Juan AA,01-01-2013,2100 - 2200,3,8,16,0,0,0,0,0,0,1,17,1,3
SJU,San Juan AA,01-01-2013,2200 - 2300,13,22,57,40,0,0,0,0,0,4,101,1,5
SJU,San Juan AA,01-02-2013,0700 - 0800,3,8,14,0,0,0,0,0,0,2,16,1,4
SJU,San Juan AA,01-02-2013,0800 - 0900,9,25,60,20,0,0,0,0,0,4,84,2,4
SJU,San Juan AA,01-02-2013,0900 - 1000,5,11,34,0,0,0,0,0,0,2,36,3,4
SJU,San Juan AA,01-02-2013,1000 - 1100,3,8,82,0,0,0,0,0,0,3,85,4,4
SJU,San Juan AA,01-02-2013,1100 - 1200,9,32,192,39,6,0,0,0,0,8,245,8,6
SJU,San Juan AA,01-02-2013,1200 - 1300,4,9,78,0,0,0,0,0,0,12,90,5,5
SJU,San Juan AA,01-02-2013,1300 - 1400,14,45,157,132,9,0,0,0,0,17,315,11,8
SJU,San Juan AA,01-02-2013,1400 - 1500,12,29,51,24,0,0,0,0,0,3,78,3,7
SJU,San Juan AA,01-02-2013,1500 - 1600,13,55,39,0,0,8,0,0,0,2,49,6,4
SJU,San Juan AA,01-02-2013,1600 - 1700,5,16,176,3,0,0,0,0,0,4,183,6,8
SJU,San Juan AA,01-02-2013,1700 - 1800,12,40,200,105,4,0,0,0,0,11,320,6,12
SJU,San Juan AA,01-02-2013,1800 - 1900,11,65,151,26,0,0,6,0,0,5,188,5,13
SJU,San Juan AA,01-02-2013,1900 - 2000,23,50,100,87,78,22,0,0,0,9,296,3,8
SJU,San Juan AA,01-02-2013,2100 - 2200,2,12,79,0,0,0,0,0,0,3,82,2,5
