Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SLC,Main,1/1/2013,1300 - 1400,8,33,157,42,6,0,0,0,0,8,213,1,5
SLC,Main,1/2/2013,1200 - 1300,20,40,81,64,53,0,0,0,0,11,209,1,5
SLC,Main,1/2/2013,1800 - 1900,3,10,146,0,0,0,0,0,0,4,150,1,4
SLC,Main,1/3/2013,1800 - 1900,1,6,76,0,0,0,0,0,0,2,78,1,5
SLC,Main,1/4/2013,1300 - 1400,14,48,119,51,30,3,0,0,0,7,210,1,5
SLC,Main,1/4/2013,1800 - 1900,1,4,77,0,0,0,0,0,0,0,77,1,4
SLC,Main,1/5/2013,1300 - 1400,7,27,166,34,0,0,0,0,0,7,207,1,6
SLC,Main,1/5/2013,1400 - 1500,3,12,175,0,0,0,0,0,0,6,181,1,6
SLC,Main,1/5/2013,1800 - 1900,4,14,285,0,0,0,0,0,0,8,293,3,6
SLC,Main,1/5/2013,1900 - 2000,18,34,45,90,2,0,0,0,0,5,142,1,5
SLC,Main,1/6/2013,1800 - 1900,2,8,148,0,0,0,0,0,0,5,153,1,5
SLC,Main,1/7/2013,1300 - 1400,18,49,93,59,40,9,0,0,0,7,208,1,5
SLC,Main,1/7/2013,1800 - 1900,3,8,77,0,0,0,0,0,0,0,77,1,4
SLC,Main,1/8/2013,1300 - 1400,17,49,110,35,37,8,0,0,0,6,196,1,5
SLC,Main,1/8/2013,1800 - 1900,1,6,69,0,0,0,0,0,0,3,72,1,4
SLC,Main,1/9/2013,1400 - 1500,20,57,91,60,34,18,0,0,0,7,210,1,6
SLC,Main,1/9/2013,1800 - 1900,7,18,63,6,0,0,0,0,0,4,73,1,3
SLC,Main,1/10/2013,1800 - 1900,2,7,74,0,0,0,0,0,0,0,74,1,4
SLC,Main,1/11/2013,1400 - 1500,15,47,118,36,31,6,0,0,0,6,197,1,5
SLC,Main,1/11/2013,1800 - 1900,5,13,59,0,0,0,0,0,0,4,63,1,4
SLC,Main,1/12/2013,1300 - 1400,12,42,125,45,26,0,0,0,0,6,202,1,6
SLC,Main,1/12/2013,1400 - 1500,3,12,164,0,0,0,0,0,0,6,170,1,5
SLC,Main,1/12/2013,1500 - 1600,2,8,159,0,0,0,0,0,0,5,164,1,6
SLC,Main,1/12/2013,1800 - 1900,0,5,67,0,0,0,0,0,0,1,68,1,5
SLC,Main,1/12/2013,1900 - 2000,1,5,75,0,0,0,0,0,0,2,77,1,5
SLC,Main,1/13/2013,1900 - 2000,2,6,66,0,0,0,0,0,0,1,67,1,4
SLC,Main,1/14/2013,1300 - 1400,9,29,125,52,0,0,0,0,0,5,182,1,6
