Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SMF,Main Terminal,1/1/2015,0000 - 0100,26,47,32,45,43,7,0,0,0,2,129,1,3
SMF,Main Terminal,1/1/2015,2200 - 2300,21,40,55,44,44,0,0,0,0,3,146,1,3
SMF,Main Terminal,1/2/2015,0000 - 0100,21,49,72,43,44,11,0,0,0,3,173,1,3
SMF,Main Terminal,1/2/2015,2200 - 2300,21,41,54,48,40,0,0,0,0,4,146,1,3
SMF,Main Terminal,1/2/2015,2300 - 0000,18,36,56,43,23,0,0,0,0,4,126,1,3
SMF,Main Terminal,1/3/2015,2200 - 2300,29,58,52,29,47,45,0,0,0,4,177,1,3
SMF,Main Terminal,1/4/2015,0000 - 0100,20,42,67,50,50,0,0,0,0,3,170,1,3
SMF,Main Terminal,1/4/2015,2200 - 2300,21,45,58,54,50,0,0,0,0,2,164,1,3
SMF,Main Terminal,1/5/2015,0000 - 0100,24,49,57,46,52,15,0,0,0,6,176,1,3
SMF,Main Terminal,1/5/2015,2100 - 2200,32,64,53,30,31,42,14,0,0,2,172,1,3
SMF,Main Terminal,1/6/2015,0000 - 0100,26,57,52,41,45,28,0,0,0,6,172,1,3
SMF,Main Terminal,1/7/2015,0000 - 0100,28,55,43,31,53,29,0,0,0,5,161,1,3
SMF,Main Terminal,1/7/2015,2200 - 2300,22,47,53,34,39,6,0,0,0,4,136,1,3
SMF,Main Terminal,1/8/2015,0000 - 0100,25,52,48,47,39,19,0,0,0,4,157,1,3
SMF,Main Terminal,1/8/2015,2200 - 2300,25,52,42,39,37,17,0,0,0,4,139,1,3
SMF,Main Terminal,1/9/2015,0000 - 0100,22,50,62,48,45,13,0,0,0,6,174,1,3
SMF,Main Terminal,1/9/2015,2100 - 2200,21,40,54,43,42,0,0,0,0,2,141,1,3
SMF,Main Terminal,1/9/2015,2300 - 0000,21,44,45,41,34,0,0,0,0,0,120,1,3
SMF,Main Terminal,1/10/2015,2200 - 2300,17,33,54,53,16,0,0,0,0,1,124,1,3
