Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SNA,Terminal C,01-01-2014,0900 - 1000,19,36,45,49,18,0,0,0,0,4,116,1,4
SNA,Terminal C,01-01-2014,1200 - 1300,17,28,42,57,0,0,0,0,0,4,103,1,5
SNA,Terminal C,01-01-2014,1600 - 1700,11,22,80,35,0,0,0,0,0,3,118,1,4
SNA,Terminal C,01-01-2014,1700 - 1800,6,14,134,0,0,0,0,0,0,0,134,1,4
SNA,Terminal C,01-02-2014,0900 - 1000,19,34,42,60,16,0,0,0,0,3,121,1,5
SNA,Terminal C,01-02-2014,1200 - 1300,11,23,82,37,0,0,0,0,0,4,123,1,5
SNA,Terminal C,01-02-2014,1700 - 1800,9,22,218,34,0,0,0,0,0,6,258,2,5
SNA,Terminal C,01-03-2014,0900 - 1000,16,28,55,55,0,0,0,0,0,4,114,1,5
SNA,Terminal C,01-03-2014,1100 - 1200,24,38,30,58,34,0,0,0,0,4,126,1,5
SNA,Terminal C,01-03-2014,1200 - 1300,9,17,87,11,0,0,0,0,0,2,100,1,5
SNA,Terminal C,01-03-2014,1600 - 1700,18,33,81,97,17,0,0,0,0,5,200,2,5
SNA,Terminal C,01-03-2014,1800 - 1900,18,24,27,107,0,0,0,0,0,5,139,1,5
SNA,Terminal C,01-04-2014,1200 - 1300,17,33,121,160,15,0,0,0,0,6,302,2,6
SNA,Terminal C,01-04-2014,1400 - 1500,15,28,73,71,0,0,0,0,0,5,149,1,6
SNA,Terminal C,01-04-2014,1500 - 1600,16,33,66,68,9,0,0,0,0,5,148,1,6
SNA,Terminal C,01-04-2014,1600 - 1700,14,24,65,68,0,0,0,0,0,4,137,1,6
SNA,Terminal C,01-04-2014,1700 - 1800,8,13,134,0,0,0,0,0,0,1,135,1,6
SNA,Terminal C,01-05-2014,1200 - 1300,19,32,51,95,4,0,0,0,0,4,154,1,6
SNA,Terminal C,01-05-2014,1400 - 1500,16,29,66,76,0,0,0,0,0,3,145,1,6
SNA,Terminal C,01-05-2014,1600 - 1700,15,27,71,60,0,0,0,0,0,2,133,1,6
SNA,Terminal C,01-05-2014,1700 - 1800,8,15,136,0,0,0,0,0,0,1,137,1,6
SNA,Terminal C,01-06-2014,0900 - 1000,21,41,50,51,35,0,0,0,0,3,139,1,5
