Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
STL,Main,01-01-2014,1200 - 1300,18,31,63,92,6,0,0,0,0,4,165,1,3
STL,Main,01-02-2014,1300 - 1400,21,37,52,64,40,0,0,0,0,0,156,1,3
STL,Main,01-02-2014,1800 - 1900,10,23,90,43,0,0,0,0,0,0,133,1,3
STL,Main,01-03-2014,1300 - 1400,8,20,132,34,0,0,0,0,0,3,169,1,3
STL,Main,01-03-2014,1700 - 1800,10,19,10,3,0,0,0,0,0,1,14,1,1
STL,Main,01-04-2014,1300 - 1400,16,32,80,75,10,0,0,0,0,3,168,1,3
STL,Main,01-04-2014,1700 - 1800,20,38,33,30,24,0,0,0,0,3,90,1,3
STL,Main,01-05-2014,1400 - 1500,11,26,102,59,0,0,0,0,0,5,166,1,3
STL,Main,01-05-2014,1700 - 1800,18,35,55,62,16,0,0,0,0,5,138,1,2
STL,Main,01-06-2014,2100 - 2200,12,28,97,60,0,0,0,0,0,5,162,1,3
STL,Main,01-08-2014,1200 - 1300,15,27,77,74,0,0,0,0,0,2,153,1,3
STL,Main,01-09-2014,1300 - 1400,8,21,100,28,0,0,0,0,0,3,131,1,3
STL,Main,01-09-2014,1700 - 1800,6,16,110,4,0,0,0,0,0,3,117,1,3
STL,Main,01-10-2014,1200 - 1300,16,32,74,73,8,0,0,0,0,0,155,1,3
STL,Main,01-10-2014,1700 - 1800,7,17,74,8,0,0,0,0,0,2,84,1,2
STL,Main,01-11-2014,1300 - 1400,15,29,73,67,0,0,0,0,0,0,140,1,3
STL,Main,01-11-2014,1700 - 1800,17,30,55,64,0,0,0,0,0,2,121,1,3
STL,Main,01-12-2014,1200 - 1300,14,30,78,69,0,0,0,0,0,5,152,1,3
STL,Main,01-12-2014,2000 - 2100,13,26,68,50,0,0,0,0,0,3,121,1,3
STL,Main,1/13/2014,1300 - 1400,10,24,110,48,0,0,0,0,0,5,163,1,3
STL,Main,1/15/2014,1200 - 1300,18,39,46,41,22,0,0,0,0,3,112,1,2
STL,Main,1/16/2014,1300 - 1400,10,21,83,31,0,0,0,0,0,3,117,1,3
STL,Main,1/16/2014,1700 - 1800,5,12,66,0,0,0,0,0,0,3,69,1,2
STL,Main,1/17/2014,1200 - 1300,15,16,6,1,0,0,0,0,0,1,8,1,1
STL,Main,1/17/2014,1500 - 1600,9,24,101,26,0,0,0,0,0,3,130,1,3
STL,Main,1/17/2014,1700 - 1800,8,23,208,47,0,0,0,0,0,6,261,2,3
STL,Main,1/18/2014,1200 - 1300,24,37,36,77,44,0,0,0,0,1,158,1,3
STL,Main,1/18/2014,1700 - 1800,9,19,89,23,0,0,0,0,0,4,116,1,3
STL,Main,1/19/2014,1300 - 1400,21,34,47,76,25,0,0,0,0,1,149,1,3
STL,Main,1/19/2014,1700 - 1800,10,18,85,17,0,0,0,0,0,3,105,1,3
STL,Main,1/20/2014,1200 - 1300,11,24,110,51,0,0,0,0,0,2,163,1,3
STL,Main,1/22/2014,1300 - 1400,10,22,90,35,0,0,0,0,0,1,126,1,3
STL,Main,1/23/2014,1300 - 1400,11,26,53,19,0,0,0,0,0,3,75,1,3
STL,Main,1/23/2014,1600 - 1700,8,18,93,15,0,0,0,0,0,4,112,1,3
STL,Main,1/24/2014,1300 - 1400,9,23,99,38,0,0,0,0,0,3,140,1,3
STL,Main,1/24/2014,1700 - 1800,11,24,89,45,0,0,0,0,0,2,136,1,3
STL,Main,1/25/2014,1300 - 1400,11,25,108,54,0,0,0,0,0,1,163,1,3
STL,Main,1/25/2014,2000 - 2100,8,18,108,13,0,0,0,0,0,0,121,1,3
STL,Main,1/26/2014,1200 - 1300,8,19,136,27,0,0,0,0,0,3,166,1,4
STL,Main,1/26/2014,1700 - 1800,11,24,82,49,0,0,0,0,0,3,134,1,3
STL,Main,1/27/2014,1300 - 1400,13,27,92,72,0,0,0,0,0,0,164,1,3
STL,Main,1/29/2014,1300 - 1400,14,30,87,72,0,0,0,0,0,2,161,1,3
STL,Main,1/30/2014,1300 - 1400,9,21,98,30,0,0,0,0,0,4,132,1,3
STL,Main,1/30/2014,1700 - 1800,8,20,104,27,0,0,0,0,0,4,135,1,3
STL,Main,1/31/2014,1200 - 1300,15,30,78,82,0,0,0,0,0,2,162,1,3
STL,Main,1/31/2014,1300 - 1400,2,4,4,0,0,0,0,0,0,2,6,1,1
STL,Main,1/31/2014,1700 - 1800,10,21,87,36,0,0,0,0,0,1,124,1,3
STL,Main,02-01-2014,1300 - 1400,15,32,74,73,8,0,0,0,0,3,158,1,3
STL,Main,02-01-2014,1700 - 1800,14,28,67,62,0,0,0,0,0,3,132,1,3
STL,Main,02-02-2014,1300 - 1400,11,26,104,61,0,0,0,0,0,2,167,1,3
STL,Main,02-02-2014,1700 - 1800,7,16,109,5,0,0,0,0,0,0,114,1,3
STL,Main,02-03-2014,1400 - 1500,11,23,108,50,0,0,0,0,0,5,163,1,3
STL,Main,02-05-2014,1300 - 1400,14,28,91,72,0,0,0,0,0,2,165,1,3
STL,Main,02-06-2014,1500 - 1600,15,29,66,78,0,0,0,0,0,9,153,1,3
