Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
TPA,Main,1/1/2013,1000 - 1100,1,2,9,0,0,0,0,0,0,1,10,1,1
TPA,Main,1/1/2013,1200 - 1300,6,17,103,5,0,0,0,0,0,4,112,1,7
TPA,Main,1/1/2013,1700 - 1800,16,44,151,60,51,0,0,0,0,9,271,1,7
TPA,Main,1/2/2013,1100 - 1200,12,25,91,46,0,0,0,0,0,7,144,1,10
TPA,Main,1/2/2013,1200 - 1300,2,3,10,0,0,0,0,0,0,1,11,1,1
TPA,Main,1/2/2013,1400 - 1500,1,2,9,0,0,0,0,0,0,2,11,1,1
TPA,Main,1/2/2013,1700 - 1800,14,36,172,77,22,0,0,0,0,6,277,1,8
TPA,Main,1/3/2013,1100 - 1200,9,19,120,17,0,0,0,0,0,4,141,1,10	
TPA,Main,1/3/2013,1300 - 1400,4,11,98,0,0,0,0,0,0,4,102,1,6
TPA,Main,1/3/2013,1900 - 2000,19,45,119,81,62,0,0,0,0,7,269,1,7
TPA,Main,1/3/2013,2200 - 2300,10,29,97,38,0,0,0,0,0,4,139,1,6
TPA,Main,1/4/2013,1400 - 1500,6,13,101,0,0,0,0,0,0,1,102,1,6
TPA,Main,1/4/2013,1900 - 2000,22,54,120,105,59,33,0,0,0,10,327,1,8
TPA,Main,1/5/2013,1100 - 1200,6,16,137,6,0,0,0,0,0,5,148,1,10
TPA,Main,1/5/2013,1300 - 1400,4,11,121,0,0,0,0,0,0,3,124,1,8
TPA,Main,1/5/2013,1400 - 1500,4,13,137,0,0,0,0,0,0,5,142,2,9
TPA,Main,1/5/2013,1900 - 2000,18,49,120,43,44,14,0,0,0,6,227,1,6
TPA,Main,1/6/2013,1200 - 1300,1,2,8,0,0,0,0,0,0,1,9,1,1
TPA,Main,1/6/2013,1300 - 1400,12,23,74,41,0,0,0,0,0,3,118,1,7
TPA,Main,1/6/2013,1400 - 1500,0,0,7,0,0,0,0,0,0,0,7,1,1
TPA,Main,1/6/2013,1600 - 1700,17,41,71,56,19,0,0,0,0,4,150,1,8
TPA,Main,1/6/2013,1700 - 1800,28,70,39,47,25,16,15,0,0,5,147,1,7
TPA,Main,1/6/2013,1800 - 1900,33,65,45,72,73,55,16,0,0,5,266,1,7
TPA,Main,1/7/2013,1300 - 1400,5,15,124,0,0,0,0,0,0,2,126,1,7
TPA,Main,1/7/2013,1700 - 1800,21,50,107,77,47,20,0,0,0,8,259,1,8
TPA,Main,1/8/2013,1200 - 1300,9,22,112,35,0,0,0,0,0,2,149,1,9
TPA,Main,1/8/2013,1700 - 1800,22,51,81,52,41,20,0,0,0,7,201,1,7
TPA,Main,1/9/2013,1100 - 1200,12,22,81,52,0,0,0,0,0,8,141,1,10
TPA,Main,1/9/2013,2200 - 2300,21,52,90,48,49,19,0,0,0,4,210,1,5
TPA,Main,1/10/2013,1200 - 1300,11,25,102,45,0,0,0,0,0,3,150,1,9
TPA,Main,1/10/2013,1300 - 1400,33,41,0,35,44,0,0,0,0,2,81,1,7
TPA,Main,1/10/2013,1400 - 1500,0,0,8,0,0,0,0,0,0,0,8,1,1
TPA,Main,1/10/2013,1700 - 1800,20,50,88,48,39,15,0,0,0,3,193,1,6
TPA,Main,1/11/2013,1300 - 1400,13,16,24,2,0,0,0,0,0,1,27,1,6
TPA,Main,1/11/2013,1800 - 1900,22,53,83,39,48,24,0,0,0,6,200,1,6
TPA,Main,1/12/2013,1100 - 1200,10,29,114,44,0,0,0,0,0,5,163,1,9
TPA,Main,1/12/2013,1300 - 1400,0,2,30,0,0,0,0,0,0,1,31,1,6
TPA,Main,1/12/2013,1600 - 1700,18,44,90,51,41,0,0,0,0,6,188,2,6
TPA,Main,1/13/2013,1300 - 1400,1,4,37,0,0,0,0,0,0,2,39,1,6
TPA,Main,1/13/2013,1600 - 1700,24,65,85,87,53,27,10,0,0,8,270,2,8
TPA,Main,1/14/2013,1300 - 1400,1,6,54,0,0,0,0,0,0,2,56,1,9
TPA,Main,1/14/2013,1700 - 1800,15,34,82,57,10,0,0,0,0,5,154,1,7
TPA,Main,1/15/2013,1200 - 1300,19,31,46,90,5,0,0,0,0,4,145,1,11
TPA,Main,1/15/2013,1700 - 1800,16,38,94,56,28,0,0,0,0,10,188,1,10
TPA,Main,1/16/2013,1100 - 1200,22,42,44,46,41,0,0,0,0,2,133,1,7
TPA,Main,1/16/2013,1700 - 1800,13,30,105,59,0,0,0,0,0,1,165,1,8
