Airport,Hour,AVG
ATL,0,10.95238095
ATL,1,3.384615385
ATL,10,10.80857143
ATL,11,7.802491103
ATL,12,11.26041667
ATL,13,11.60648148
ATL,14,15.83819242
ATL,15,12.11935484
ATL,16,8.207612457
ATL,17,10.77125193
ATL,18,9.665178571
ATL,19,7.708860759
ATL,2,1.666666667
ATL,20,8.681008902
ATL,21,7.0625
ATL,22,5.814814815
ATL,23,7.068965517
ATL,3,2.75
ATL,5,17.21595331
ATL,6,15.53935185
ATL,7,8.801526718
ATL,8,6.352112676
ATL,9,11.85121107
AUS,10,10
AUS,11,23
AUS,12,8
AUS,13,8.244444444
AUS,14,9.75
AUS,15,14.86956522
AUS,16,16.86693548
AUS,17,13.62962963
AUS,18,7.472222222
AUS,19,7.9875
AUS,20,9.714285714
AUS,21,9
AUS,22,9
AUS,6,13
BOS,0,12.16666667
BOS,1,13.16666667
BOS,10,7.691428571
BOS,11,9.762135922
BOS,12,15.2969697
BOS,13,17.67241379
BOS,14,24.81460674
BOS,15,24.40909091
BOS,16,13.37237237
BOS,17,15.58774373
BOS,18,20.27472527
BOS,19,20.35674157
BOS,2,11.6
BOS,20,16
BOS,21,11.9483871
BOS,22,13.88652482
BOS,23,12.57575758
BOS,3,17.33333333
BOS,5,21.38461538
BOS,6,29.22807018
BOS,7,26.01115242
BOS,8,10.73799127
BOS,9,13.21176471
BWI,0,15.15384615
BWI,1,19.71428571
BWI,10,12.25
BWI,11,9.608695652
BWI,12,8.545454545
BWI,13,7.111111111
BWI,14,9.179775281
BWI,15,7.87
BWI,16,7.003194888
BWI,17,9.08115942
BWI,18,10.06116208
BWI,19,8.944078947
BWI,2,17.375
BWI,20,10.1106383
BWI,21,12.6119403
BWI,22,11.14583333
BWI,23,11.64
BWI,3,11.09090909
BWI,4,12.8
BWI,5,26.5
BWI,6,10.5
BWI,7,8
BWI,8,16.83333333
BWI,9,13.75
CLT,1,9
CLT,11,11.88888889
CLT,12,8.361702128
CLT,13,7.940740741
CLT,14,9.446107784
CLT,15,9.538461538
CLT,16,11.4600551
CLT,17,7.5
CLT,18,11.18181818
CLT,19,7.981884058
CLT,20,7.396226415
CLT,21,6.555555556
CLT,22,6.166666667
CLT,23,7.125
CLT,3,7
CLT,6,28.8
CLT,7,15.33333333
CLT,8,1.5
CLT,9,6.333333333
CVG,0,16
CVG,1,17.5
CVG,12,8.625
CVG,13,15.70408163
CVG,14,15.66101695
CVG,15,13.71428571
CVG,16,8.321428571
CVG,17,11.34146341
CVG,18,12.83333333
CVG,19,12.02857143
CVG,20,10.46428571
CVG,21,9.964285714
CVG,22,10.25
CVG,23,16
DEN,1,12
DEN,10,12.93457944
DEN,11,16.61437908
DEN,12,12.67752443
DEN,13,10.94326241
DEN,14,7.783018868
DEN,15,16.40289855
DEN,16,15.21501706
DEN,17,8.679245283
DEN,18,13.75
DEN,19,10.3003003
DEN,2,3
DEN,20,7.217948718
DEN,21,10.14285714
DEN,22,11.2
DEN,23,10.2
DEN,8,12.41666667
DEN,9,5.376811594
DFW,0,9
DFW,1,10.5
DFW,10,16.6043956
DFW,11,14.25
DFW,12,11.5982659
DFW,13,11.69041096
DFW,14,11.56986301
DFW,15,14.83516484
DFW,16,17.56438356
DFW,17,13.68493151
DFW,18,11.24383562
DFW,19,7.860335196
DFW,20,6.972972973
DFW,21,6.905555556
DFW,22,8.979166667
DFW,23,9.416666667
DFW,4,25.4556962
DFW,5,19.15384615
DFW,6,10.70805369
DFW,7,11.07462687
DFW,8,15.22802198
DFW,9,21.76519337
DTW,0,7.777777778
DTW,1,8
DTW,10,20.01257862
DTW,11,12.93918919
DTW,12,13.93602694
DTW,13,19.09796673
DTW,14,15.31363636
DTW,15,16.12010444
DTW,16,12.57251908
DTW,17,12.79567308
DTW,18,13.5220339
DTW,19,9.294545455
DTW,2,10.5
DTW,20,9.914772727
DTW,21,9.766666667
DTW,22,9.551724138
