airline,airlineid,sourceairport,source_airportid,dest_airport,dest_airport_id,code_share,stops,acquipment,airportid,Source_name,city,Source_country,Source_iata,icao,source_lat,source_long,alt,timezone,dst,tz_database_zone,airportid,Dest_Name,city,Dest_country,Dest_iata,icao,dest_lat,dest_long,alt,timezone,dst,tz_database_zone
3E,10739,BRL,5726,ORD,3830,,0,CNC,5726,Southeast Iowa Regional Airport,Burlington,United States,BRL,KBRL,40.7832,-91.1255,698,-6,A,America/Chicago,3830,Chicago Ohare Intl,Chicago,United States,ORD,KORD,41.978603,-87.904842,668,-6,A,America/Chicago
3E,10739,BRL,5726,STL,3678,,0,CNC,5726,Southeast Iowa Regional Airport,Burlington,United States,BRL,KBRL,40.7832,-91.1255,698,-6,A,America/Chicago,3678,Lambert St Louis Intl,St. Louis,United States,STL,KSTL,38.748697,-90.370028,618,-6,A,America/Chicago
3E,10739,DEC,4042,ORD,3830,,0,CNC,4042,Decatur,Decatur,United States,DEC,KDEC,39.834564,-88.865689,682,-6,A,America/Chicago,3830,Chicago Ohare Intl,Chicago,United States,ORD,KORD,41.978603,-87.904842,668,-6,A,America/Chicago
3E,10739,DEC,4042,STL,3678,,0,CNC,4042,Decatur,Decatur,United States,DEC,KDEC,39.834564,-88.865689,682,-6,A,America/Chicago,3678,Lambert St Louis Intl,St. Louis,United States,STL,KSTL,38.748697,-90.370028,618,-6,A,America/Chicago
3E,10739,JBR,3591,STL,3678,,0,CNC,3591,Jonesboro Muni,Jonesboro,United States,JBR,KJBR,35.831708,-90.646417,262,-6,A,America/Chicago,3678,Lambert St Louis Intl,St. Louis,United States,STL,KSTL,38.748697,-90.370028,618,-6,A,America/Chicago
3E,10739,ORD,3830,BRL,5726,,0,CNC,3830,Chicago Ohare Intl,Chicago,United States,ORD,KORD,41.978603,-87.904842,668,-6,A,America/Chicago,5726,Southeast Iowa Regional Airport,Burlington,United States,BRL,KBRL,40.7832,-91.1255,698,-6,A,America/Chicago
3E,10739,ORD,3830,DEC,4042,,0,CNC,3830,Chicago Ohare Intl,Chicago,United States,ORD,KORD,41.978603,-87.904842,668,-6,A,America/Chicago,4042,Decatur,Decatur,United States,DEC,KDEC,39.834564,-88.865689,682,-6,A,America/Chicago
3E,10739,STL,3678,BRL,5726,,0,CNC,3678,Lambert St Louis Intl,St. Louis,United States,STL,KSTL,38.748697,-90.370028,618,-6,A,America/Chicago,5726,Southeast Iowa Regional Airport,Burlington,United States,BRL,KBRL,40.7832,-91.1255,698,-6,A,America/Chicago
3E,10739,STL,3678,DEC,4042,,0,CNC,3678,Lambert St Louis Intl,St. Louis,United States,STL,KSTL,38.748697,-90.370028,618,-6,A,America/Chicago,4042,Decatur,Decatur,United States,DEC,KDEC,39.834564,-88.865689,682,-6,A,America/Chicago
3E,10739,STL,3678,JBR,3591,,0,CNC,3678,Lambert St Louis Intl,St. Louis,United States,STL,KSTL,38.748697,-90.370028,618,-6,A,America/Chicago,3591,Jonesboro Muni,Jonesboro,United States,JBR,KJBR,35.831708,-90.646417,262,-6,A,America/Chicago
3M,\N,ATL,3682,LWB,6958,,0,SF3,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York,6958,Greenbrier Valley Airport,Lewisburg,United States,LWB,KLWB,37.858333,-80.399444,2302,-5,U,America/New_York
3M,\N,ATL,3682,MCN,3754,,0,SF3,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York,3754,Middle Georgia Rgnl,Macon,United States,MCN,KMCN,32.69285,-83.649211,354,-5,A,America/New_York
3M,\N,ATL,3682,MEI,4335,,0,SF3,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York,4335,Key Field,Meridian,United States,MEI,KMEI,32.332624,-88.751868,297,-6,A,America/Chicago
3M,\N,ATL,3682,MSL,5756,,0,SF3,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York,5756,Northwest Alabama Regional Airport,Muscle Shoals,United States,MSL,KMSL,34.7453,-87.6102,550,-6,A,America/Chicago
3M,\N,ATL,3682,PIB,5759,,0,SF3,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York,5759,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,United States,PIB,KPIB,31.4671,-89.3371,298,-6,A,America/Chicago
3M,\N,ATL,3682,TUP,5773,,0,SF3,3682,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York,5773,Tupelo Regional Airport,Tupelo,United States,TUP,KTUP,34.2681,-88.7699,346,-6,A,America/Chicago
3M,\N,BIM,1937,FLL,3533,,0,SF3,1937,South Bimini,Alice Town,Bahamas,BIM,MYBS,25.699881,-79.264656,10,-5,U,America/Nassau,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
3M,\N,ELH,1943,FLL,3533,,0,SF3,1943,North Eleuthera,North Eleuthera,Bahamas,ELH,MYEH,25.474861,-76.683489,13,-5,U,America/Nassau,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
3M,\N,ELH,1943,PBI,3722,,0,SF3,1943,North Eleuthera,North Eleuthera,Bahamas,ELH,MYEH,25.474861,-76.683489,13,-5,U,America/Nassau,3722,Palm Beach Intl,West Palm Beach,United States,PBI,KPBI,26.683161,-80.095589,19,-5,A,America/New_York
3M,\N,EYW,3875,FLL,3533,,0,SF3,3875,Key West Intl,Key West,United States,EYW,KEYW,24.556111,-81.759556,3,-5,A,America/New_York,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
3M,\N,EYW,3875,TPA,3646,,0,SF3,3875,Key West Intl,Key West,United States,EYW,KEYW,24.556111,-81.759556,3,-5,A,America/New_York,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York
3M,\N,FLL,3533,BIM,1937,,0,SF3,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York,1937,South Bimini,Alice Town,Bahamas,BIM,MYBS,25.699881,-79.264656,10,-5,U,America/Nassau
3M,\N,FLL,3533,ELH,1943,,0,SF3,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York,1943,North Eleuthera,North Eleuthera,Bahamas,ELH,MYEH,25.474861,-76.683489,13,-5,U,America/Nassau
3M,\N,FLL,3533,EYW,3875,,0,SF3,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York,3875,Key West Intl,Key West,United States,EYW,KEYW,24.556111,-81.759556,3,-5,A,America/New_York
3M,\N,FLL,3533,FPO,1948,,0,SF3,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York,1948,Grand Bahama Intl,Freeport,Bahamas,FPO,MYGF,26.558686,-78.695553,7,-5,U,America/Nassau
3M,\N,FLL,3533,GGT,1941,,0,SF3,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York,1941,Exuma Intl,Great Exuma,Bahamas,GGT,MYEF,23.562631,-75.877958,9,-5,U,America/Nassau
3M,\N,FLL,3533,GHB,1944,,0,SF3,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York,1944,Governors Harbour,Governor's Harbor,Bahamas,GHB,MYEM,25.284706,-76.331011,26,-5,U,America/Nassau
3M,\N,FLL,3533,MCO,3878,,0,SF3,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York,3878,Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York
3M,\N,FLL,3533,MHH,1930,,0,SF3,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York,1930,Marsh Harbour,Marsh Harbor,Bahamas,MHH,MYAM,26.511406,-77.083472,6,-5,U,America/Nassau
3M,\N,FLL,3533,TCB,1934,,0,SF3,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York,1934,Treasure Cay,Treasure Cay,Bahamas,TCB,MYAT,26.745336,-77.391269,8,-5,U,America/Nassau
3M,\N,FLL,3533,TPA,3646,,0,SF3,3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York,3646,Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York
